"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score","regime_difference","regime_direction"
0.01,305,0.651387418577488,0.0611344808496742,1069,370.5,0.904092498248246,308,0.657925117704049,0.0697507619437848,1078,1131.5,0.974946831984046,306,1.30931253628154,0.130885242793459,322.5,0.00309119010819165,0.935504722985182,1.17842729348808,"IOD_dominant"
0.02,611,0.682881561842528,0.0736985912371104,1222,332,0.963164982478491,616,0.70628548200333,0.0656824125234552,1232,2182.5,1.01971368972208,614,1.38916704384586,0.139381003760566,30.25,0.032,1.03168915264936,1.24978604008529,"IOD_dominant"
0.03,916,0.678821886875744,0.0525424130918179,1374.5,398,0.932954693789277,924,0.66058213975793,0.0867649837759643,1386,1825.5,0.997187779047586,920,1.33940402663367,0.139307396867782,268.5,0.00371057513914657,0.966260711161046,1.20009662976589,"IOD_dominant"
0.04,1221,0.695697126204379,0.0661460647685764,1527,1830,0.974936711433444,1231,0.666015540147643,0.0850162545822971,1539.5,1910.5,1.00196309744967,1226,1.36171266635202,0.151162319350873,337,0.0029585798816568,0.992993804123269,1.21055034700115,"IOD_dominant"
0.05,1527,0.722037925393497,0.0732683693102271,1680,364.5,1.0181782864858,1539,0.677999345481168,0.102172823407544,1693.5,1976.5,1.05496251674015,1533,1.40003727087466,0.175441192717771,516.25,0.00193330111164814,1.04277245987466,1.22459607815689,"IOD_dominant"
0.06,1832,0.726526926700943,0.0661983872017955,1832.5,1938,1.02508680378964,1847,0.668980377310867,0.128311785779,1847.5,2185.5,1.09421595889106,1840,1.39550730401181,0.194510172980796,221.75,0.00448933782267116,1.05943211829485,1.20099713103101,"IOD_dominant"
0.07,2137,0.433388520857351,0.0840989694778922,2137,2137,1.61800639576039,2155,0.413886726273411,0.121010344560425,2155,2099.5,0.723337427610594,2146,0.847275247130762,0.205109314038318,27.75,0.0347826086956522,0.69102839225708,0.642165933092444,"IOD_dominant"
0.08,2443,0.306048402742224,0.123168109019797,2443,2443,1.48121891587828,2463,0.303752434507025,0.12726472439364,2463,2463,1.5581973677921,2453,0.609800837249249,0.250432833413437,0,1,1.5208791039419,0.359368003835812,"IOD_dominant"
0.09,2748,0.276519368035841,0.0755454072466716,2748,2966.5,0.388900114623909,2771,0.269385237613298,0.111993440580326,2771,2450.5,0.480419615719941,2760,0.545904605649138,0.187538847826998,51,0.0192307692307692,0.434862154839019,0.35836575782214,"IOD_dominant"
0.1,3053,0.214705406693143,0.0923005283246935,3053,3351.5,0.318742959450439,3078,0.216533158934453,0.113787708437349,3078,2470,0.405751500615694,3066,0.431238565627596,0.206088236762042,154.75,0.00642054574638844,0.353632131246938,0.225150328865554,"IOD_dominant"
0.11,3359,0.189944255319106,0.094841183180203,3359,3267,0.293746505722624,3386,0.171162618206218,0.120734884712379,3386,3386,1.35222152640085,3372,0.361106873525324,0.215576067892582,46,0.0212765957446809,0.324939115730688,0.145530805632742,"IOD_dominant"
0.12,3664,0.166272627860639,0.118953026468957,3664,3664,1.27693360363535,3694,0.14199762034692,0.206778521363133,3270,3694,0.486429495818442,3679,0.308270248207559,0.32573154783209,212,0.00469483568075117,0.369962558362934,-0.0174612996245312,"CV2_dominant"
0.13,3970,0.122924651626258,0.164091507898705,3970,3970,1.26696752095984,4002,0.103768993565235,0.224870921840244,3474,4002,0.467032535491672,3986,0.226693645191493,0.388962429738949,264,0.00377358490566038,0.3662261052478,-0.162268784547456,"CV2_dominant"
0.14,4275,0.099786697950793,0.174271316296991,4275,4275,1.24565432781204,4310,0.149387570273516,0.137852660052662,4310,4271.5,0.380549122647677,4292,0.249174268224309,0.312123976349652,19.25,0.0493827160493827,0.358153739423023,-0.062949708125343,"CV2_dominant"
0.15,4580,0.127717823981764,0.109617351611639,4580,4611.5,0.241959520792294,4618,0.110378829223358,0.141865395918972,4618,4261,0.309443700874481,4599,0.238096653205122,0.251482747530611,162.75,0.00610687022900763,0.251042865317614,-0.0133860943254897,"CV2_dominant"
0.16,4886,0.115605575684233,0.108903758668588,4886,4627.5,0.196941140891,4926,0.0726249512753412,0.166698901242336,4915,4926,0.385391446213605,4906,0.188230526959575,0.275602659910924,123.75,0.00801603206412826,0.23791153005918,-0.0873721329513496,"CV2_dominant"
0.17,5191,0.0854329802218133,0.157304521687288,5191,5191,1.20567078767951,5233,0.0735650482264479,0.150550742029445,4979,5754.5,0.272009741997501,5212,0.158998028448261,0.307855263716733,387.75,0.00257234726688103,0.24025288827157,-0.148857235268471,"CV2_dominant"
0.18,5496,0.108099501168667,0.0955427939248014,5496,5645.5,0.173663963123467,5541,0.0635571113649466,0.20398625615402,5096,5541,0.366631390024446,5518,0.171656612533613,0.299529050078821,297.25,0.00335289186923722,0.242831941968407,-0.127872437545208,"CV2_dominant"
0.19,5802,0.0796722630351677,0.109761760133402,5802,5802,1.14280208383973,5849,0.071995262934453,0.18520888142199,5240.5,5973,0.339991997995886,5826,0.151667525969621,0.294970641555393,366.25,0.00272294077603812,0.223132730893157,-0.143303115585772,"CV2_dominant"
0.2,6107,0.0651620610896624,0.158013592659326,6284,6107,0.183180095160989,6157,0.0342412208165597,0.261876024816266,5979.5,6157,0.444610613742919,6132,0.0994032819062222,0.419889617475593,0.25,0.8,1.09597334209277,-0.32048633556937,"CV2_dominant"
0.21,6412,0.108533732111163,0.0833185961039488,6412,6229.5,0.159037273533163,6465,0.0364086624225861,0.209273391476439,5981,6465,0.337691553094456,6438,0.144942394533749,0.292591987580387,150.75,0.00658978583196046,0.219809379325455,-0.147649593046639,"CV2_dominant"
0.22,6718,0.0773682295530953,0.08770667378262,6718,6718,1.11416289503018,6773,0.0597202182077211,0.147047812568912,6773,6326.5,0.2457356498435,6746,0.137088447760816,0.234754486351532,223.25,0.00445930880713489,0.158815228710778,-0.0976660385907158,"CV2_dominant"
0.23,7023,0.101002930873286,0.0621546520844555,7023,6713.5,0.121735590638574,7081,0.0449767341904915,0.117326700654128,6896.5,7081,0.167268105991292,7052,0.145979665063777,0.179481352738584,62.5,0.015748031496063,0.126065238281294,-0.0335016876748067,"CV2_dominant"
