"index_left","index_right","rank","d2_left","d2_right","crossing_type","local_support"
26,27,26.4458923168295,-1.42410236428137e-09,1.76972338810496e-09,"neg_to_pos",0.016124587271063
932,933,932.276557103172,7.96161346013274e-09,-2.08267031978955e-08,"pos_to_neg",0.0953886923917915
1493,1494,1493.59004866281,-3.59515001727749e-10,2.49782204393399e-10,"neg_to_pos",0.280466480464428
1547,1548,1547.71691748508,3.69888714986313e-09,-1.46054503980608e-09,"pos_to_neg",0.280466480464428
2968,2969,2968.73461537833,-3.42102161656124e-10,1.23586648768458e-10,"neg_to_pos",0.248823021501942
3102,3103,3102.28752896068,8.43958854964903e-10,-2.09125453351458e-09,"pos_to_neg",0.246996790457934
4202,4203,4202.21545692242,-4.5318450391752e-09,1.65018028397042e-08,"neg_to_pos",0.306176997912627
5039,5040,5039.95790831959,5.95439785357468e-09,-2.61643631594651e-10,"pos_to_neg",0.221673151475958
5205,5206,5205.03958617459,-1.01005859843672e-10,2.45053797827495e-09,"neg_to_pos",0.323707707178269
5404,5405,5404.82031323549,8.51624958440507e-09,-1.86545488646358e-09,"pos_to_neg",0.316517677489065
5838,5839,5838.07207904611,-4.87601742607045e-10,6.27721783990775e-09,"neg_to_pos",0.318277426817577
5892,5893,5892.12045340446,4.75907441885895e-10,-3.47505968945776e-09,"pos_to_neg",0.347825289855597
6421,6422,6421.18369697061,-7.89413946959616e-10,3.507956577729e-09,"neg_to_pos",0.404215108440497
7400,7401,7400.17243926479,6.70371620922993e-10,-3.21720944556308e-09,"pos_to_neg",0.378575198040637
8548,8549,8548.44015483568,-1.91317225754487e-09,2.43341694800826e-09,"neg_to_pos",0.438730667062209
9187,9188,9187.22609437907,4.10055598822324e-09,-1.40359231450763e-08,"pos_to_neg",0.449114330606088
9530,9531,9530.69151299897,-8.27868432935537e-09,3.69315761971738e-09,"neg_to_pos",0.24381391026554
9671,9672,9671.1527033348,4.41206803941216e-10,-2.44810012916267e-09,"pos_to_neg",0.426772104157767
9747,9748,9747.91473350415,-3.00593051640326e-09,2.8019653893723e-10,"neg_to_pos",0.463293956673002
10815,10816,10815.6637534503,3.90162341499495e-09,-1.97649806713824e-09,"pos_to_neg",0.385062936337567
