"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.005,155,0.175009328619942,0.0345092420454381,155,155,0.0862861827459374,0.0298239010135625,157,155,0.261295511365879,0.0643331430590006,0.196962368306879,157
0.01,309,0.239536420906349,0.0772232695519704,155,310,0.1337403070439,0.047897616712936,157,310,0.373276727950249,0.125120886264906,0.248155841685343,157
0.015,464,0.0711632415806983,0.0399581330803488,155,465,0.0677106936886285,0.0158377832401119,157,464,0.138873935269327,0.0557959163204608,0.0830780189488661,157
0.02,618,0.208316857212571,0.0864309717202023,155,620,0.0494257824131007,0.0169056829360337,157,619,0.257742639625671,0.103336654656236,0.154405984969435,157
0.025,773,0.214734977895255,0.0797808507203554,155,775,0.0380673175638776,0,157,774,0.252802295459133,0.0797808507203554,0.173021444738777,157
0.03,927,0.251977621559807,0.227091750298607,155,930,0.128318962031194,0.0438987029362612,157,928,0.380296583591001,0.270990453234868,0.109306130356133,157
0.035,1082,0.0945118449732393,0.0674482556471363,155,1086,0.0574088346102859,0.03242939071905,157,1084,0.151920679583525,0.0998776463661863,0.052043033217339,157
0.04,1236,0.162875810682231,0.146704245239571,155,1241,0.129354600170831,0.00268263439765992,157,1238,0.292230410853062,0.149386879637231,0.142843531215831,157
0.045,1391,0.0849219715772222,0.0690743870102809,155,1396,0.242982808250799,0.0283100250101468,157,1394,0.327904779828022,0.0973844120204277,0.230520367807594,157
0.05,1545,0.12692401534783,0.142664152683644,155,1551,0.118792497650468,0.0604745864587895,157,1548,0.245716512998298,0.203138739142434,0.0425777738558646,157
0.055,1700,0.104371162727944,0.102592815055682,155,1706,0.226011251765966,0.0179907427350215,157,1703,0.330382414493911,0.120583557790704,0.209798856703207,157
0.06,1854,0.241081479044758,0.16119784877789,155,1861,0.15214787845596,0.0246604938809328,157,1858,0.393229357500718,0.185858342658822,0.207371014841895,157
0.065,2009,0.241597454498528,0.143587813094181,155,2016,0.0565090431133382,0.000575716680955172,157,2012,0.298106497611866,0.144163529775136,0.15394296783673,157
0.07,2163,0.285002318669913,0.0812561504694083,155,2171,0.121365619535076,0.0439763720929348,157,2167,0.406367938204989,0.125232522562343,0.281135415642645,157
0.075,2318,0.38386015725305,0.240784271981942,155,2326,0.112858932692955,0.0443432790133912,157,2322,0.496719089946006,0.285127550995333,0.211591538950673,157
0.08,2472,0.0717149095623228,0.101607733731772,155,2481,0.0538455987219124,0.0411988461171671,157,2476,0.125560508284235,0.142806579848939,-0.0172460715647041,157
0.085,2627,0.381316144071591,0.240856797288894,155,2636,0.266215554236969,0.0593563668115162,157,2632,0.64753169830856,0.30021316410041,0.34731853420815,157
