"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank"
"488283","Uhrf1bp1l",0.000602327817861437,0.000602327817861437,27557,"Uhrf1bp1l",-0.000338454241643689,0.000338454241643689,29414,"Uhrf1bp1l",28486
"513277","Armc8",-0.000520498076722814,0.000520498076722814,27976,"Armc8",0.000427488781175939,0.000427488781175939,28999,"Armc8",28488
"461656","LOC102551114",0.000179483862735646,0.000179483862735646,29854,"LOC102551114",-0.000818012371964946,0.000818012371964946,27123,"LOC102551114",28488
"74996","Ypel2",0.000107900971588727,0.000107900971588727,30259,"Ypel2",-0.000910925344971727,0.000910925344971727,26718,"Ypel2",28488
"57991","Abhd17b",0.000290749011191589,0.000290749011191589,29248,"Abhd17b",0.000693187955522149,0.000693187955522149,27731,"Abhd17b",28490
"317090","Prmt2",-0.000273869185949102,0.000273869185949102,29334,"Prmt2",-0.000708924198954274,0.000708924198954274,27650,"Prmt2",28492
"403074","Ints8",-0.000534797528421239,0.000534797528421239,27917,"Ints8",0.000409604909279709,0.000409604909279709,29072,"Ints8",28494
"49225","Ints4",0.000760015687742237,0.000760015687742237,26741,"Ints4",0.000170146869263369,0.000170146869263369,30252,"Ints4",28496
"201737","Kbtbd11",4.16812955406625e-05,4.16812955406625e-05,30665,"Kbtbd11",-0.000995302012414,0.000995302012414,26327,"Kbtbd11",28496
"410137","Nfib",0,0,31313,"Nfib",-0.00113186638898021,0.00113186638898021,25692,"Nfib",28502
"234768","Diaph1",0.000790654081312071,0.000790654081312071,26579,"Diaph1",0.000127675162627776,0.000127675162627776,30431,"Diaph1",28505
"249847","Herpud1",-0.000573303257658626,0.000573303257658626,27724,"Herpud1",-0.000363496982398499,0.000363496982398499,29297,"Herpud1",28510
"130395","Rnft2",3.65535081000689e-05,3.65535081000689e-05,30707,"Rnft2",-0.000998372531580517,0.000998372531580517,26317,"Rnft2",28512
"523871","Aagab",-0.000470205060005675,0.000470205060005675,28260,"Aagab",0.000472192406706853,0.000472192406706853,28776,"Aagab",28518
"545489","Bysl",-0.000175148954766384,0.000175148954766384,29875,"Bysl",0.000809525944783957,0.000809525944783957,27160,"Bysl",28518
"196926","Borcs8",1.92043914907177e-05,1.92043914907177e-05,30795,"Borcs8",0.00101503442713899,0.00101503442713899,26242,"Borcs8",28518
"38830","Rps5",-0.000696683139586315,0.000696683139586315,27065,"Rps5",-0.000227991757793044,0.000227991757793044,29973,"Rps5",28519
"289818","Cplane1",-0.000361318590207251,0.000361318590207251,28866,"Cplane1",-0.000594357534275376,0.000594357534275376,28177,"Cplane1",28522
"261719","Acsf3",0.000778663144243341,0.000778663144243341,26642,"Acsf3",0.000130596018104347,0.000130596018104347,30424,"Acsf3",28533
"342509","LOC120101899",-0.000445953012918145,0.000445953012918145,28409,"LOC120101899",-0.000494203974861456,0.000494203974861456,28657,"LOC120101899",28533
