"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
49,"17276",0,0,0,0,0,0,0,0,0,-0.071405542329065,-0.000263680818523126,1.35309788531606e-08
50,"17327",0,0,0,0,0,0,0,0,0,-0.0716692162802679,-0.000263666982052115,1.41419631677103e-08
51,"17379",0,0,0,0,0,0,0,0,0,-0.0719328760895078,-0.00026365253459679,1.475294748226e-08
52,"17636",0,0,0,0,0,0,0,0,0,-0.0721965211458001,-0.000263637476157151,1.53639317968097e-08
53,"17662",0,0,0,0,0,0,0,0,0,-0.0724601508381606,-0.000263621806733197,1.59749161113594e-08
54,"18165",0,0,0,0,0,0,0,0,0,-0.072723764555605,-0.000263605526324928,1.65859004259091e-08
55,"19428",0,0,0,0,0,0,0,0,0,-0.072987361687149,-0.000263588634932345,1.71968847404588e-08
56,"19850",0,0,0,0,0,0,0,0,0,-0.0732509416218083,-0.000263571132555447,1.78078690550085e-08
57,"20801",0,0,0,0,0,0,0,0,0,-0.0735145037485985,-0.000263553019194235,1.84188533695583e-08
58,"20805",0,0,0,0,0,0,0,0,0,-0.0737780474565353,-0.000263534294848708,1.9029837684108e-08
59,"21012",0,0,0,0,0,0,0,0,0,-0.0740415721346345,-0.000263514959518867,1.96408219986577e-08
60,"21107",0,0,0,0,0,0,0,0,0,-0.0743050771719116,-0.000263495013204711,2.02518063132074e-08
61,"22044",0,0,0,0,0,0,0,0,0,-0.0745685619573825,-0.00026347445590624,2.08627906277571e-08
62,"22297",0,0,0,0,0,0,0,0,0,-0.0748320258800627,-0.000263453287623455,2.14737749423068e-08
63,"22347",0,0,0,0,0,0,0,0,0,-0.0750954683289679,-0.000263431508356356,2.20847592568565e-08
64,"22472",0,0,0,0,0,0,0,0,0,-0.0753588886931139,-0.000263409118104942,2.26957435714062e-08
65,"22789",0,0,0,0,0,0,0,0,0,-0.0756222863615164,-0.000263386116869213,2.33067278859559e-08
66,"22825",0,0,0,0,0,0,0,0,0,-0.0758856607231909,-0.00026336250464917,2.39177122005056e-08
67,"22966",0,0,0,0,0,0,0,0,0,-0.0761490111671533,-0.000263338281444812,2.45286965150553e-08
68,"22967",0,0,0,0,0,0,0,0,0,-0.0764123370824191,-0.00026331344725614,2.5139680829605e-08
69,"23297",0,0,0,0,0,0,0,0,0,-0.0766756378580041,-0.000263288002083153,2.57506651441547e-08
70,"24206",0,0,0,0,0,0,0,0,0,-0.076938912882924,-0.000263261945925851,2.63616494587044e-08
71,"24252",0,0,0,0,0,0,0,0,0,-0.0772021615461944,-0.000263235278784235,2.69726337732541e-08
72,"24364",0,0,0,0,0,0,0,0,0,-0.077465383236831,-0.000263208000658305,2.75836180878038e-08
73,"24864",0,0,0,0,0,0,0,0,0,-0.0777285773438496,-0.00026318011154806,2.81946024023535e-08
