"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","Std","Strong","Weak","HBFSS","Ovlp","Std_PAS_n","Strong_PAS_n","Weak_PAS_n","HBFSS_PAS_n","Std_PAS_IDs","Strong_PAS_IDs","Weak_PAS_IDs","HBFSS_PAS_IDs","WTTS_DE_PAS_n","WTTS_DE_APA","WTTS_DE_PAS_IDs","Methods"
"RT4_ZT10","RawEVS Rem","ADPRS","Adprs","babelgene","SCZ(1)",1,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"414732",1,FALSE,"414732","HBFSS"
"RT4_ZT10","RawEVS Rem","CDIP1","Cdip1","babelgene","SCZ(2)",2,1,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"82915",1,FALSE,"82915","HBFSS"
"RT4_ZT10","RawEVS Rem","CYP2D7","Cyp2d4","babelgene","SCZ(6)",6,3,TRUE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"482314",NA,NA,"482314",1,FALSE,"482314","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","GATAD2A","Gatad2a","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2,0,0,2,"205543; 205547",NA,NA,"205543; 205547",2,TRUE,"205543; 205547","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","TMA7","LOC100910678","babelgene","DEP(20)",20,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"369633",NA,NA,"369633",1,FALSE,"369633","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","MAPT","Mapt","babelgene","AD(1), ANX(2), ASD(1), DEP(2), MDD(2), PD(2), PTSD(2), SCZ(2)",14,2,TRUE,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"95459",1,FALSE,"95459","HBFSS"
"RT4_ZT10","RawEVS Rem","MARK3","Mark3","babelgene","SCZ(1)",1,1,FALSE,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,2,0,2,"467700; 467701","467700; 467701",NA,"467700; 467701",2,TRUE,"467700; 467701","Std+Str+HBFSS"
"RT4_ZT10","RawEVS Rem","MFHAS1","Mfhas1","babelgene","ANX(1), DEP(1)",2,1,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"200080",1,FALSE,"200080","HBFSS"
"RT4_ZT10","RawEVS Rem","MTRF1L","Mtrf1l","babelgene","SCZ(1)",1,1,FALSE,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"35839",NA,NA,"35839",1,FALSE,"35839","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","NDFIP2","Ndfip2","babelgene","BIP(1), SCZ(1)",2,1,FALSE,5,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"191750",NA,NA,"191750",1,FALSE,"191750","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","PGS1","Pgs1","babelgene","BIP(1)",1,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"97529",NA,NA,"97529",1,FALSE,"97529","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","PLEKHM1","Plekhm1","babelgene","ANX(1), DEP(1), PD(1), PTSD(1), SCZ(1)",5,1,FALSE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"78129",NA,NA,"78129",1,FALSE,"78129","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","PRKCD","Prkcd","babelgene","ANX(1), BIP(1), SCZ(1)",3,1,FALSE,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"194618",1,FALSE,"194618","HBFSS"
"RT4_ZT10","RawEVS Rem","HLA-B; HLA-C","RT1-M3-1","babelgene","ANX(23), BIP(4), DEP(10), MDD(11), PTSD(1), SCZ(15)",64,3,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"308148",1,FALSE,"308148","HBFSS"
"RT4_ZT10","RawEVS Rem","RAB29","Rab29","babelgene","PD(1)",1,1,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"145570",1,FALSE,"145570","HBFSS"
"RT4_ZT10","RawEVS Rem","RBM6","Rbm6","babelgene","DEP(1)",1,1,FALSE,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"514594",1,FALSE,"514594","HBFSS"
"RT4_ZT10","RawEVS Rem","SF3B1","Sf3b1","babelgene","SCZ(1)",1,1,FALSE,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,2,"549537",NA,NA,"538388; 549537",2,TRUE,"538388; 549537","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","SNX19","Snx19","babelgene","ADHD(1), BIP(1), SCZ(3)",5,1,FALSE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"519450",NA,NA,"519450",1,FALSE,"519450","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","SPG7","Spg7","babelgene","SCZ(2)",2,2,TRUE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"261774",NA,NA,"261774",1,FALSE,"261774","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","TMA7","Tma7","babelgene","DEP(20)",20,2,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"515030",1,FALSE,"515030","HBFSS"
"RT4_ZT10","RawEVS Rem","WAC","Wac","babelgene","BIP(1)",1,1,FALSE,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"218787",NA,NA,"218787",1,FALSE,"218787","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","XRN2","Xrn2","babelgene","ASD(12)",12,2,TRUE,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"355829",1,FALSE,"355829","HBFSS"
"RT4_ZT10","RawEVS Rem","ZDHHC24","Zdhhc24","babelgene","BIP(1)",1,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"56025",NA,NA,"56025",1,FALSE,"56025","Std+HBFSS"
"RT4_ZT10","RawEVS Rem","ZMAT2","Zmat2","babelgene","BIP(3), DEP(3), MDD(1), PTSD(3), SCZ(7)",17,2,TRUE,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"243239",1,FALSE,"243239","HBFSS"
