"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","WTTS_DE_PAS","Apeglm_LFC","Std","Strong","Weak","HBFSS","Ovlp","Support","Std_BH","Strong_BH","Weak_BH","EmpP","HBFSS_score"
"RT4_ZT10","RawEVS Rem","ADPRS","Adprs","babelgene","SCZ(1)",1,1,FALSE,1,FALSE,"414732",0.896697923283719,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.10555184392938,1,0.744035172193496,0.00884729237951221,1.84109086855212
"RT4_ZT10","RawEVS Rem","CDIP1","Cdip1","babelgene","SCZ(2)",2,1,FALSE,3,TRUE,"82915",0.906123297421801,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.170558168607844,1,0.82613969252508,0.0184947097157699,1.57026861615622
"RT4_ZT10","RawEVS Rem","CYP2D7","Cyp2d4","babelgene","SCZ(6)",6,3,TRUE,2,TRUE,"482314",2.03147700359776,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.00985184069768661,1,0.999999988332186,0.000381283382534514,6.94511631717104
"RT4_ZT10","RawEVS Rem","GATAD2A","Gatad2a","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,"205543",1.41562974147292,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0723794195679709,1,0.952900922431511,0.00520111118328526,3.23316223411596
"RT4_ZT10","RawEVS Rem","GATAD2A","Gatad2a","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,"205547",1.03227140282021,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.00915503657052493,1,0.77592458848338,0.000341068870840511,3.57904796635879
"RT4_ZT10","RawEVS Rem","TMA7","LOC100910678","babelgene","DEP(20)",20,2,TRUE,2,TRUE,"369633",1.42666702136852,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.00985184069768661,1,0.961893344807558,0.000379103513477252,4.88097340540887
"RT4_ZT10","RawEVS Rem","MAPT","Mapt","babelgene","AD(1), ANX(2), ASD(1), DEP(2), MDD(2), PD(2), PTSD(2), SCZ(2)",14,2,TRUE,9,TRUE,"95459",1.37317175889194,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.113722772641725,1,0.951053174488428,0.0100703318046202,2.74216388471806
"RT4_ZT10","RawEVS Rem","MARK3","Mark3","babelgene","SCZ(1)",1,1,FALSE,5,TRUE,"467700",2.99888891676599,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Str+HBFSS",4.9449498955923e-05,0.0992980958669816,0.999999988332186,7.97103070659944e-07,18.2886806285239
"RT4_ZT10","RawEVS Rem","MARK3","Mark3","babelgene","SCZ(1)",1,1,FALSE,5,TRUE,"467701",3.17875669991156,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Str+HBFSS",6.94015941447755e-06,0.0603113589633029,0.999999988332186,9.61201520599531e-08,22.3059255842023
"RT4_ZT10","RawEVS Rem","MFHAS1","Mfhas1","babelgene","ANX(1), DEP(1)",2,1,FALSE,2,TRUE,"200080",-0.797251289806898,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.111460202616621,1,0.631629483204146,0.00977353037972706,1.60243406018152
"RT4_ZT10","RawEVS Rem","MTRF1L","Mtrf1l","babelgene","SCZ(1)",1,1,FALSE,4,TRUE,"35839",-1.60029416878821,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0408188553363302,1,0.974226613270837,0.00249463501983405,4.16555449576879
"RT4_ZT10","RawEVS Rem","NDFIP2","Ndfip2","babelgene","BIP(1), SCZ(1)",2,1,FALSE,5,TRUE,"191750",-1.15164856922146,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",2.19387103174098e-05,1,0.886209829304015,3.34831860460127e-07,7.4571239789095
"RT4_ZT10","RawEVS Rem","PGS1","Pgs1","babelgene","BIP(1)",1,1,FALSE,1,FALSE,"97529",2.87092452709764,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0248526996940552,0.901621957767391,NA,0.00128996186726305,8.29531572661728
