"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled"
0.005,155,77,233,0.0745934451403084,0.118026647831357,1.56548213968487,0.514632291278623,105,208,77,233,157,0.116846284527096,0.0533021907916033
0.01,310,232,388,0.115942013606595,0.103578727509628,1.45601169689647,0.483333429055686,232,388,325,277,157,0.211141602369246,0.042849848419452
0.015,465,387,543,0.060058889491631,0.0688914742952508,1.35389828547181,0.407550876781046,387,486,387,543,157,0.0837002629011246,0.0177553684892919
0.02,620,542,698,0.0887297608149963,0.0443488272901445,1.32439636449581,0.45515258138464,542,655,542,620,157,0.149084120783713,0
0.025,775,697,853,0.0372740695680489,0.10981605228915,1.27068881511512,0.387659071298336,853,758,740,853,157,0.0317395320617455,0.0473622386202629
0.03,930,852,1008,0.0778799262153093,0.106506760853533,1.29508446159766,0.424511763242938,1008,927,975,924,157,0.124341097262925,0.0449681330103174
0.035,1086,1008,1164,0.0796843486103056,0.0816841664981591,1.22792259809911,0.35652296324458,1008,1102,1059,1112,157,0.128456078496106,0.0270102367186833
0.04,1241,1163,1319,0.0871507112050872,0.127884867685797,1.19642587364862,0.370808215005281,1163,1243,1291,1319,157,0.1454831016825,0.0604341161347672
0.045,1396,1318,1474,0.113827128242656,0.0833065660610693,1.18235448627448,0.333814603357547,1420,1464,1439,1474,157,0.206318611030262,0.0281839610553592
0.05,1551,1473,1629,0.097865848117391,0.110686493703346,1.15072196878798,0.37880732930916,1504,1611,1498,1554,157,0.169918947428688,0.0479919591249083
0.055,1706,1628,1784,0.17553505298339,0.0648945454787479,1.15649468808352,0.331178761381765,1784,1628,1666,1717,157,0.347043395288545,0.0148637918819393
0.06,1861,1783,1939,0.0875436457745972,0.121808079571865,1.05021912161017,0.30838924114095,1859,1939,1865,1908,157,0.146379188088813,0.0560378661226241
0.065,2016,1938,2094,0.108723277224875,0.157905882771839,1.09876369465263,0.201473199753368,2055,1940,1938,2094,157,0.19467929020751,0.0821528078946394
0.07,2171,2093,2249,0.139209105348377,0.12720151950984,1.11268403108515,0.278953885471232,2093,2191,2249,2093,157,0.264202153010624,0.0599397481610076
0.075,2326,2248,2404,0.081901317595612,0.116263442836799,1.07710535906692,0.296500186022647,2248,2299,2404,2304,157,0.133511871305139,0.0520266008198281
0.08,2481,2403,2559,0.046336989742404,0.177431928582929,1.06772823625298,0.274205110912084,2439,2485,2522,2403,157,0.0524075012349865,0.0962789181892045
0.085,2636,2558,2714,0.180788867596606,0.1766484546138,1.07783065084619,0.25344108370426,2714,2558,2679,2632,157,0.359024707755043,0.0957121142490765
0.09,2791,2713,2869,0.0841964535545772,0.287953930657974,1.02373671311647,0.21538712828721,2839,2787,2869,2713,157,0.138745923722649,0.176236017869952
0.095,2947,2869,3025,0.199696118441825,0.193109959304063,0.98540170310286,0.227111670327978,2978,2869,2900,2869,157,0.402142650989883,0.107621183454327
0.1,3102,3024,3180,0.0914244052804126,0.162948921395367,0.997100819415675,0.288607849769332,3145,3180,3125,3024,157,0.155229251456017,0.0858011922375284
0.105,3257,3179,3335,0.07839447591754,0.115423918222925,1.01144988096814,0.145675010061353,3179,3289,3179,3335,157,0.125514526707211,0.0514192470624253
0.11,3412,3334,3490,0.199422015125902,0.202109650545306,0.98677138413066,0.172584883227052,3490,3334,3378,3334,157,0.401517558991411,0.114132006604123
0.115,3567,3489,3645,0.106526717236704,0.0842274302021889,1.0273821657157,0.225481922218791,3601,3554,3489,3588,157,0.189670040070764,0.0288501598623074
0.12,3722,3644,3800,0.145261368968871,0.283360530395521,0.902497177669611,0.261467450893307,3746,3644,3734,3778,157,0.278004326651151,0.172912924225584
0.125,3877,3799,3955,0.318051054418503,0.273121295884473,0.892637682770185,0.178705450314104,3848,3955,3860,3955,157,0.672050817585972,0.165505353976372
0.13,4032,3954,4110,0.173966030909804,0.211451494247011,0.989144482474381,0.207405969803462,4025,3954,4027,4110,157,0.343465243961475,0.120890359819187
0.135,4187,4109,4265,0.18184998537329,0.482536338907067,0.950517238909284,0.322668250863579,4198,4255,4265,4231,157,0.361444584469808,0.317006585905163
0.14,4342,4264,4420,0.166784466249669,0.452211561744525,0.922862712574972,0.153287590259399,4264,4365,4331,4420,157,0.327087701827614,0.295068137588461
0.145,4497,4419,4575,0.0844839880853889,0.296067628766554,1.03510287412427,0.18235405716366,4528,4481,4516,4419,157,0.139401645576614,0.18210586963039
0.15,4652,4574,4730,0.115963143539602,0.230695304358119,0.852076985253226,0.108637756160692,4697,4647,4730,4574,157,0.211189789134177,0.134812286805693
0.155,4807,4729,4885,0.0450553851797322,0.247559412529767,0.946864826200855,0.0813184483844583,4885,4810,4788,4885,157,0.0494848048982652,0.147012619343931
0.16,4963,4885,5041,0.324741455580702,0.726400348167769,1.06150794963322,0.222408009816821,4885,5041,4885,5041,157,0.687308262462098,0.493429909143239
0.165,5118,5040,5196,0.0850761059457294,0.577908899584063,0.938293046350886,0.143679518992375,5119,5040,5196,5040,157,0.140751969031858,0.386003828062258
0.17,5273,5195,5351,0.117621629008156,0.467863481014705,0.99688350054452,0.308771963095604,5262,5207,5351,5239,157,0.214971961533238,0.306391512534484
0.175,5428,5350,5506,0.146656831347223,0.200274456563754,0.994161555218396,0.0071487138100562,5490,5378,5350,5382,157,0.281186675481699,0.112804336227532
0.18,5583,5505,5661,0.181751813552209,0.596330865730293,0.976968841745729,0.345214509795919,5526,5574,5661,5566,157,0.361220703851556,0.399331192350043
0.185,5738,5660,5816,0.1088457699186,0.416919585978225,0.940499864428498,0.252880310665918,5816,5777,5660,5701,157,0.19495863452139,0.269536171361858
0.19,5893,5815,5971,0.172197119956081,0.31670346363712,0.877866853739663,0.0990103404918538,5882,5842,5971,5873,157,0.339431246490637,0.197034856391062
0.195,6048,5970,6126,0.123580298163194,0.516083771790587,0.961289245546286,0.23801609536612,6014,6126,5970,6072,157,0.228560693204776,0.341276463257543
0.2,6203,6125,6281,0.0849340960433024,0.440832126869013,0.986517801252725,0.0405542190969681,6219,6265,6219,6125,157,0.140428115767216,0.286835689826304
0.205,6358,6280,6436,0.183336397788956,0.542424588261883,0.886078422225455,0.202610424288034,6410,6370,6280,6322,157,0.364834344656886,0.360332716752098
0.21,6513,6435,6591,0.17276329974747,0.544278015522874,0.948305475816208,0.129967724386121,6487,6591,6490,6591,157,0.340722418237691,0.36167357798765
0.215,6668,6590,6746,0.134079581125285,0.267075788287312,0.857896845356375,0.0348041592615114,6590,6746,6627,6590,157,0.252504284500621,0.161131733841996
0.22,6824,6746,6902,0.140239102837313,0.48985063545102,0.920152201135597,0.167678330552006,6746,6844,6841,6746,157,0.266551059978831,0.322298110912667
0.225,6979,6901,7057,0.140034098774583,0.576118905635672,0.845586419752972,0.0871246765635654,6901,7057,7019,7057,157,0.266083548672608,0.384708857632187
0.23,7134,7056,7212,0.182144343423632,0.573839808420559,1.01417400169463,0.182556224446052,7119,7076,7106,7152,157,0.362115867344787,0.383060045632861
0.235,7289,7211,7367,0.365662831170383,0.168595333716444,0.858208376795982,-0.209752364852768,7367,7211,7323,7367,157,0.780629367905281,0.0898860870486844
0.24,7444,7366,7522,0.17555347113077,0.124711573533354,0.904771879763208,-0.192195284028255,7366,7417,7473,7522,157,0.347085397832422,0.0581383977067659
0.245,7599,7521,7677,0.224973894615719,0.843001178165767,0.952558916638988,0.419966210773454,7545,7589,7633,7585,157,0.459788562978434,0.577784734535178
0.25,7754,7676,7832,0.153709335378597,0.0616649038967818,0.963851256922156,-0.173987569690722,7783,7737,7753,7832,157,0.297269895140529,0.0125273089278301
0.255,7909,7831,7987,0.117291682786242,0.103076430953286,0.925481261040533,-0.246629019869735,7955,7987,7831,7987,157,0.214219519912641,0.0424864621699206
0.26,8064,7986,8142,0.12540970320666,0.312576626505568,1.03754887480902,-0.0160395705851533,7991,8040,8012,8119,157,0.232732647311875,0.194049297663401
0.265,8219,8141,8297,0.118586760706395,0.683730864168521,0.98691169989661,0.433684073932691,8207,8160,8273,8153,157,0.217172942210942,0.462560687437163
0.27,8374,8296,8452,0.226652303339736,0.763454057304157,0.848166050829278,0.0756090156256948,8407,8452,8296,8452,157,0.463616170316986,0.520236400695463
0.275,8529,8451,8607,0.0970583402589684,0.219040774470638,0.989026033287545,-0.0349821637399933,8538,8607,8607,8516,157,0.168077427564897,0.12638082166346
0.28,8684,8606,8762,0.130151140692611,0.149020954845278,0.945810945229225,-0.228116016104356,8656,8703,8641,8742,157,0.243545484886434,0.0757250102204903
0.285,8840,8762,8918,0.20301419983213,0.230309709812925,0.958316764234979,-0.169210661046076,8848,8798,8849,8913,157,0.409709528174036,0.134533328581018
0.29,8995,8917,9073,0.295627666638615,0.395108447443767,0.929985182938149,-0.0461761184606346,8917,9073,8984,9031,157,0.620914331941341,0.253756911619837
0.295,9150,9072,9228,0.247798916102688,0.295143660526787,0.911359677513373,-0.0433269282353409,9226,9180,9144,9228,157,0.511840973393138,0.181437425164475
0.3,9305,9227,9383,0.173812993308079,0.947247056570503,1.03482774900276,0.187800172358556,9383,9338,9301,9227,157,0.343116242053265,0.653201374972573
0.305,9460,9382,9538,0.248668492572891,0.229855572420532,1.02119834222916,-0.110109704964353,9382,9466,9484,9538,157,0.513824040587173,0.13420478306003
0.31,9615,9537,9693,0.245233320234707,0.270111561489278,0.895808756455361,-0.223452508348723,9693,9537,9693,9537,157,0.505990137758453,0.163327962791531
0.315,9770,9692,9848,0.242916723581003,0.60450223787983,1.04824813084539,0.294311327408635,9692,9848,9692,9848,157,0.500707144274623,0.405242768373118
0.32,9925,9847,10003,0.112875313284505,0.812467711355216,0.976009805054485,0.327449368161483,9945,9906,10000,9944,157,0.204147999148524,0.555695309773289
0.325,10080,10002,10158,0.084722785462446,0.727033894423184,0.922576380526416,0.374778797981815,10070,10122,10035,10107,157,0.139946222460523,0.493888247936832
