"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.005,155,0.186893864914472,0.0469840831078293,155,155,0.116846284527096,0.0533021907916033,157,155,0.303740149441568,0.100286273899433,0.203453875542135,157
0.01,309,0.243974342286695,0.103962450384262,155,310,0.211141602369246,0.042849848419452,157,310,0.455115944655941,0.146812298803714,0.308303645852226,157
0.015,464,0.160655899207756,0.112945689693536,155,465,0.0837002629011246,0.0177553684892919,157,464,0.24435616210888,0.130701058182828,0.113655103926052,157
0.02,618,0.311507240790009,0.0950504412027957,155,620,0.149084120783713,0,157,619,0.460591361573722,0.0950504412027957,0.365540920370927,157
0.025,773,0.240502475479269,0.104387036710918,155,775,0.0317395320617455,0.0473622386202629,157,774,0.272242007541014,0.151749275331181,0.120492732209833,157
0.03,927,0.249301880355822,0.263075369284257,155,930,0.124341097262925,0.0449681330103174,157,928,0.373642977618746,0.308043502294574,0.0655994753241722,157
0.035,1082,0.154093338882802,0.130540965884945,155,1086,0.128456078496106,0.0270102367186833,157,1084,0.282549417378907,0.157551202603628,0.124998214775279,157
0.04,1236,0.163731287768075,0.15463052856906,155,1241,0.1454831016825,0.0604341161347672,157,1238,0.309214389450576,0.215064644703827,0.0941497447467487,157
0.045,1391,0.155321132787202,0.0830341506728066,155,1396,0.206318611030262,0.0281839610553592,157,1394,0.361639743817464,0.111218111728166,0.250421632089298,157
0.05,1545,0.158988506887827,0.155663251202437,155,1551,0.169918947428688,0.0479919591249083,157,1548,0.328907454316515,0.203655210327346,0.125252243989169,157
0.055,1700,0.266032050696796,0.159691659049715,155,1706,0.347043395288545,0.0148637918819393,157,1703,0.613075445985341,0.174555450931654,0.438519995053687,157
0.06,1854,0.326043278539355,0.287785768634722,155,1861,0.146379188088813,0.0560378661226241,157,1858,0.472422466628168,0.343823634757346,0.128598831870821,157
0.065,2009,0.275356443454885,0.158137486738919,155,2016,0.19467929020751,0.0821528078946394,157,2012,0.470035733662395,0.240290294633558,0.229745439028837,157
0.07,2163,0.199063153113413,0.0783594732070197,155,2171,0.264202153010624,0.0599397481610076,157,2167,0.463265306124037,0.138299221368027,0.32496608475601,157
0.075,2318,0.380987621650243,0.372812650920943,155,2326,0.133511871305139,0.0520266008198281,157,2322,0.514499492955382,0.424839251740771,0.0896602412146108,157
0.08,2472,0.260616573904926,0.11997676729702,155,2481,0.0524075012349865,0.0962789181892045,157,2476,0.313024075139913,0.216255685486224,0.0967683896536884,157
