"role","index","rank","d1_here","d2_here","var_fit_here"
"cutoff_anchor",26543,26543,-0.00041062923263753,6.43183955781631e-10,4.12329131071372
"leading_edge_5000_reference",26758,26758,-0.000285110407046255,7.03504403028378e-07,4.04548457787347
"terminal_start",26972,26972,-0.000200571891136914,-3.55573424321198e-09,3.99634675058585
