"feature_id","gene_symbol","rank","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"304","Sash1",1,0,0,0,0,0,NA,0,0,0,0,NA
"672","-",2,0,0,0,0,0,NA,0,0,0,0,NA
"845","Stxbp5",3,0,0,0,0,0,NA,0,0,0,0,NA
"926","-",4,0,0,0,0,0,NA,0,0,0,0,NA
"1110","Epm2a",5,0,0,0,0,0,NA,0,0,0,0,NA
"2081","Pde7b",6,0,0,0,0,0,NA,0,0,0,0,NA
"2515","Stx7",7,0,0,0,0,0,NA,0,0,0,0,NA
"2598","Tbpl1",8,0,0,0,0,0,NA,0,0,0,0,NA
"2674","-",9,0,0,0,0,0,NA,0,0,0,0,NA
"3299","-",10,0,0,0,0,0,NA,0,0,0,0,NA
"4060","Syne1",11,0,0,0,0,0,NA,0,0,0,0,NA
"4233","Cnksr3",12,0,0,0,0,0,NA,0,0,0,0,NA
"4256","Cnksr3",13,0,0,0,0,0,NA,0,0,0,0,NA
"4279","Scaf8",14,0,0,0,0,0,NA,0,0,0,0,NA
"5576","-",15,0,0,0,0,0,NA,0,0,0,0,NA
"5911","-",16,0,0,0,0,0,NA,0,0,0,0,NA
"6569","Prkcg",17,0,0,0,0,0,NA,0,0,0,0,NA
"6892","Smim17",18,0,0,0,0,0,NA,0,0,0,0,NA
"7603","RGD1564801",19,0,0,0,0,0,NA,0,0,0,0,NA
"7900","Arhgap35",20,0,0,0,0,0,NA,0,0,0,0,NA
"7942","Slc1a5",21,0,0,0,0,0,NA,0,0,0,0,NA
"8136","Polr1g",22,0,0,0,0,0,NA,0,0,0,0,NA
"8529","Grik5",23,0,0,0,0,0,NA,0,0,0,0,NA
"8595","Pou2f2",24,0,0,0,0,0,NA,0,0,0,0,NA
"8739","Tmem91",25,0,0,0,0,0,NA,0,0,0,0,NA
"8820","Cyp2s1",26,0,0,0,0,0,NA,0,0,0,0,NA
"9679","LOC100912787",27,0,0,0,0,0,NA,0,0,0,0,NA
"9694","Zfp27",28,0,0,0,0,0,NA,0,0,0,0,NA
"9751","Zfp14",29,0,0,0,0,0,NA,0,0,0,0,NA
"9936","Cox6b1",30,0,0,0,0,0,NA,0,0,0,0,NA
"10879","LOC102555051",31,0,0,0,0,0,NA,0,0,0,0,NA
"10937","Zfp17",32,0,0,0,0,0,NA,0,0,0,0,NA
"11017","RGD1309036",33,0,0,0,0,0,NA,0,0,0,0,NA
"11317","Bcl2l12",34,0,0,0,0,0,NA,0,0,0,0,NA
"11500","Snrnp70",35,0,0,0,0,0,NA,0,0,0,0,NA
"11734","-",36,0,0,0,0,0,NA,0,0,0,0,NA
"11758","Kcnj11",37,0,0,0,0,0,NA,0,0,0,0,NA
"12059","Prmt3",38,0,0,0,0,0,NA,0,0,0,0,NA
"12336","Cyfip1",39,0,0,0,0,0,NA,0,0,0,0,NA
"12384","Nipa1",40,0,0,0,0,0,NA,0,0,0,0,NA
"12443","-",41,0,0,0,0,0,NA,0,0,0,0,NA
"12931","Ube3a",42,0,0,0,0,0,NA,0,0,0,0,NA
"14858","-",43,0,0,0,0,0,NA,0,0,0,0,NA
"14901","-",44,0,0,0,0,0,NA,0,0,0,0,NA
"16502","-",45,0,0,0,0,0,NA,0,0,0,0,NA
"16970","Fes",46,0,0,0,0,0,NA,0,0,0,0,NA
"17119","Pde8a",47,0,0,0,0,0,NA,0,0,0,0,NA
"17197","Homer2",48,0,0,0,0,0,NA,0,0,0,0,NA
"17276","Hdgfl3",49,0,0,0,0,0,NA,0,0,0,0,NA
"17327","Adamtsl3",50,0,0,0,0,0,NA,0,0,0,0,NA
"17379","Tlnrd1",51,0,0,0,0,0,NA,0,0,0,0,NA
"17636","-",52,0,0,0,0,0,NA,0,0,0,0,NA
"17662","Folh1",53,0,0,0,0,0,NA,0,0,0,0,NA
"18165","-",54,0,0,0,0,0,NA,0,0,0,0,NA
"19428","Tpp1",55,0,0,0,0,0,NA,0,0,0,0,NA
"19850","Dennd5a",56,0,0,0,0,0,NA,0,0,0,0,NA
"20801","Arl6ip1",57,0,0,0,0,0,NA,0,0,0,0,NA
"20805","Smg1",58,0,0,0,0,0,NA,0,0,0,0,NA
"21012","Gprc5b",59,0,0,0,0,0,NA,0,0,0,0,NA
"21107","Eri2",60,0,0,0,0,0,NA,0,0,0,0,NA
"22044","Taok2",61,0,0,0,0,0,NA,0,0,0,0,NA
"22297","-",62,0,0,0,0,0,NA,0,0,0,0,NA
"22347","Hsd3b7",63,0,0,0,0,0,NA,0,0,0,0,NA
"22472","Rusf1",64,0,0,0,0,0,NA,0,0,0,0,NA
"22789","Cuzd1",65,0,0,0,0,0,NA,0,0,0,0,NA
"22825","-",66,0,0,0,0,0,NA,0,0,0,0,NA
"22966","-",67,0,0,0,0,0,NA,0,0,0,0,NA
"22967","-",68,0,0,0,0,0,NA,0,0,0,0,NA
"23297","-",69,0,0,0,0,0,NA,0,0,0,0,NA
"24206","Cars",70,0,0,0,0,0,NA,0,0,0,0,NA
"24252","Mrgpre",71,0,0,0,0,0,NA,0,0,0,0,NA
