"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_standard_call","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT4_ZT10_leading_edge_dataset","92652","Septin4",426.037860066688,2.24299803260674,"upregulated",1.17118658678891e-05,4.64172475626157e-14,4.57441974729578e-11,4.53459270133294e-09,4.26757811556682e-06,18.714368212617,0.018865349975457,1.72433513369119,1,5.83429643905081e-05,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",3.6120137145401,0.478944076640329,7.541618929453,TRUE,TRUE,12,5.83429643905081e-05,1,FALSE,TRUE,757.479963632601,755.906871068953,506.09467978958,262.946456671074,1655.07821064533,57.996507078811,45.4619219554235,23.4801605576177,51.7082212827594,144.225607984726,0.398019511422837,0.100917387721367,0.264689485058252,11,FALSE,10.3396639871778,8.34346171533099
"RT4_ZT10_leading_edge_dataset","348412","Alkbh3",308.036372054804,-2.1276373004605,"downregulated",8.72988301957914e-06,3.94772460192055e-14,4.57441974729578e-11,4.10755407465047e-09,4.05223579140265e-06,17.8432530104773,0.018865349975457,1.72433513369119,1,0.000535040979805116,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",-2.96319403518757,0.391816692985355,-7.56270492870074,TRUE,TRUE,12,0.000535040979805116,1,FALSE,TRUE,39.3983386657204,58.8032948635823,56.7175072177977,99.2544925378956,96.3531161687406,533.315706398631,475.764299533501,181.319017639381,579.436244374451,960.001703148334,0.221007670187644,0.111871782520987,0.177364582434835,7,FALSE,10.3396639871778,8.38641671050575
"RT4_ZT10_leading_edge_dataset","386148","Atp6v1f",190.557327665739,1.68942096140217,"upregulated",0.0107306592095706,3.45970579985054e-09,9.29874563387101e-07,4.36018618277245e-06,0.00107046295726474,9.05613255851054,0.018865349975457,1.72433513369119,1,0.17214834756924,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",2.39350535970174,0.405119249122676,5.90815016784589,TRUE,TRUE,8.46096083037886,0.17214834756924,1,FALSE,TRUE,391.638247450912,274.099229283472,225.415733814324,172.006476597086,536.650267268935,59.257300710959,30.6603659699368,37.8291475650507,60.8332015091287,117.18330648759,0.217396465737132,0.136254597950447,0.184941513016914,10,FALSE,6.03157563220196,5.36049496567996
"RT4_ZT10_leading_edge_dataset","357911","-",157.623657249957,1.6438776875262,"upregulated",0.0212762316819543,7.56297508523022e-08,1.27771061939904e-05,2.90646430194386e-05,0.0045588671594863,7.45767306414259,0.018865349975457,1.72433513369119,1,0.12592383296003,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",2.96265037093414,0.550959553445692,5.37725564863296,TRUE,TRUE,7.12130733030135,0.12592383296003,1,FALSE,TRUE,428.222419069081,199.172450344392,370.845239500985,322.187357976415,75.6189012969863,12.6079363214806,23.2595879771934,20.8712538289935,21.2916205281951,102.159805655848,0.499189712407023,0.149612682279027,0.344617549190719,10,FALSE,4.89356749565252,4.5366350068084
"RT4_ZT10_leading_edge_dataset","340122","Rnf208",222.113258244848,2.98316788332502,"upregulated",6.26909245705265e-13,2.18389556020578e-28,6.89763293811386e-25,2.22044604925031e-16,6.26909245705265e-13,46.6971967790774,0.018865349975457,1.72433513369119,1,9.10652815417199e-13,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",3.95080573911967,0.357528024544502,11.0503386249318,TRUE,TRUE,12,9.10652815417199e-13,1,FALSE,TRUE,455.895061703337,460.941956511307,312.673437226321,340.895011020207,514.696392698842,25.2158726429613,21.1450799792667,14.348987007433,16.7291304150104,58.591653243795,0.128827614763967,0.127171542723268,0.128027300330766,5,FALSE,12,12
"RT4_ZT10_leading_edge_dataset","96935","Cd300e",54.4492038388323,-1.53097213008562,"downregulated",0.0212762316819543,3.20468962206298e-07,4.40682086866474e-05,7.0775934976286e-05,0.00849052428527473,6.35370945969547,0.018865349975457,1.72433513369119,1,0.11527892744643,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",-3.39908649341294,0.665053961429255,-5.1109935291687,TRUE,TRUE,6.4942140260368,0.11527892744643,1,FALSE,TRUE,14.0708352377573,5.21642131854359,5.81718022746643,5.19657028994218,17.0752357767388,37.8238089644419,41.2329059595701,20.8712538289935,170.33296422556,226.854862559309,0.602594173933487,0.296069752632432,0.482271485374557,8,FALSE,4.35587460261728,4.15011438473418
"RT4_ZT10_leading_edge_dataset","65070","Cluap1",116.132309090944,1.67110497758071,"upregulated",0.000492535262361333,1.4136620386246e-11,6.9658196953227e-09,1.49642434221775e-07,6.49988775523773e-05,11.405199955231,0.018865349975457,1.72433513369119,1,0.157490306976683,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",2.06055576827718,0.304973899325127,6.75649874575154,TRUE,TRUE,10.8496544040495,0.157490306976683,1,FALSE,TRUE,175.885440471966,158.389520035778,148.338095800394,177.722703916023,275.643091824499,51.6925389180707,28.5458579720101,37.8291475650507,50.1873912450312,57.0893031606208,0.053052152640946,0.177226991558137,0.0947543452879357,9,FALSE,8.15702777109797,6.824945235782
"RT4_ZT10_leading_edge_dataset","496624","Polr2f",150.791118761047,1.90551708767343,"upregulated",0.00014684067502613,1.11722397589345e-11,6.00558669950724e-09,1.29567111706308e-07,5.98319792910773e-05,13.1242588926521,0.018865349975457,1.72433513369119,1,0.0158074516536962,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",2.62849909687294,0.387083059035333,6.79052992766859,TRUE,TRUE,10.9518597528077,0.0158074516536962,1,FALSE,TRUE,330.664628087297,250.388223290092,199.238422790725,158.495393843236,358.579951311516,35.3022217001458,44.4046679564601,13.0445336431209,50.1873912450312,67.6057537428404,0.169435248241562,0.153114842598342,0.162585071460144,9,FALSE,8.2214445589668,6.88750522236268
"RT4_ZT10_leading_edge_dataset","236894","Camk2a",75.2984357191553,1.48291641467585,"upregulated",0.03335529597198,8.5293920148447e-07,8.84812192697837e-05,0.00012951259726024,0.0121942978233025,5.76511633127721,0.018865349975457,1.72433513369119,1,0.178766966642007,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",3.26753504598981,0.663748988036616,4.92284749940674,TRUE,TRUE,6.06908192475376,0.178766966642007,1,FALSE,TRUE,171.195162059381,101.957325771534,97.4377688100628,85.2237527550517,225.63704419262,6.30396816074032,6.34352399378002,11.7400802788088,47.1457311695748,0,0.767004525018586,0.234116562951151,0.479291497733216,11,FALSE,4.05314890142714,3.88768798714619
"RT4_ZT10_leading_edge_dataset","150946","-",129.608108188246,-1.87703434869794,"downregulated",0.00014684067502613,8.91192694850025e-12,5.85513600516466e-09,1.1282678125113e-07,5.49968721212225e-05,13.0408609437025,0.018865349975457,1.72433513369119,1,0.0200849040823719,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",-2.52719063510441,0.37038943779828,-6.8230634494517,TRUE,TRUE,11.0500283820888,0.0200849040823719,1,FALSE,TRUE,18.2920858090845,35.0922888702024,26.1773110235989,62.8785005083004,48.7863879335396,221.899679258059,197.706497806144,161.7522171747,179.45794445193,344.038169046899,0.143049427360043,0.166319612796376,0.151318278824566,9,FALSE,8.23246301252902,6.94758780133602
