"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"377906","P3h3",1,0.0224388411510448,56.2,5205.2,1.63023517939236,91.6192170818505,4.5176410431465,4.02891675689965,0.48872428624685
"579569","-",2,0.0222676354574372,102.8,48614.7,4.59052180956563,471.905642023346,6.15677905463321,4.63278535302106,1.52399370161214
"320904","-",3,0.0220865614393156,539.8,1365465.2,4.68428332588154,2528.57613931086,7.83541163250916,6.2911987005839,1.54421293192526
"356876","Cdk5rap1",4,0.0215234403533774,41.6,3820.3,2.18351285133136,90.8341346153846,4.50903514685006,3.72810016726722,0.780934979582838
"454788","Pomc",5,0.0200537785412858,144.8,93620.7,4.45823063245933,645.55179558011,6.47010544809019,4.97535347995162,1.49475196813858
"542423","Mterf4",6,0.0192774322397258,44.2,2106.2,1.05546569480559,46.6515837104072,3.84270687549325,3.78872478908365,0.0539820864096001
"190957","-",7,0.0192039498235303,20.4,830.3,1.94612648981161,39.7009803921569,3.68137588240477,3.01553490085017,0.665840981554603
"424062","Cga",8,0.0188567160748765,100.8,48565.7,4.76986685878055,480.802579365079,6.17545674794263,4.61313835563727,1.56231839230536
"437342","Slc45a1",9,0.0185055694824639,19.4,708.3,1.83042831331704,35.5103092783505,3.56982305652987,2.96527306606928,0.604549990460585
"175538","-",10,0.0184010925920165,21,893,1.97732426303855,41.5238095238095,3.72626698618556,3.04452243772342,0.681744548462134
"515480","LOC120094274",11,0.0182153554805092,19,541.5,1.44736842105263,27.5,3.31418600467253,2.94443897916644,0.369747025506085
"350231","-",12,0.0179260293627706,21,1493,3.33786848072562,70.0952380952381,4.2498548615654,3.04452243772342,1.20533242384198
"241327","-",13,0.0175341670736119,17,411,1.36332179930796,23.1764705882353,3.14313756524172,2.83321334405622,0.309924221185502
"1941","Map7",14,0.0174806024768993,32.8,4829.7,4.45874851279001,146.246951219512,4.98529663953237,3.4904285153901,1.49486812414227
"180237","-",15,0.0174071563829127,78.6,16778.3,2.70310911692533,212.464376590331,5.35877433473647,4.36437169943516,0.994402635301313
"215708","Phactr1",16,0.0173367486713172,18,364.5,1.06944444444444,19.25,2.95751106073379,2.89037175789616,0.0671393028376285
"196954","Hapln4",17,0.0172150768221294,14.2,469.2,2.25649672683991,32.0422535211268,3.46705545434374,2.65324196460721,0.81381348973652
"165621","-",18,0.0171471682823617,18.4,940.8,2.72448015122873,50.1304347826087,3.91462830433991,2.91235066461494,1.00227763972497
"386541","LOC120102252",19,0.0170884624854441,18.4,684.3,1.96685964083176,36.1902173913044,3.58878884450164,2.91235066461494,0.676438179886697
"32364","Hivep2",20,0.0170218389485796,38.6,4072.3,2.70725388601036,104.5,4.64918707140487,3.65325227647079,0.995934794934081
"342509","LOC120101899",21,0.0169951623722332,12.6,297.8,1.79642227261275,22.6349206349206,3.11949387458271,2.53369681395743,0.585797060625276
"154464","Rufy3",22,0.0169023393518439,15.2,293.7,1.20541897506925,18.3223684210526,2.90812263151511,2.72129542785223,0.186827203662877
"468121","-",23,0.0168855825710361,14.2,388.7,1.85727038286054,26.3732394366197,3.27234983835006,2.65324196460721,0.619107873742844
"413301","Dmap1",24,0.016782999783423,15.8,306.2,1.16327511616728,18.379746835443,2.91124934291772,2.76000994003292,0.151239402884799
"258685","Kctd19",25,0.016760409161074,16.8,518.7,1.77827380952381,29.875,3.39702201025167,2.82137888640921,0.575643123842462
"533370","-",26,0.0167350784824575,28.6,1164.8,1.38906547997457,39.7272727272727,3.68203792229722,3.35340671782581,0.328631204471413
"433098","Cap1",27,0.01660508613022,673.4,2162562.3,4.7674609844197,3210.40822690823,8.07415338152986,6.51233950672697,1.56181387480288
"243210","Ik",28,0.0166025945813543,21,375.5,0.803854875283447,16.8809523809524,2.82618590824876,3.04452243772342,-0.218336529474664
"146923","RGD1562140",29,0.0165430689587235,14.2,609.2,2.95080341202142,41.9014084507042,3.73531944093841,2.65324196460721,1.0820774763312
"551315","Map2",30,0.0165430660356184,25.2,2367.2,3.68795666414714,92.9365079365079,4.53191654964029,3.22684399451738,1.30507255512291
"46520","LOC103691193",31,0.0164685925033805,12.6,402.8,2.45779793398841,30.968253968254,3.43296261423158,2.53369681395743,0.899265800274146
"100405","LOC120095602",32,0.0164653396396274,15,401,1.71555555555556,25.7333333333333,3.24778716836262,2.70805020110221,0.539736967260411
"353934","LOC120101677",33,0.0164468059967371,47,10241,4.61475780896333,216.893617021277,5.37940698918993,3.85014760171006,1.52925938747987
