"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R8_1","R8_2","R8_3","R8_4","R8_5","ZT14_1","ZT14_2","ZT14_3","ZT14_4","ZT14_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT8_ZT14_leading_edge_dataset","55601","Bc1",26020.6686535942,0.0127151524405433,"upregulated",1,0.170114509678302,0.170114509678302,0.908774421569748,0.182837457472079,0.98750561967151,0.00938295381161586,NA,NA,0.0630667039201896,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"intermediate",0.44460559994333,0.324095309208492,1.37183596093739,FALSE,FALSE,0.76925864226941,1,0.0630667039201896,FALSE,FALSE,30288.0255196175,26540.295282821,56549.1967092238,20001.2276156371,16611.6078047982,36035.5312582355,15307.1044903208,18723.2918320311,22725.0977638938,17425.3082593632,0.208800690364168,0.0686121403816196,0.126124474308962,11,FALSE,0.0415439051447685,0.737934826616592
"RT8_ZT14_leading_edge_dataset","248551","Mbp",24698.7357746705,-0.00749060889260201,"downregulated",1,0.558920904169768,0.558920904169768,0.986003838053641,0.570372362649465,0.995960533833114,0.00182652150568758,NA,NA,0.000420546071799953,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"intermediate",-0.129193823162935,0.221053829318474,-0.584445080916489,FALSE,FALSE,0.252649647056481,1,0.000420546071799953,FALSE,FALSE,26086.5863636653,26668.2559224236,24557.215672307,20712.3582487348,19940.7334181063,31550.1838222394,17162.3571621381,35656.9352718111,23963.7174208536,20689.0144444256,0.0518312017658115,0.0686370786543932,0.0586512415560324,9,FALSE,0.00612139454938376,0.243841526353286
"RT8_ZT14_leading_edge_dataset","25328","-",10987.6661560059,-0.00478851493100617,"downregulated",1,0.536257537194661,0.536257537194661,0.986003838053641,0.548137335182634,0.995797362736264,0.00125033208286265,NA,NA,0.0370614353607138,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"intermediate",-0.233154331769418,0.376978249651264,-0.618482185603826,FALSE,FALSE,0.270626590678461,1,0.0370614353607138,FALSE,FALSE,5294.98220674417,7490.94170526035,14143.1831808481,8408.71260052161,15171.4167243939,17522.6576185,15300.8958564936,15995.8869776409,4262.51899255679,6285.46569709968,0.21386298910343,0.0692496283090832,0.170601280961734,10,FALSE,0.00612139454938376,0.261110615896091
"RT8_ZT14_leading_edge_dataset","415923","-",10679.955408809,0.0129025200723139,"upregulated",1,0.21093187053972,0.21093187053972,0.929363606163856,0.224464146532069,0.98979905577258,0.00837183909660589,NA,NA,0.0265336700838948,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"intermediate",0.360172636739088,0.287906138734079,1.25100714532439,FALSE,FALSE,0.675857796012899,1,0.0265336700838948,FALSE,FALSE,9089.91426661821,10902.5261895286,20490.061668329,7249.73252291583,12295.894600977,13663.2719823356,6422.54948360472,10211.1259210706,9244.39017050176,7230.08728220843,0.13674114982439,0.0692814203137029,0.0994652828245368,10,FALSE,0.0318143384761334,0.648853018610688
"RT8_ZT14_leading_edge_dataset","8277","Apoe",8335.27183432684,-0.0224712912986973,"downregulated",1,0.0360848478194107,0.0360848478194107,0.804071442221051,0.0418295393850017,0.947594168463113,0.0309770552182781,NA,NA,0.106312495567876,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"intermediate",-0.603009153861993,0.287699317921266,-2.09597005032531,FALSE,FALSE,1.44267512191199,1,0.106312495567876,FALSE,FALSE,6385.92776810426,6939.94179265462,10132.2540996064,5997.11119782198,3632.06794405673,15611.6581988769,8147.98526630792,10396.3617654438,9957.78745369301,6151.6228567028,0.12378382580653,0.0696007543253044,0.0992875902685955,9,FALSE,0.0947053622167795,1.37851691772043
"RT8_ZT14_leading_edge_dataset","179269","Lcp1",11364.2415296304,0.0160509440838148,"upregulated",1,0.0904758375502394,0.0904758375502394,0.870007019131113,0.100213511387763,0.977436696780115,0.0160360764206174,NA,NA,0.0945980688929195,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"intermediate",0.537831812035117,0.317699827830122,1.69289299181711,FALSE,FALSE,1.04346738786316,1,0.0945980688929195,FALSE,FALSE,9254.85484553813,12024.1046918377,21812.6549089732,9399.40985655466,14798.8138576977,10179.8907037494,6252.65868524239,16694.3804741313,7462.68343318268,5762.96383939647,0.191538329017415,0.0692130641030271,0.121142218383696,11,FALSE,0.060477243522056,0.999073720329487
"RT8_ZT14_leading_edge_dataset","412143","Yipf1",4509.72776971561,-0.00794980993198828,"downregulated",1,0.288009427457131,0.288009427457131,0.929363606163856,0.302213232440199,0.992403472427936,0.00413140908960382,NA,NA,0.0916280730387047,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"intermediate",-0.418216868808895,0.39361642311763,-1.06249852456973,FALSE,FALSE,0.540593296179658,1,0.0916280730387047,FALSE,FALSE,2275.40074226534,2813.03635585386,3910.90102102498,5264.26665226329,5039.85877518308,10450.1438357587,2015.54830881031,4867.26476490942,2097.31655375594,6363.54068733119,0.287355447597268,0.0708346352706491,0.185860355710549,8,FALSE,0.0318143384761334,0.519686523948194
"RT8_ZT14_leading_edge_dataset","335788","Cst3",9516.33730741881,0.0161229396759869,"upregulated",1,0.112209405918163,0.112209405918163,0.891570506090278,0.123001315419272,0.981539713396461,0.0146733301043294,NA,NA,0.0560463272397976,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"intermediate",0.470524555201202,0.296236613028872,1.58834031482578,FALSE,FALSE,0.949970736955602,1,0.0560463272397976,FALSE,FALSE,11835.4605960411,9750.18119463739,9084.90146910117,9904.25832127288,14699.9930974,3716.24761367723,10048.3916386866,4796.8365532467,9931.58588402656,11395.5167060985,0.113433432500827,0.0694202305025102,0.105297616948266,8,FALSE,0.0498443067845619,0.910090244038031
"RT8_ZT14_leading_edge_dataset","278624","Atp1a1",5194.5781890586,-0.0196260511335392,"downregulated",1,0.0414806448336008,0.0414806448336008,0.804071442221051,0.0477489793656616,0.953790708100654,0.0259267182605082,NA,NA,0.153192421084184,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"intermediate",-0.64437367370971,0.316071901195115,-2.03869332032755,FALSE,FALSE,1.38215450094505,1,0.153192421084184,FALSE,FALSE,3275.43417351209,4561.83176375605,7123.56695504651,2936.80666035003,2365.21819728939,9748.34024789262,4022.06587750833,7764.46914330842,5201.0115787917,4947.03729313087,0.178530829393464,0.0704801932082313,0.119782764558446,10,FALSE,0.0947053622167795,1.32103590702471
"RT8_ZT14_leading_edge_dataset","156760","Uchl1",3547.38589214146,-0.0149669621533989,"downregulated",1,0.0711658162291764,0.0711658162291764,0.856242401535112,0.0797546461005778,0.971811853556647,0.0164373764990905,NA,NA,0.188115995464247,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"intermediate",-0.649535278022785,0.359969423716809,-1.80441791782232,FALSE,FALSE,1.1477285651832,1,0.188115995464247,FALSE,FALSE,2177.99488857247,2432.65062938493,5098.81595837075,2612.45509296386,1485.55142939341,7765.77181702601,3330.64983766161,5565.75826139988,2527.26049237371,2476.95051426792,0.227537681226677,0.0715639597106161,0.155329450347117,8,FALSE,0.0674032694977824,1.09824400774326
