"crossing_rank","crossing_type"
26.2414392476289,"sign_change"
695.347028655462,"sign_change"
1924.50461847054,"sign_change"
2234.42945130664,"sign_change"
2393.1096287966,"sign_change"
3092.56502493908,"sign_change"
3512.87799685403,"sign_change"
3593.05264981718,"sign_change"
3766.7095581195,"sign_change"
4183.15207485543,"sign_change"
5047.35025444913,"sign_change"
5258.93137917399,"sign_change"
6013.117555755,"sign_change"
6498.72899984073,"sign_change"
7336.85014409458,"sign_change"
7910.41037801817,"sign_change"
9042.17614591396,"sign_change"
9711.48893280859,"sign_change"
10446.0596712107,"sign_change"
10746.1936702252,"sign_change"
11523.1356165234,"sign_change"
11831.6379446823,"sign_change"
12352.5335310051,"sign_change"
13095.6408347919,"sign_change"
13450.7692537421,"sign_change"
13594.6033097514,"sign_change"
14133.3170514147,"sign_change"
14765.0500166771,"sign_change"
15506.6802961419,"sign_change"
15596.1303465146,"sign_change"
16448.6507286375,"sign_change"
16957.871391029,"sign_change"
18088.3547770314,"sign_change"
19033.7124538292,"sign_change"
19790.5473485889,"sign_change"
19954.6030887976,"sign_change"
20463.989499459,"sign_change"
21298.8744959329,"sign_change"
22273.1547819608,"sign_change"
22766.6995187135,"sign_change"
22931.1496828139,"sign_change"
23017.7823990922,"sign_change"
23547.1172064966,"sign_change"
24259.7216345971,"sign_change"
24800.1939716997,"sign_change"
25292.2477332762,"sign_change"
25779.6513649016,"sign_change"
26479.965539177,"sign_change"
27643.8076713944,"sign_change"
28274.2370088789,"sign_change"
28971.4322219967,"sign_change"
29011.6907454546,"sign_change"
29160.6541092535,"sign_change"
30160.8718880375,"sign_change"
30482.9193361724,"sign_change"
31739.6335898178,"sign_change"
