"comparison_name","dataset_key","dataset_label","dataset_name","n_features","n_standard_significant","n_HBFSS_significant","n_overlap","n_strong_effect","n_weak_effect","hc_p_threshold","hbfss_threshold","evs_cutoff_mode_main","evs_primary_preprocessing"
"RT2_ZT8","raw_dataset","Original dataset","RT2_ZT8_raw_dataset",31534,0,8,0,0,7704,0.0136775581992137,1.86399142858533,"shared_rank_exhaustive_search","normalized"
"RT2_ZT8","leading_edge_dataset","Leading-edge dataset","RT2_ZT8_leading_edge_dataset",31534,0,8,0,0,7704,0.0136775581990707,1.86399142858987,"shared_rank_exhaustive_search","normalized"
