"feature_id","gene_symbol","rank","baseMean","dispGeneEst","iod_fitted","cv2_fitted","local_window_left_rank","local_window_right_rank","local_window_n"
"157795","-",1,104.001183561597,6.09747880149874,2.03026060644061,0.599753582338508,1,1855,1855
"133139","LOC102547127",2,77.9711684312922,2.88364864363288,2.0253682464528,0.59743518619055,1,1856,1856
"32631","LOC365050",3,83.5851409097663,2.56623372198095,2.02054406241241,0.595221410576099,1,1857,1857
"534198","-",4,36.3725644351864,4.97966319297556,2.01578633260126,0.593108663501935,1,1858,1858
"135069","Atp2b4",5,29.1257740290555,4.56836238676484,2.01109337499232,0.591093440446821,1,1859,1859
"37466","-",6,17.0865849247357,10,2.00752239658528,0.591966344021401,1,1860,1860
"120304","Ywhag",7,31.9839866767522,4.89274893791686,2.0023706691848,0.590402570166241,1,1861,1861
"191103","Pcdh9",8,22.9717879504104,4.34644479969274,1.99833703732946,0.590514416891601,1,1862,1862
"248384","-",9,26.4928075961334,5.13735957467796,1.99548909598932,0.590826334346602,1,1863,1863
"257893","Prkaca",10,22.5860490616864,4.44215222458653,1.99260034180527,0.591094725053342,1,1864,1864
"71209","Vamp2",11,81.0813855838298,7.93608900119659,1.988498583875,0.591779903166913,1,1865,1865
"3656","Zbtb2",12,12.1226680364846,10,1.98503516961673,0.59266198308989,1,1866,1866
"424073","LOC688867",13,28.5101851966385,4.93169663504984,1.9822373320342,0.593579530667277,1,1867,1867
"56517","LOC689961",14,48.9161064549916,6.11072109190579,1.97837546064115,0.592828828932596,1,1868,1868
"416922","-",15,35.7065882410997,2.37956301891204,1.97453499384388,0.592091272578593,1,1869,1869
"172745","Usp34",16,19.1722829558282,4.03705141052538,1.97152621762275,0.592038170020096,1,1870,1870
"242641","Srp19",17,18.9223624059487,4.06381126927748,1.96848677852213,0.591954208610318,1,1871,1871
"129813","Tctn1",18,19.0493453498604,4.06367467585757,1.96541817947234,0.591840234762756,1,1872,1872
"22582","Plpp4",19,19.1422493876428,4.05480979838729,1.96232188665145,0.591697078167215,1,1873,1873
"85211","Cyfip2",20,19.5800890582677,4.16556864451911,1.95842479010466,0.5909334096226,1,1874,1874
"313448","Gja1",21,43.2176003068052,2.08478073413055,1.95560209356755,0.591603576052954,1,1875,1875
"499613","LOC120093719",22,15.1040620953314,5.75450265551297,1.95239335266584,0.591371509171104,1,1876,1876
"457865","-",23,34.5176778273521,2.51177440542686,1.94886830601666,0.591499514830019,1,1877,1877
"104836","Lsamp",24,15.6444859501682,5.78967769254035,1.94612016305196,0.59215036570528,1,1878,1878
"372804","Alms1",25,9.91098655540821,10,1.94276999487018,0.592244648340582,1,1879,1879
"83253","Paqr4",26,52.2434721888688,2.04611245408737,1.93956392025028,0.592581833753343,1,1880,1880
"56594","Otub1",27,53.398503900135,2.23159310655772,1.93557761777157,0.592443124373894,1,1881,1881
"92285","Usp32",28,20.4854302129129,4.49717334151604,1.93225849102858,0.592594756354728,1,1882,1882
"426214","-",29,9.52743705215127,10,1.92889851683725,0.591966564280959,1,1883,1883
"544520","Ranbp3",30,10.8171668770704,10,1.92553123910466,0.591328108176111,1,1884,1884
"125388","Gpr12",31,37.8169128091867,1.78194852024689,1.92215748501468,0.590679711957847,1,1885,1885
"481991","Rpl26-ps1",32,18.6387041520793,4.17000535176586,1.91877806032082,0.590021693015654,1,1886,1886
"71208","Vamp2",33,41.1008815446758,1.9620152673424,1.91499254857271,0.58952755705096,1,1887,1887
"354681","Macrod2",34,17.1444934144732,5.76208887369882,1.91125791445788,0.588629980309545,1,1888,1888
"329429","Mdk",35,165.82519635926,10,1.90797873040515,0.587993717690072,1,1889,1889
"212124","Arhgef10",36,9.03957656253307,10,1.90468969888431,0.587345326254987,1,1890,1890
"3039","Lrrc14b",37,55.830513800917,1.71749409321369,1.90131032014756,0.586668055850453,1,1891,1891
"435218","-",38,14.9465051283611,3.8030944014592,1.89748037001129,0.586273099053191,1,1892,1892
"359327","-",39,18.3337138278863,4.95728501019896,1.89418998258515,0.585925621174493,1,1893,1893
"541696","Ncl",40,33.5126626474799,2.08810409918777,1.89074019132656,0.585107718400671,1,1894,1894
"220852","Nmt2",41,13.7893091310734,3.79759382232909,1.88730467717309,0.584806955110368,1,1895,1895
"209715","-",42,14.0332707191297,3.66821542995068,1.8840810946524,0.584111216665123,1,1896,1896
"28553","LOC120100022",43,14.3285677011581,3.99348913675286,1.87990208751302,0.582642719036556,1,1897,1897
"576013","Slc25a5",44,12.7185289703196,5.19849910306452,1.8762094887542,0.582011900580024,1,1898,1898
"539179","-",45,33.5580970944704,1.82433278555783,1.87298480472944,0.581686982408215,1,1899,1899
"195389","Cdhr1",46,36.418271023045,2.02499538520884,1.86882198854852,0.581155949039456,1,1900,1900
"407289","LOC120103062",47,13.3726883025851,3.56241579795917,1.8651133328583,0.580049935714326,1,1901,1901
"405000","-",48,21.1460658702984,1.82277039106241,1.86196684756712,0.57928947667425,1,1902,1902
"218840","Fzd8",49,22.0235392880098,1.85798153619462,1.85860770948446,0.578603030396941,1,1903,1903
"73540","-",50,36.5131384078127,1.5197250297042,1.85466540911062,0.578054925490444,1,1904,1904
"287550","-",51,7.42006655743613,10,1.85158095156589,0.577254360637731,1,1905,1905
"379739","C2cd5",52,38.356791088311,1.5342635604995,1.84848706726891,0.576445402430366,1,1906,1906
"531199","LOC102553059",53,17.8210653756606,10,1.84538470149784,0.575628450108642,1,1907,1907
"189200","Nefl",54,12.5520373978806,3.547691251497,1.84227477444887,0.57480389318463,1,1908,1908
"131758","Ankle2",55,36.4638960980305,2.1574574570989,1.83901008112031,0.573854701056566,1,1909,1909
"12279","-",56,12.5626108737395,3.59476123634202,1.83579808925458,0.572948659244437,1,1910,1910
"96223","Cacng5",57,32.126410674574,1.68970429554571,1.83259320169037,0.572045230474135,1,1911,1911
"247243","Ldlrad4",58,6.89743573903085,10,1.8294367560195,0.57117218338206,1,1912,1912
"197906","Sh3rf1",59,22.7703013925848,2.17640297754193,1.82620591388536,0.570475202096258,1,1913,1913
