"feature_id","gene_symbol","ctrl_abs_loading","trt_abs_loading","ctrl_rank","trt_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt"
"20","-",0.0114142662330536,0.0110269056870457,29996,31084,2.6,8.4,33.8,90.3,2.6,8.4,31.2,81.9,12,9.75
"25","-",0.00272186839759801,0.000538903453766287,13975,1269,20.4,10.6,194.3,36.3,20.4,10.6,173.9,25.7,8.52450980392157,2.42452830188679
"31","Pcmt1",0.00188063790514546,0.00220468632651933,10342,5104,24.8,45.6,135.2,166.3,24.8,45.6,110.4,120.7,4.45161290322581,2.6469298245614
"35","Pcmt1",0.00327474190296536,0.00430970722932612,16074,13727,111.2,179.6,1846.2,7351.8,111.2,179.6,1735,7172.2,15.6025179856115,39.93429844098
"37","Pcmt1",0.00134804516282786,0.00352102376974599,7670,9939,97.8,167,1338.7,6346.5,97.8,167,1240.9,6179.5,12.6881390593047,37.002994011976
"38","Pcmt1",0.00406503195239563,0.00427729827167273,19013,13586,37.4,55.8,188.3,743.2,37.4,55.8,150.9,687.4,4.03475935828877,12.3189964157706
"89","Tab2",0.00484690389431006,0.0039962699715173,21392,12110,42,73.2,345,1281.7,42,73.2,303,1208.5,7.21428571428571,16.5095628415301
"90","Tab2",0.000178629708522703,0.00446951470791583,2523,14590,12.8,31,3.7,357.5,12.8,31,0,326.5,-0.7109375,10.5322580645161
"143","Ust",0.000502519618453187,0.00513189204972517,3869,17920,8.2,32.6,20.7,297.3,8.2,32.6,12.5,264.7,1.52439024390244,8.11963190184049
"214","LOC365036",0,0.000618744339082173,1,1420,0,3.8,0,16.2,0,3.8,0,12.4,NA,3.26315789473684
"224","Sash1",0.000724965789953439,0.00395643241160734,4797,11937,41.2,55.6,67.7,1035.3,41.2,55.6,26.5,979.7,0.643203883495146,17.6205035971223
"304","Sash1",0.00731891132812865,0.00230639348549688,25840,5477,1.4,6.4,3.8,10.8,1.4,6.4,2.4,4.4,1.71428571428571,0.6875
"576","-",0.00955577953491304,0.00797906647154662,28506,27525,2.6,3.6,13.8,14.3,2.6,3.6,11.2,10.7,4.30769230769231,2.97222222222222
"615","-",0.00745379331418747,0.00622752398338399,26062,22611,2.8,3.6,8.7,24.3,2.8,3.6,5.9,20.7,2.10714285714286,5.75
"672","-",0,0.00815672951498686,2,27851,0,3.6,0,12.3,0,3.6,0,8.7,NA,2.41666666666667
"673","-",0.00696102832323499,0.00583677474401406,25196,21035,0.8,5.6,3.2,27.3,0.8,5.6,2.4,21.7,3,3.875
"708","-",0.00471396924317502,0.0058989351545902,20793,21307,11.6,10.2,35.3,55.2,11.6,10.2,23.7,45,2.04310344827586,4.41176470588235
"774","-",0.0078886998126374,0.0109950408081773,26595,31068,2.4,10.2,15.3,210.2,2.4,10.2,12.9,200,5.375,19.6078431372549
"829","-",0.00371877223053324,0.00469603890416161,17702,15726,3.4,4.2,16.8,20.7,3.4,4.2,13.4,16.5,3.94117647058824,3.92857142857143
"833","Stxbp5",0.0080652709067978,0.00327203298215269,26795,8969,7.4,5.8,70.8,18.7,7.4,5.8,63.4,12.9,8.56756756756757,2.22413793103448
"842","Stxbp5",0.00594034104870723,0.00450716289393679,23480,14764,36.8,41.6,487.7,507.8,36.8,41.6,450.9,466.2,12.2527173913043,11.2067307692308
"845","Stxbp5",0.00154607304831786,0.00629709770896365,8789,22892,2.2,5.4,4.2,23.3,2.2,5.4,2,17.9,0.909090909090909,3.31481481481481
"926","-",0.00132300789032415,0.00227795709080313,7461,5291,0.8,5.8,3.2,16.7,0.8,5.8,2.4,10.9,3,1.87931034482759
"964","-",0.0141611938666351,0.00650465791133596,31160,23621,5.6,9.8,59.3,76.2,5.6,9.8,53.7,66.4,9.58928571428571,6.77551020408163
"969","LOC120098778",0.00696102832323499,0.0103981586169965,25197,30641,0.8,6.6,3.2,42.8,0.8,6.6,2.4,36.2,3,5.48484848484848
"984","Grm1",0.00373925964032525,0.0074871719155548,18039,26428,8.6,31.6,29.3,583.3,8.6,31.6,20.7,551.7,2.40697674418605,17.4588607594937
"986","Grm1",0,0.00922522029391748,3,29535,0,5.4,0,36.8,0,5.4,0,31.4,NA,5.81481481481481
"1106","-",0.0165993463917009,0.0039553228750352,31540,11933,8.4,14.4,66.8,88.3,8.4,14.4,58.4,73.9,6.95238095238095,5.13194444444444
"1110","Epm2a",0,0.00213320330473268,4,4875,0,0.6,0,1.8,0,0.6,0,1.2,NA,2
"1132","-",0.00132300789032415,0.0028280034082496,7462,7281,0.8,4.2,3.2,21.2,0.8,4.2,2.4,17,3,4.04761904761905
"1137","Utrn",0.0041294248548684,0.00469384706957148,19178,15717,55.2,127.6,525.7,5225.3,55.2,127.6,470.5,5097.7,8.52355072463768,39.9506269592476
"1138","Utrn",0.00430253892508996,0.00973887191428664,19638,30076,3.2,11.4,21.2,96.3,3.2,11.4,18,84.9,5.625,7.44736842105263
"1272","-",0.0142926662266238,0.00821793217625792,31188,27970,10.6,8.4,100.3,150.3,10.6,8.4,89.7,141.9,8.4622641509434,16.8928571428571
"1282","Ltv1",0.00212990766211883,0.0137725698724989,11383,31705,7.8,15.8,13.7,285.2,7.8,15.8,5.9,269.4,0.756410256410256,17.0506329113924
"1293","Phactr2",0.000120033749325268,0.00275892998808507,2284,7014,6.6,18.6,2.3,205.3,6.6,18.6,0,186.7,-0.651515151515151,10.0376344086022
"1295","Phactr2",0.00588436172551255,0.00418875156728432,23380,13105,15.6,26.6,104.8,259.3,15.6,26.6,89.2,232.7,5.71794871794872,8.74812030075188
"1345","Pex3",0.00401048355378363,0.00674801565789784,18874,24379,1.6,5.8,5.3,22.7,1.6,5.8,3.7,16.9,2.3125,2.91379310344828
"1346","Pex3",0.00135706780658156,0.00192766119848441,7698,4171,8.4,15.6,6.8,21.3,8.4,15.6,0,5.7,-0.190476190476191,0.365384615384615
"1367","Aig1",0.00190477076743882,0.00456039705878838,10442,15053,198.6,444,4804.3,49954,198.6,444,4605.7,49510,23.1908358509567,111.509009009009
"1369","Aig1",0.00102755742763621,0.00412749075927841,5952,12784,8.8,15,8.7,88.5,8.8,15,0,73.5,-0.0113636363636365,4.9
"1473","Adgrg6",0,0.00917231160518601,5,29455,0,5,0,27,0,5,0,22,NA,4.4
"1501","Vta1",0.00123369007272781,0.00316011257253149,7098,8491,18.4,18.4,33.3,71.3,18.4,18.4,14.9,52.9,0.809782608695652,2.875
"1540","-",0.000378873831943296,0.0088962748642948,3313,29076,49,54,485.5,2222,49,54,436.5,2168,8.90816326530612,40.1481481481481
"1576","-",0,0.00542798497412446,6,19279,0,2.2,0,10.2,0,2.2,0,8,NA,3.63636363636364
"1579","-",0,0.00647673745003978,7,23510,0,4.6,0,54.8,0,4.6,0,50.2,NA,10.9130434782609
"1634","Heca",0.00416470867511656,0.00579181426649905,19273,20867,136.6,226.2,3101.8,18332.7,136.6,226.2,2965.2,18106.5,21.7071742313324,80.0464190981432
"1655","Abracl",0.00143993026153315,0.00166502140522322,8286,3457,42.4,76.4,290.8,1226.8,42.4,76.4,248.4,1150.4,5.85849056603774,15.0575916230366
"1656","Abracl",0.000408786874025556,0.00226198827362293,3462,5257,5,9.4,28,39.8,5,9.4,23,30.4,4.6,3.23404255319149
"1683","Ccdc28a",0.00169916521084681,0.00970451799443212,9561,30041,43.2,100.2,248.7,6174.2,43.2,100.2,205.5,6074,4.75694444444444,60.6187624750499
"1693","LOC102549339",0.00178584716838411,0.00176663186550802,9925,3697,22.8,34.2,76.2,303.7,22.8,34.2,53.4,269.5,2.3421052631579,7.88011695906433
"1713","Hebp2",0.00461576401571053,0.00509683229461785,20564,17750,4.2,17.2,18.2,123.7,4.2,17.2,14,106.5,3.33333333333333,6.19186046511628
"1741","-",0.0032864879913653,0.00373592867629975,16116,10878,73.2,186.6,422.7,6099.3,73.2,186.6,349.5,5912.7,4.77459016393443,31.6864951768489
"1742","-",0.00223319630849412,0.00671337223635534,11822,24260,2.8,9,3.2,36,2.8,9,0.4,27,0.142857142857143,3
"1866","Tnfaip3",0.0106491765115746,0.00380484772217646,29472,11196,2.2,13.2,10.2,42.2,2.2,13.2,8,29,3.63636363636364,2.1969696969697
"1895","-",0.00774959277233484,0.00772029211558608,26370,26952,1,3.4,5,13.8,1,3.4,4,10.4,4,3.05882352941176
"1910","Slc35d3",0.00165318068644096,0.00396525929296573,9256,11976,11,11.2,8.5,39.7,11,11.2,0,28.5,-0.227272727272727,2.54464285714286
"1918","Pex7",0.00192692321858903,0.00906864088230725,10525,29315,6.4,12.4,14.8,98.3,6.4,12.4,8.4,85.9,1.3125,6.92741935483871
"1922","LOC102547604",0.00395870549898164,0.0029128365639941,18733,7536,360.6,190.2,28142.3,10928.7,360.6,190.2,27781.7,10738.5,77.0429839156961,56.4589905362776
"1929","Map3k5",0.000487166833792009,0.00265749858790916,3806,6627,5,4.6,14,28.3,5,4.6,9,23.7,1.8,5.15217391304348
"1941","Map7",0.0174702525099567,0.00682585447698182,31604,24622,17,18.2,710,219.7,17,18.2,693,201.5,40.7647058823529,11.0714285714286
"1946","-",0.00180756885172436,0.00469618654659452,10023,15727,11.6,35.4,6.3,384.3,11.6,35.4,0,348.9,-0.456896551724138,9.85593220338983
"1955","Pde7b",0.00319629425628651,0.0082468723489429,15739,28027,57.4,85.4,643.3,3473.3,57.4,85.4,585.9,3387.9,10.2073170731707,39.6709601873536
"2081","Pde7b",0.00676879575993529,0.00255041527924191,24942,6295,1.2,2.8,7.2,10.7,1.2,2.8,6,7.9,5,2.82142857142857
"2104","LOC120098802",0.00629178642397202,0.00861932092144776,24332,28661,4,4.2,11,18.2,4,4.2,7,14,1.75,3.33333333333333
"2155","Ptprk",0.00700815696931442,0.00397702437672205,25402,12024,8,13.4,38.5,43.3,8,13.4,30.5,29.9,3.8125,2.23134328358209
"2159","Ptprk",0.00125121261131306,0.00420233305403178,7181,13176,8,35.6,11.5,280.3,8,35.6,3.5,244.7,0.4375,6.87359550561798
"2181","Ptprk",0.00696102832323499,0.00318450952808972,25198,8611,0.8,6.6,3.2,54.3,0.8,6.6,2.4,47.7,3,7.22727272727273
"2244","-",0.00368261042649302,0.00587574227165598,17540,21196,1.2,5.2,2.7,15.7,1.2,5.2,1.5,10.5,1.25,2.01923076923077
"2383","Epb41l2",0.00338166350704745,0.0040882095874803,16428,12559,278.8,395.6,12391.7,32381.3,278.8,395.6,12112.9,31985.7,43.4465566714491,80.8536400404449
"2456","Med23",0.00394559350926517,0.00398372032266556,18684,12046,28.2,71.2,140.7,1338.7,28.2,71.2,112.5,1267.5,3.98936170212766,17.8019662921348
"2485","Ccn2",0.00331182593465368,0.0122075811990858,16201,31521,27.2,53.4,256.7,1511.8,27.2,53.4,229.5,1458.4,8.4375,27.310861423221
"2500","Moxd1",0.00278615819283009,0.00550603903539427,14247,19657,12,17,37.5,270.5,12,17,25.5,253.5,2.125,14.9117647058824
"2513","Stx7",0.00129681094437613,0.00370757127815593,7353,10766,79,148,442,4344.5,79,148,363,4196.5,4.59493670886076,28.3547297297297
"2515","Stx7",0.00306750725920228,0.00651517854526667,15285,23665,3,6.4,17,39.3,3,6.4,14,32.9,4.66666666666667,5.140625
"2554","-",0.00713548040682199,0.00993620353142041,25533,30258,1.2,5.8,2.7,36.2,1.2,5.8,1.5,30.4,1.25,5.24137931034483
"2555","Slc18b1",0.000699858465200396,0.00354868871398642,4695,10072,19.6,29.8,29.8,190.7,19.6,29.8,10.2,160.9,0.520408163265306,5.3993288590604
"2563","LOC100910237",0,0.00529718798096587,8,18694,0,2.2,0,9.2,0,2.2,0,7,NA,3.18181818181818
"2569","-",0.00865807252915993,0.00954290274768156,27603,29902,10.4,17.6,101.3,218.3,10.4,17.6,90.9,200.7,8.74038461538461,11.4034090909091
"2587","-",0.00713579212396728,0.000675165782055924,25615,1509,4.6,7,7.3,40,4.6,7,2.7,33,0.58695652173913,4.71428571428571
"2591","LOC120098884",0.0220892563725477,0.0100363676169557,31737,30346,15.8,39.6,456.2,1945.3,15.8,39.6,440.4,1905.7,27.873417721519,48.1237373737374
"2598","Tbpl1",0,0.00706038664929844,9,25280,0,2.6,0,6.8,0,2.6,0,4.2,NA,1.61538461538461
"2605","Slc2a12",0.00196263323949966,0.00119768789130165,10685,2455,6.6,14,3.8,40.5,6.6,14,0,26.5,-0.424242424242424,1.89285714285714
"2625","Sgk1",0.000627167790082505,0.00421278318626369,4398,13234,53.4,92.6,114.3,2282.3,53.4,92.6,60.9,2189.7,1.14044943820225,23.64686825054
"2665","Sgk1",0,0.00427046700328165,10,13532,0,1.6,0,5.3,0,1.6,0,3.7,NA,2.3125
"2674","-",0,0.00764887891447264,11,26795,0,7.8,0,36.2,0,7.8,0,28.4,NA,3.64102564102564
"2704","Trdn",0.00472821098218087,0.00593785765443691,20824,21455,7.6,10.8,42.3,64.7,7.6,10.8,34.7,53.9,4.56578947368421,4.99074074074074
"2816","Hddc2",0.00285619342480185,0.00488791873856638,14554,16698,21.6,64.2,99.3,1419.7,21.6,64.2,77.7,1355.5,3.59722222222222,21.113707165109
