"index","rank","d1_here","d2_here","var_fit_here"
26,26,-0.000247291971745389,-2.59779211998464e-11,0.0228234150959402
348,348,-0.000253782705362821,5.09297586250526e-10,-0.0576788167908093
1843,1843,0.00492345950189338,-8.663284224325e-09,2.11822406732211
3244,3244,-0.00040723791682082,2.90966762269497e-09,4.27938866746522
4247,4247,0.000279488541252455,-2.91160244901285e-09,4.25732550041639
4755,4755,5.50872846042968e-05,1.33137955160668e-09,4.34147251007567
5032,5032,0.000115320799618856,-8.05335006924891e-10,4.36459583855793
6198,6198,-0.00171800187288641,4.41114096358704e-09,3.63185982750361
6869,6869,0.00125963453093886,-2.19213095562353e-08,3.4861007560435
7553,7553,-0.000625735727036975,6.68667447703234e-09,3.67231027705958
7559,7559,-0.0006256784462077,-5.478746384515e-09,3.66855610680748
7869,7869,-0.000769170091442237,6.63046320402891e-09,3.45331632880591
8415,8415,0.00102118043583857,-4.68476910200616e-09,3.54281763318674
9046,9046,-7.76503675728868e-05,4.22843851001894e-09,3.81538643144315
9581,9581,0.000873228027841062,-4.46537383464075e-09,4.01766787392309
11263,11263,-0.000470214693749795,4.18851604165165e-10,4.20952602244386
12367,12367,0.000531217377454697,-3.57681707011351e-09,4.1409680418214
13127,13127,-0.000510957248674384,7.95702359052031e-09,4.13015297294951
13712,13712,0.000766660485920555,-8.25988621136925e-09,4.20273312886836
14242,14242,0.000198921558163999,4.72822798215076e-10,4.44782048162897
14379,14379,0.000221632815209462,-5.40521198201302e-11,4.47642891756859
15499,15499,-0.000594053161247647,1.59864762887659e-09,4.24925630539328
16589,16589,0.000371713230132709,-2.83837689541814e-09,4.18968192686084
17500,17500,-0.00154077950686221,2.12086869236815e-08,3.71870814459898
18223,18223,0.00166878171025798,-8.38648870890276e-09,3.72058072812239
19579,19579,-0.000416284909696724,1.35845727032165e-08,4.21315947489191
20009,20009,0.000223346410880893,-2.21908093509912e-10,4.17201202798944
20829,20829,-0.00146792341041402,4.47103846394468e-09,3.65192417579089
21513,21513,0.00128539380482613,-1.59485125757461e-09,3.56934935526755
22799,22799,-0.000664991759228663,7.1902351085289e-09,3.95134220877983
22859,22859,-0.00065806968321352,-2.87688878954473e-09,3.91168508479665
23395,23395,-0.00140517652468122,7.97010595563411e-09,3.3766207586593
24046,24046,0.00115415894593046,-2.034420847686e-08,3.30017311706675
25090,25090,-0.00107234237963867,7.79522071110009e-09,3.36831566884889
26003,26003,0.00025408142354554,-2.52528199269835e-09,3.12200763068162
26314,26314,0.000181195261554778,2.17787434017252e-09,3.19008658718938
26389,26389,0.000188128502074236,-2.34658127621419e-09,3.20391637386844
27050,27050,-0.0004488895368237,8.86324747326551e-09,3.11246883045363
28084,28084,0.000243766055484083,-1.77066380929989e-09,3.10533780160692
28720,28720,0.000113240658567435,3.5358480043355e-10,3.2185093448179
29195,29195,0.000231145371690506,-2.90546190567687e-11,3.30271471713958
29771,29771,8.37651325533279e-05,1.0152025608674e-09,3.39477075897614
31740,31740,0.00283584985738148,-1.68350318299485e-09,5.61205832544275
