"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing","shared_cutoff_rank","shared_cutoff_method","shared_cutoff_quantile","shared_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,9,61,9,3,3469,5000,"matched_curvature_wave","normalized",304,"combined_local_fourier",0.990365416917567,"combined_fourier_max"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",441,0.281519486957856,0.550491537631997,0,0,0,0,141,5000,"matched_curvature_wave","normalized",304,"combined_local_fourier",0.990365416917567,"combined_fourier_max"
"RT0_ZT6","RT0_ZT6_remainder_dataset",31112,0.00605983660587683,2.21753908575496,9,80,9,3,902,5000,"matched_curvature_wave","normalized",304,"combined_local_fourier",0.990365416917567,"combined_fourier_max"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,0,8,0,0,7704,5000,"matched_curvature_wave","normalized",26368,"combined_local_fourier",0.16382317498573,"combined_fourier_max"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",30344,0.0192226501413131,1.7161867382904,0,7,0,0,4574,5000,"matched_curvature_wave","normalized",26368,"combined_local_fourier",0.16382317498573,"combined_fourier_max"
"RT2_ZT8","RT2_ZT8_remainder_dataset",1190,0.611939279147844,0.213291669421968,1,2,1,0,36,5000,"matched_curvature_wave","normalized",26368,"combined_local_fourier",0.16382317498573,"combined_fourier_max"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,743,1100,743,41,6128,5000,"matched_curvature_wave","normalized",22074,"combined_local_fourier",0.302735485501295,"combined_fourier_max"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",27400,0.0337263999045354,1.47203001472657,647,1068,647,27,6041,5000,"matched_curvature_wave","normalized",22074,"combined_local_fourier",0.302735485501295,"combined_fourier_max"
"RT4_ZT10","RT4_ZT10_remainder_dataset",4258,0.0350449515886408,1.45537453561768,243,410,243,34,68,5000,"matched_curvature_wave","normalized",22074,"combined_local_fourier",0.302735485501295,"combined_fourier_max"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,4,76,4,0,8714,5000,"matched_curvature_wave","normalized",4024,"combined_local_fourier",0.872577580747308,"combined_fourier_max"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",5497,0.00832461049609967,2.0796360777438,0,10,0,0,4148,5000,"matched_curvature_wave","normalized",4024,"combined_local_fourier",0.872577580747308,"combined_fourier_max"
"RT8_ZT14","RT8_ZT14_remainder_dataset",26083,0.0221803440848714,1.65403172090093,24,143,24,0,5436,5000,"matched_curvature_wave","normalized",4024,"combined_local_fourier",0.872577580747308,"combined_fourier_max"
