"percentile","rank_index","lo_rank","hi_rank","n_bin","diff_emp","diff_nb"
0.01,316,1,316,316,31.5518552627407,72.1802900645344
0.02,631,317,631,315,18.5208112979778,37.7053158296277
0.03,947,632,947,316,14.4716273349942,30.5624878321049
0.04,1262,948,1262,315,13.0642829781066,27.030711326121
0.05,1578,1263,1578,316,11.6511565533778,23.9883186175583
0.06,1893,1579,1893,315,11.1160892181682,22.9649995053599
0.07,2209,1894,2209,316,9.87479994705955,20.3420307065148
0.08,2524,2210,2524,315,8.89874204796453,18.3572108173191
0.09,2840,2525,2840,316,9.33690867697186,18.6912012551986
0.1,3155,2841,3155,315,8.62009179500082,17.219179688681
0.11,3471,3156,3471,316,7.68791081440863,15.613832826764
0.12,3786,3472,3786,315,7.5265035838979,15.7428869182398
0.13,4102,3787,4102,316,7.87128608576372,16.4865891558398
0.14,4417,4103,4417,315,7.87362451305365,14.9959190251101
0.15,4733,4418,4733,316,7.13948364626949,14.6201304730871
0.16,5048,4734,5048,315,7.91258695294638,15.7470271547688
0.17,5364,5049,5364,316,7.86251174398316,14.922261567802
0.18,5680,5365,5680,316,7.42030908062131,14.8972547881241
0.19,5995,5681,5995,315,6.673554976354,13.3252174811562
0.2,6311,5996,6311,316,6.53861087560445,13.054943959533
0.21,6626,6312,6626,315,6.85917391814652,13.1870980193427
0.22,6942,6627,6942,316,6.76671455216876,13.6577811656467
0.23,7257,6943,7257,315,6.29325911827651,13.1500440365172
0.24,7573,7258,7573,316,6.27862472447462,12.7012982101731
0.25,7888,7574,7888,315,6.98737864457135,12.8607314272067
0.26,8204,7889,8204,316,5.71903819793635,11.6313552188801
0.27,8519,8205,8519,315,5.50168126774401,10.9497650559383
0.28,8835,8520,8835,316,6.29551814778807,13.1787844585533
0.29,9150,8836,9150,315,5.71649354576398,11.7793956201748
0.3,9466,9151,9466,316,7.18463399230897,12.4351188617399
0.31,9781,9467,9781,315,4.55238849411403,11.1644166785671
0.32,10097,9782,10097,316,7.00554605114738,12.4384953415432
0.33,10412,10098,10412,315,8.20854515529341,14.989042178453
0.34,10728,10413,10728,316,5.84729314672563,11.8177891166203
0.35,11044,10729,11044,316,6.57483471690981,12.7053013148646
0.36,11359,11045,11359,315,7.92447959534887,13.2890279255195
0.37,11675,11360,11675,316,3.94040425145517,9.03513276234281
0.38,11990,11676,11990,315,5.88730240658605,10.6916255044407
0.39,12306,11991,12306,316,7.25966591310809,13.1930056056395
0.4,12621,12307,12621,315,8.35344008320456,13.6935873097813
0.41,12937,12622,12937,316,8.28092635959338,13.1420235074742
0.42,13252,12938,13252,315,6.94013756324246,11.6383832624201
0.43,13568,13253,13568,316,4.61175479808162,9.34723011484298
0.44,13883,13569,13883,315,4.77590333219774,9.76970136534674
0.45,14199,13884,14199,316,6.6819545162542,11.8613284539252
0.46,14514,14200,14514,315,7.61692162099052,12.8998410939215
0.47,14830,14515,14830,316,4.98865787741654,9.04885434980826
0.48,15145,14831,15145,315,7.46017886962853,12.9335393906084
0.49,15461,15146,15461,316,5.97582834877803,9.67690401278362
0.5,15776,15462,15776,315,6.77778699932372,11.1645758123799
0.51,16092,15777,16092,316,8.74577690596837,13.4188727845792
0.52,16408,16093,16408,316,7.77973555041744,12.1344284176731
0.53,16723,16409,16723,315,5.85181086236576,8.85417045289524
0.54,17039,16724,17039,316,3.83835620956109,7.29637533869992
0.55,17354,17040,17354,315,8.9861444883487,12.7337664962815
0.56,17670,17355,17670,316,6.5273908508831,9.545057864044
0.57,17985,17671,17985,315,7.79697389157127,11.6211793019738
0.58,18301,17986,18301,316,8.62050940564897,12.0716712166245
0.59,18616,18302,18616,315,10.8035383562418,14.1393206757208
0.6,18932,18617,18932,316,8.61451928117666,12.4784440808731
0.61,19247,18933,19247,315,8.05885418726876,11.2349342333268
0.62,19563,19248,19563,316,8.7018268878109,13.0237261389873
0.63,19878,19564,19878,315,9.30551833619741,14.0006982065707
0.64,20194,19879,20194,316,7.73838483797192,11.9714900118235
0.65,20509,20195,20509,315,2.83564703698659,5.66189631087636
0.66,20825,20510,20825,316,8.49935936069246,12.6957600204898
0.67,21141,20826,21141,316,9.42973362351103,12.5964806885188
0.68,21456,21142,21456,315,8.04730875800163,11.6407852748096
0.69,21772,21457,21772,316,8.25731179728483,12.0668436076281
0.7,22087,21773,22087,315,6.97747033069464,10.4788915251451
0.71,22403,22088,22403,316,8.50522528155695,11.9336777756399
0.72,22718,22404,22718,315,7.17380051838501,9.88312322934462
0.73,23034,22719,23034,316,5.50470521272074,8.87384827946159
0.74,23349,23035,23349,315,7.59384241565808,9.71808363035906
0.75,23665,23350,23665,316,8.79442925362659,11.5073645576395
0.76,23980,23666,23980,315,6.03395026047554,9.60953942988525
0.77,24296,23981,24296,316,6.75961039450728,8.54787915472718
0.78,24611,24297,24611,315,8.86040451013597,11.1023337864798
0.79,24927,24612,24927,316,8.60785449832701,10.541468922238
0.8,25242,24928,25242,315,6.32087596692601,9.24538297878873
0.81,25558,25243,25558,316,8.86100207563064,11.4362554506351
0.82,25873,25559,25873,315,7.45717487836728,9.55183181329643
0.83,26189,25874,26189,316,8.06293971444111,10.3321196232754
0.84,26505,26190,26505,316,6.03372430331914,8.15201158667038
0.85,26820,26506,26820,315,8.62583971035907,10.2480436470436
0.86,27136,26821,27136,316,7.89475560885055,9.34860268904969
0.87,27451,27137,27451,315,7.87075110101413,9.14815308792048
0.88,27767,27452,27767,316,9.65651512006867,11.5727553402425
0.89,28082,27768,28082,315,5.20779075013751,6.76340262587027
0.9,28398,28083,28398,316,8.64453339316723,9.64821832936567
0.91,28713,28399,28713,315,8.58043895493024,10.2638960545835
0.92,29029,28714,29029,316,7.94566077395732,8.94551179733174
0.93,29344,29030,29344,315,6.91320484354848,8.06269048512454
0.94,29660,29345,29660,316,7.04409707552082,7.96805628728695
0.95,29975,29661,29975,315,7.56310688168116,8.50148285557473
0.96,30291,29976,30291,316,6.98027432098224,8.48358133040522
0.97,30606,30292,30606,315,7.23485726062729,9.00756121036722
0.98,30922,30607,30922,316,5.58713332365877,7.57165698614667
0.99,31237,30923,31237,315,5.42954734589751,6.85260272978787
1,31553,31238,31553,316,6.69129014702429,7.57075541687787
