"feature_id","trt_pc1_loading","trt_pc1_loading_abs","trt_evs_rank","trt_evs_selected","trt_top_n_used","trt_loading_cutoff_at_top_n","ctl_pc1_loading","ctl_pc1_loading_abs","ctl_evs_rank","ctl_evs_selected","ctl_top_n_used","ctl_loading_cutoff_at_top_n","in_leading_edge","in_remainder","orig_id","gene_symbol"
"20",-0.000131230054315327,0.000131230054315327,17935,FALSE,5000,0.00108524071089624,-0.00014069924563311,0.00014069924563311,13838,FALSE,5000,0.000541664803893862,FALSE,TRUE,"20","-"
"25",-4.24212654724441e-05,4.24212654724441e-05,25948,FALSE,5000,0.00108524071089624,0.000316407503512179,0.000316407503512179,7752,FALSE,5000,0.000541664803893862,FALSE,TRUE,"25","-"
"31",-0.000276686948526166,0.000276686948526166,12080,FALSE,5000,0.00108524071089624,0.000297449112153041,0.000297449112153041,8103,FALSE,5000,0.000541664803893862,FALSE,TRUE,"31","Pcmt1"
"35",-0.0019275838217122,0.0019275838217122,3148,TRUE,5000,0.00108524071089624,-0.000376108191326072,0.000376108191326072,6769,FALSE,5000,0.000541664803893862,TRUE,FALSE,"35","Pcmt1"
"37",-0.00123771305055403,0.00123771305055403,4531,TRUE,5000,0.00108524071089624,-0.0014342846418935,0.0014342846418935,2045,TRUE,5000,0.000541664803893862,TRUE,FALSE,"37","Pcmt1"
"38",-0.000559854914501957,0.000559854914501957,7974,FALSE,5000,0.00108524071089624,0.000127034922074597,0.000127034922074597,14860,FALSE,5000,0.000541664803893862,FALSE,TRUE,"38","Pcmt1"
"89",-0.00077762524891366,0.00077762524891366,6360,FALSE,5000,0.00108524071089624,-0.000874176322811457,0.000874176322811457,3274,TRUE,5000,0.000541664803893862,TRUE,FALSE,"89","Tab2"
"90",-0.00031338385575991,0.00031338385575991,11234,FALSE,5000,0.00108524071089624,-2.78048664468908e-05,2.78048664468908e-05,25899,FALSE,5000,0.000541664803893862,FALSE,TRUE,"90","Tab2"
"143",-0.000340190211301059,0.000340190211301059,10696,FALSE,5000,0.00108524071089624,9.85192787624464e-05,9.85192787624464e-05,17130,FALSE,5000,0.000541664803893862,FALSE,TRUE,"143","Ust"
"214",1.72613267260206e-05,1.72613267260206e-05,29099,FALSE,5000,0.00108524071089624,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"214","LOC365036"
"224",-0.000573608472635831,0.000573608472635831,7844,FALSE,5000,0.00108524071089624,0.000373485687658651,0.000373485687658651,6807,FALSE,5000,0.000541664803893862,FALSE,TRUE,"224","Sash1"
"304",-4.82152461679249e-05,4.82152461679249e-05,25299,FALSE,5000,0.00108524071089624,-4.42888318102415e-05,4.42888318102415e-05,23388,FALSE,5000,0.000541664803893862,FALSE,TRUE,"304","Sash1"
"576",-5.67426878836101e-05,5.67426878836101e-05,24318,FALSE,5000,0.00108524071089624,-7.77546447218157e-05,7.77546447218157e-05,19195,FALSE,5000,0.000541664803893862,FALSE,TRUE,"576","-"
"615",-4.46711587737256e-05,4.46711587737256e-05,25698,FALSE,5000,0.00108524071089624,8.06054829210378e-05,8.06054829210378e-05,18933,FALSE,5000,0.000541664803893862,FALSE,TRUE,"615","-"
"672",-7.19956892646063e-05,7.19956892646063e-05,22714,FALSE,5000,0.00108524071089624,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"672","-"
"673",-5.90783972165133e-05,5.90783972165133e-05,24088,FALSE,5000,0.00108524071089624,-4.32920755946691e-05,4.32920755946691e-05,23527,FALSE,5000,0.000541664803893862,FALSE,TRUE,"673","-"
"708",-0.000100805533110683,0.000100805533110683,20125,FALSE,5000,0.00108524071089624,-6.48847079845621e-05,6.48847079845621e-05,20584,FALSE,5000,0.000541664803893862,FALSE,TRUE,"708","-"
"774",-0.000238561373748375,0.000238561373748375,13104,FALSE,5000,0.00108524071089624,-5.9063550703041e-05,5.9063550703041e-05,21522,FALSE,5000,0.000541664803893862,FALSE,TRUE,"774","-"
"829",-2.48096882640467e-05,2.48096882640467e-05,28086,FALSE,5000,0.00108524071089624,0.00016275245169763,0.00016275245169763,12561,FALSE,5000,0.000541664803893862,FALSE,TRUE,"829","-"
"833",-1.54866337354436e-05,1.54866337354436e-05,29418,FALSE,5000,0.00108524071089624,3.38387506440526e-07,3.38387506440526e-07,29885,FALSE,5000,0.000541664803893862,FALSE,TRUE,"833","Stxbp5"
"842",-0.000396882545058781,0.000396882545058781,9785,FALSE,5000,0.00108524071089624,-0.000799665136325009,0.000799665136325009,3572,TRUE,5000,0.000541664803893862,TRUE,FALSE,"842","Stxbp5"
"845",-9.802137775575e-05,9.802137775575e-05,20358,FALSE,5000,0.00108524071089624,2.4904319921599e-05,2.4904319921599e-05,26297,FALSE,5000,0.000541664803893862,FALSE,TRUE,"845","Stxbp5"
"926",-7.40153324716174e-05,7.40153324716174e-05,22516,FALSE,5000,0.00108524071089624,-1.18197751142397e-05,1.18197751142397e-05,28180,FALSE,5000,0.000541664803893862,FALSE,TRUE,"926","-"
"964",-6.27355991375426e-05,6.27355991375426e-05,23672,FALSE,5000,0.00108524071089624,-0.000200759552601288,0.000200759552601288,10887,FALSE,5000,0.000541664803893862,FALSE,TRUE,"964","-"
"969",-0.00012618808492116,0.00012618808492116,18264,FALSE,5000,0.00108524071089624,-4.32920755946691e-05,4.32920755946691e-05,23528,FALSE,5000,0.000541664803893862,FALSE,TRUE,"969","LOC120098778"
"984",-0.000566540568355313,0.000566540568355313,7907,FALSE,5000,0.00108524071089624,-5.49316903276528e-05,5.49316903276528e-05,21999,FALSE,5000,0.000541664803893862,FALSE,TRUE,"984","Grm1"
