"dataset_name","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","hbfss_weak_effect_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","display_weak_flag","display_strong_flag","display_standard_flag","display_hbfss_flag","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT4_ZT10_RawEVS_remainder_dataset","25","25","-",17.8002284826165,-1.79841728472928,-1.07581228385866,-1.07581228385866,"downregulated",-2.70563935944697,0.00681730371159508,0.103220196836826,0.0244441780610423,0.355128491852286,0.376979074962754,0.631318652860448,1.73402066254506,1.73402066254506,0.028917568655795,1.53883822464724,0.915746396789566,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Std",FALSE,FALSE,TRUE,TRUE,0.66469216543955,0.0244441780610423,0.376979074962754,0.355128491852286,0.0244441780610423,TRUE,TRUE,TRUE,1,0.915746396789566,"intermediate",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4.59400105675022,8.77064494590659,7.1651839961787,2.54391168757968,17.7330039854629,34.9024217777109,15.3194163535396,23.6238123819825,4.47359891691189,58.8762897241421,0.499994955018328,0.369022690178856,0.456500838304167,9,FALSE,0.986235317082905,1.61182456136825,0.423682755577812
"RT4_ZT10_RawEVS_remainder_dataset","31","31","Pcmt1",32.8494892814204,-0.0309839897531587,-0.011764491861833,-0.011764491861833,"downregulated",-0.079030348456333,0.937008483972715,0.987717820961036,0.947597923956724,0.943407870613283,0.997463727150562,1,0.00027500557850781,0.00027500557850781,0.028917568655795,1.53883822464724,0.0291080754139731,1,TRUE,FALSE,FALSE,FALSE,FALSE,"Weak",FALSE,FALSE,FALSE,FALSE,0.392051792233695,0.947597923956724,0.997463727150562,0.943407870613283,0.947597923956724,FALSE,FALSE,FALSE,1,0.0291080754139731,"weak_effect",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,24.3482056007762,26.7735477296096,40.1250303786007,26.9654638883446,45.5991531054761,28.4390103373941,30.6388327070792,28.8735484668675,14.9119963897063,61.8201042103492,0.116462563303447,0.22938888076479,0.152058487797162,7,FALSE,0.00536711037514429,0.0233758994215465,0.00110288850816335
"RT4_ZT10_RawEVS_remainder_dataset","35","35","Pcmt1",130.222498474363,-0.319697209582797,-0.213718422608733,-0.213718422608733,"downregulated",-1.30240587939806,0.192777673794153,0.597597354777638,0.278758616654194,0.830622398630513,0.881383427257133,1,0.118564932491504,0.118564932491504,0.028917568655795,1.53883822464724,0.0159710152010318,1,TRUE,FALSE,FALSE,FALSE,FALSE,"Weak",FALSE,FALSE,FALSE,FALSE,0.245466651095398,0.278758616654194,0.881383427257133,0.830622398630513,0.278758616654194,FALSE,FALSE,FALSE,1,0.0159710152010318,"weak_effect",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,120.822227792531,102.93967489143,127.540275131981,121.090196328793,107.664667054596,94.3658070286259,178.361776116211,187.678065034639,95.4367768941204,166.325518470701,0.0484857062098121,0.10589268976059,0.0643058110142765,6,FALSE,0.223591333562165,0.554771699342773,0.0548351198329572
"RT4_ZT10_RawEVS_remainder_dataset","37","37","Pcmt1",120.224564426781,-0.219714979408582,-0.124269822720015,-0.124269822720015,"downregulated",-0.770256841050097,0.441147552334813,0.808447922736207,0.521805857867706,0.90176524145605,0.97118725745576,1,0.0351051126731733,0.0351051126731733,0.028917568655795,1.53883822464724,0.0173596802032274,1,TRUE,FALSE,FALSE,FALSE,FALSE,"Weak",FALSE,FALSE,FALSE,FALSE,0.285248981507315,0.521805857867706,0.97118725745576,0.90176524145605,0.521805857867706,FALSE,FALSE,FALSE,1,0.0173596802032274,"weak_effect",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,72.1258165909784,111.248706945447,101.745612745738,129.230713729048,141.864031883704,206.829166090139,93.0107421464905,120.743929952355,132.716767868386,92.7301563155238,0.080878195131122,0.109357349970587,0.0889361465119099,9,FALSE,0.092347950521625,0.282491049756035,0.012697024428778
"RT4_ZT10_RawEVS_remainder_dataset","38","38","Pcmt1",43.5780386415677,-0.497202454129565,-0.228915525499055,-0.228915525499055,"downregulated",-1.3022859049941,0.1928186681607,0.597641139524844,0.27880289963445,0.830644745199647,0.881400701225311,1,0.126980063215349,0.126980063215349,0.028917568655795,1.53883822464724,0.164051435275067,1,TRUE,FALSE,FALSE,FALSE,FALSE,"Weak",FALSE,FALSE,FALSE,FALSE,0.381792087453958,0.27880289963445,0.881400701225311,0.830644745199647,0.27880289963445,FALSE,FALSE,FALSE,1,0.164051435275067,"weak_effect",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,35.3738081369767,30.4664508647282,22.9285887877718,40.7025870012749,50.6657256727513,55.5853383867248,17.5079044040453,56.4346629125138,77.5423812264728,48.5729390224172,0.133456607386837,0.188728230588508,0.150950348586703,6,FALSE,0.223559514851168,0.554702713756623,0.0548266083096919
"RT4_ZT10_RawEVS_remainder_dataset","89","89","Tab2",50.9507805224086,-0.174833070810813,-0.0934444876145637,-0.0934444876145637,"downregulated",-0.583559128131947,0.559516965196317,0.870396492172446,0.627462222338045,0.91693262563942,0.985050643210805,1,0.0189143245614419,0.0189143245614419,0.028917568655795,1.53883822464724,0.0166426877347998,1,TRUE,FALSE,FALSE,FALSE,FALSE,"Weak",FALSE,FALSE,FALSE,FALSE,0.299597868292246,0.627462222338045,0.985050643210805,0.91693262563942,0.627462222338045,FALSE,FALSE,FALSE,1,0.0166426877347998,"weak_effect",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,45.9400105675022,53.5470954592192,64.4866559656083,37.6498929761793,39.2659373963822,63.341432115105,76.597081767698,48.5600587851863,49.2095880860308,30.9100521051746,0.0530289554824583,0.170712987559441,0.0872660389278878,9,FALSE,0.0602828679138411,0.202412416658102,0.00654144107435599
"RT4_ZT10_RawEVS_remainder_dataset","90","90","Tab2",18.3864227844462,0.218801022578581,0.0893385921730679,0.0893385921730679,"upregulated",0.564262449414178,0.572575532800791,0.875836186169711,0.638887880228275,0.918296800748643,0.985500675596194,1,0.0173830878765583,0.0173830878765583,0.028917568655795,1.53883822464724,0.0632292741318124,1,TRUE,FALSE,FALSE,FALSE,FALSE,"Weak",FALSE,FALSE,FALSE,FALSE,0.387764634711635,0.638887880228275,0.985500675596194,0.918296800748643,0.638887880228275,FALSE,FALSE,FALSE,1,0.0632292741318124,"weak_effect",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13.7820031702507,27.2351606214994,24.3616255870076,19.3337288256056,13.9330745600066,15.5121874567604,13.130928303034,20.99894433954,19.3855953066182,16.1909796741391,1e-08,0.359305327992747,0.121998700868176,8,FALSE,0.057577115401976,0.194575350402696,0.00634307365993267
"RT4_ZT10_RawEVS_remainder_dataset","143","143","Ust",15.9575790380637,0.922731255554917,0.353603646156707,0.353603646156707,"upregulated",1.80863380664672,0.070507912772522,0.377433693354136,0.132554693265001,0.699873143136461,0.72382258551752,1,0.310324289313698,0.310324289313698,0.028917568655795,1.53883822464724,0.512483361959388,1,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,0.510181360186836,0.132554693265001,0.72382258551752,0.699873143136461,0.132554693265001,FALSE,FALSE,FALSE,1,0.512483361959388,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19.2948044383509,20.7725801350419,30.0937727839506,23.912769863249,10.1331451345503,11.6341405925703,4.37697610101132,15.749208254655,4.47359891691189,19.1347941603462,0.13112644023183,0.404217591851181,0.233188768796598,10,FALSE,0.423159333146645,0.877604890918379,0.140367869676844
"RT4_ZT10_RawEVS_remainder_dataset","214","214","LOC365036",1.66835445415523,3.74757590090064,0.0658865304758988,0.0658865304758988,"upregulated",1.73158203252509,0.0833480075608799,0.411869892061562,0.149860189625962,0.725000148838714,0.755456395527859,1,0.0543111711795617,0.0543111711795617,0.028917568655795,1.53883822464724,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,2.16424970374388,0.149860189625962,0.755456395527859,0.725000148838714,0.149860189625962,FALSE,TRUE,FALSE,NA,NA,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3.69290313511856,11.4642943938859,1.52634701254781,0,0,0,0,0,0,7.09789256389371,3.31616112748359,4.50175202155658,8,FALSE,0.3852399540728,0.824313722201971,0.121790597808275
"RT4_ZT10_RawEVS_remainder_dataset","224","224","Sash1",45.5642959689458,-0.617394918432714,-0.418122551801698,-0.418122551801698,"downregulated",-2.07720696060111,0.0377824617163718,0.265851791678438,0.0840858853035806,0.596652702254891,0.603518306605878,1,0.449597520887001,0.449597520887001,0.028917568655795,1.53883822464724,0.170024120859677,1,TRUE,FALSE,FALSE,FALSE,FALSE,"Weak",FALSE,FALSE,FALSE,FALSE,0.297223594058269,0.0840858853035806,0.603518306605878,0.596652702254891,0.0840858853035806,FALSE,FALSE,FALSE,1,0.170024120859677,"weak_effect",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,27.5640063405013,48.930966540321,38.691993579365,29.0005932384084,35.4660079709259,38.780468641901,47.0524930858717,52.4973608488501,59.6479855588252,78.0110838844883,0.0467351050759395,0.183301068590896,0.0831504574504075,9,FALSE,0.575360408460817,1.07527689896103,0.219309551851085
