"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","iod_amp_scaled","cv2_amp_scaled","center_distance","center_agreement","local_fourier_score"
0.01,310,1,1551,0.279086264635967,0.0521472383685941,776,776,0.250481100616115,0.414939181886751,0.92473203753302,0.29368703652163,0,1,2.21841907405465
0.02,620,1,1861,0.284340452164662,0.0490185923782331,931,638.5,0.251412965654538,0.419728031842365,0.942719054005043,0.271765702849102,292.5,0.00340715502555366,1.2178919118797
0.03,930,1,2171,0.30107278976755,0.0530527863037977,1086,1086,0.256319654069224,0.427525826111525,1,0.300031895769121,0,1,2.30003189576912
0.04,1241,1,2482,0.291376512777815,0.0102317790739846,1241.5,1241.5,0.259450787557095,0.435934803603231,0.966806077442203,0,0,1,1.9668060774422
0.05,1551,310,2792,0.10621438350721,0.0201461582779861,1551,1287.5,0.255991599624127,0.450359944998145,0.332928003811282,0.0694666048368781,263.5,0.00378071833648393,0.406175326984644
0.06,1861,620,3102,0.065903768200737,0.0240183793344901,1861,1407,0.260343648833389,0.456511478506064,0.194929940827241,0.0965979102306273,454,0.0021978021978022,0.29372565325567
0.07,2171,930,3412,0.0626923686431301,0.0427466795549444,2171,1629,0.26549031237594,0.466588185050076,0.183936138945323,0.227820592348296,542,0.00184162062615101,0.41359835191977
0.08,2481,1240,3722,0.0262690937258434,0.0239780970161138,2481,2955,0.272556262299752,0.477206122014819,0.0592458719298833,0.0963156660441808,474,0.00210526315789474,0.157666801131959
0.09,2791,1550,4032,0.0266553905046914,0.0357287039027484,2791,3020,0.281122444508915,0.489314425675148,0.0605683078890645,0.178648079238331,229,0.00434782608695652,0.243564213214352
0.1,3102,1861,4343,0.0160679725517764,0.010890906361548,3102,3102,0.287516829823568,0.499413374355747,0.0243236820405939,0.00461827552489518,0,1,1.02894195756549
0.11,3412,2171,4653,0.0130346574597862,0.0109371532251331,3412,3412,0.290835329310237,0.509647404024061,0.0139395287863594,0.00494231120393373,0,1,1.01888183999029
0.12,3722,2481,4963,0.0319890895988772,0.0219384428471122,3722,3722,0.296558954506706,0.5171732326244,0.0788275216951901,0.0820245190901947,0,1,1.16085204078538
0.13,4032,2791,5273,0.0363155307904213,0.0286053051096967,4032,3797.5,0.299650513464899,0.518470621361596,0.093638521217482,0.128736902868085,234.5,0.00424628450106157,0.226621708586629
0.14,4342,3101,5583,0.0524828676023038,0.0491051660592268,4291.5,4342,0.310063413926278,0.536555045156126,0.148985261689888,0.272372294503821,50.5,0.0194174757281553,0.440775031921865
0.15,4652,3411,5893,0.0342540852311817,0.0343456697141962,4652,4798.5,0.315244668539231,0.545041072966842,0.0865814348406228,0.168957639980846,146.5,0.00677966101694915,0.262318735838418
0.16,4963,3722,6204,0.0230443406607951,0.021818671663083,4963,4900,0.319063091380337,0.552794081038969,0.0482063560803928,0.081185324084577,63,0.015625,0.14501668016497
