"percentile","center_rank_trt","local_fourier_score_trt","iod_amp_scaled_trt","cv2_amp_scaled_trt","center_agreement_trt","center_rank_ctrl","local_fourier_score_ctrl","iod_amp_scaled_ctrl","cv2_amp_scaled_ctrl","center_agreement_ctrl","combined_center_rank","combined_fourier_score"
0.01,309,0.944242755572229,0.887111781671087,0.0542981127113401,0.0028328611898017,310,2.21841907405465,0.92473203753302,0.29368703652163,1,310,3.16266182962688
0.02,618,0.978935305731486,0.9078749539463,0.0692254893998645,0.0018348623853211,620,1.2178919118797,0.942719054005043,0.271765702849102,0.00340715502555366,619,2.19682721761118
0.03,927,1.02027798355272,0.949234957022594,0.0684523529549971,0.00259067357512953,930,2.30003189576912,1,0.300031895769121,1,928,3.32030987932184
0.04,1236,1.07077683664496,1,0.0695602916327956,0.00121654501216545,1241,1.9668060774422,0.966806077442203,0,1,1238,3.03758291408716
0.05,1545,0.30773149815025,0.262632331018143,0.0411929171321072,0.00390625,1551,0.406175326984644,0.332928003811282,0.0694666048368781,0.00378071833648393,1548,0.713906825134894
0.06,1854,1.37636262957361,0.200315342221978,0.176047287351632,1,1861,0.29372565325567,0.194929940827241,0.0965979102306273,0.0021978021978022,1858,1.67008828282928
0.07,2163,0.317293465713437,0.203222519026965,0.112452823709126,0.00161812297734628,2171,0.41359835191977,0.183936138945323,0.227820592348296,0.00184162062615101,2167,0.730891817633206
0.08,2472,1.26348469235345,0.148519720334562,0.114964972018884,1,2481,0.157666801131959,0.0592458719298833,0.0963156660441808,0.00210526315789474,2476,1.4211514934854
0.09,2781,0.227225632944306,0.145522802600206,0.0794731759405327,0.00222965440356745,2791,0.243564213214352,0.0605683078890645,0.178648079238331,0.00434782608695652,2786,0.470789846158658
0.1,3090,0.315980529483248,0.142616356823346,0.0964410957368253,0.0769230769230769,3102,1.02894195756549,0.0243236820405939,0.00461827552489518,1,3096,1.34492248704874
0.11,3399,0.109700300177028,0.0385691356407691,0.0680061645362589,0.003125,3412,1.01888183999029,0.0139395287863594,0.00494231120393373,1,3406,1.12858214016732
0.12,3708,1.16912013968923,0.0437296559122593,0.125390483776966,1,3722,1.16085204078538,0.0788275216951901,0.0820245190901947,1,3715,2.32997218047461
0.13,4017,0.279455379701175,0.062095569371224,0.152843681297692,0.0645161290322581,4032,0.226621708586629,0.093638521217482,0.128736902868085,0.00424628450106157,4024,0.506077088287803
0.14,4326,1.16890144629283,0.0475265996091986,0.121374846683631,1,4342,0.440775031921865,0.148985261689888,0.272372294503821,0.0194174757281553,4334,1.60967647821469
0.15,4635,0.150779171581034,0.0571869040285497,0.0863195402797573,0.00727272727272727,4652,0.262318735838418,0.0865814348406228,0.168957639980846,0.00677966101694915,4644,0.413097907419452
0.16,4944,0.0266838164175143,0.0208187137782182,0,0.00586510263929619,4963,0.14501668016497,0.0482063560803928,0.081185324084577,0.015625,4954,0.171700496582484
0.17,5254,0.343384889310847,0.102220134410773,0.234196113785091,0.00696864111498258,5273,1.1935832967217,0.0541435862963834,0.139439710425321,1,5264,1.53696818603255
0.18,5563,0.166804792615269,0.0607585145413315,0.103821583969377,0.00222469410456062,5583,0.245696916589346,0.107282438561545,0.114604954218278,0.0238095238095238,5573,0.412501709204615
0.19,5872,0.518875826442744,0.133176252428422,0.370993691661381,0.0147058823529412,5893,0.49248735050234,0.100654400442171,0.375439507437218,0.0163934426229508,5882,1.01136317694508
0.2,6181,0.390450890444408,0.153509693463564,0.234167271876821,0.00277392510402219,6203,1.16498793926296,0.0381777001840069,0.126810239078949,1,6192,1.55543882970736
0.21,6490,0.382758889195502,0.126110692821513,0.25571926000613,0.000928936367858802,6513,0.0846641593516939,0.0256029956541756,0.0540983845411908,0.00496277915632754,6502,0.467423048547196
0.22,6799,0.351907075567072,0.110577969239335,0.239185483605336,0.00214362272240086,6824,1.05544141306966,0.000124141942601249,0.0553172711270609,1,6812,1.40734848863673
0.23,7108,0.469832361545657,0.128224766530729,0.338893890808687,0.00271370420624152,7134,1.11316848141217,0.00686090174091523,0.106307579671251,1,7121,1.58300084295782
0.24,7417,0.363550647968099,0.111429145453418,0.249871783729529,0.00224971878515186,7444,0.332136618061401,0.0550745787060921,0.275168099961369,0.00189393939393939,7430,0.6956872660295
0.25,7726,0.232516733789017,0.0836134545560775,0.144647960084003,0.00425531914893617,7754,0.181338127176996,0.0381457506735987,0.139127335852991,0.0040650406504065,7740,0.413854860966012
0.26,8035,0.247822975989476,0.150817780095605,0.0932244775573872,0.00378071833648393,8064,0.800341338104545,0.123274791060283,0.391352261329976,0.285714285714286,8050,1.04816431409402
