"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","iod_amp_scaled","cv2_amp_scaled","center_distance","center_agreement","local_fourier_score"
0.01,309,1,1545,0.272227166847373,0.0329200958221032,773,421,0.272391064592768,0.459649394657817,0.887111781671087,0.0542981127113401,352,0.0028328611898017,0.944242755572229
0.02,618,1,1854,0.278440748929866,0.0368211603481325,927.5,383.5,0.273938799016972,0.462419001318942,0.9078749539463,0.0692254893998645,544,0.0018348623853211,0.978935305731486
0.03,927,1,2163,0.29081813378418,0.0366191117751122,1082,1467,0.280243112279393,0.465415906061199,0.949234957022594,0.0684523529549971,385,0.00259067357512953,1.02027798355272
0.04,1236,1,2472,0.306010068681236,0.0369086563054849,1236.5,415.5,0.279879249249083,0.46810742528702,1,0.0695602916327956,821,0.00121654501216545,1.07077683664496
0.05,1545,309,2781,0.0853455923928482,0.0294952332593381,1545,1290,0.276682821966073,0.474641154519389,0.262632331018143,0.0411929171321072,255,0.00390625,0.30773149815025
0.06,1854,618,3090,0.0666966248898894,0.0647375675837494,1854,1854,0.282390469018484,0.480622131862194,0.200315342221978,0.176047287351632,0,1,1.37636262957361
0.07,2163,927,3399,0.0675666259411099,0.0481180294462576,2163,2780,0.290348592320411,0.495168590311998,0.203222519026965,0.112452823709126,617,0.00161812297734628,0.317293465713437
0.08,2472,1236,3708,0.051196279189081,0.048774544844764,2472,2472,0.299164649696146,0.511292814435793,0.148519720334562,0.114964972018884,0,1,1.26348469235345
0.09,2781,1545,4017,0.0502994222883112,0.039499252237406,2722,3169.5,0.302864207024053,0.520275486309988,0.145522802600206,0.0794731759405327,447.5,0.00222965440356745,0.227225632944306
0.1,3090,1854,4326,0.049429640004397,0.0439335846307671,3090,3102,0.305603240340616,0.526637449049594,0.142616356823346,0.0964410957368253,12,0.0769230769230769,0.315980529483248
