"role","index","rank","d1_here","d2_here","var_fit_here"
"cutoff_anchor",26537,26537,-0.000213648355685427,1.21077448787085e-09,4.3862591191753
"leading_edge_5000_reference",26758,26758,-0.000114596425044252,5.40670374862494e-07,4.3475116779201
"terminal_start",26885,26885,-6.89673104355967e-05,-2.67681861871531e-09,4.33657612918762
