"Comparison","Analysis","PAS","Gene","Direction","Apeglm_LFC","Std_p","Std_BH","Strong_p","Strong_BH","Weak_p","Weak_BH","EmpP","HBFSS","HCp","Htau","Std","Strong","Weak","HBFSS_sig","Ovlp","Support"
"RT4_ZT10","NormEVS Rem","309984","Cstb","downregulated",-1.64852613695591,1.21210150274381e-27,2.57074607716935e-23,1.1285802699393e-05,0.0190667487092643,0.99999435709865,0.999999998986567,2.22044604925031e-16,25.8053024247094,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","210273","-","downregulated",-2.75089537598765,3.17165648555461e-18,3.36338312010638e-14,1.87499418175911e-08,0.000176596327008981,0.999999990625029,0.999999998986567,3.5527136788005e-15,39.7488971090701,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","52694","Rbbp6","downregulated",-3.38563818369347,4.1211745725459e-17,2.9135330503042e-13,2.02686600229975e-09,3.81800748853205e-05,0.999999998986567,0.999999998986567,2.95319324550292e-14,45.8066964712086,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","561787","Rtl5","downregulated",-1.69377187659731,2.29035625769855e-16,1.21440414673821e-12,0.000465597586028648,0.134185439430658,0.999767201206986,0.999999998986567,1.20348175869367e-13,21.8827882125529,0.0339201556248525,1.46954216387819,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT4_ZT10","NormEVS Rem","4760","Prkn","downregulated",-2.86236593148372,8.43238780863311e-16,3.17284090273736e-12,1.0169452564293e-07,0.00063853992651196,0.999999949152737,0.999999998986567,3.50386386571699e-13,35.6520636862353,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","486523","Gng7","upregulated",2.222236692869,8.97592786855776e-16,3.17284090273736e-12,5.87681948237149e-06,0.0123001831766035,0.999997061590259,0.999999998986567,3.68816088780477e-13,27.6294913431376,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","504357","Ntm","downregulated",-1.5368957923466,7.31313884961563e-14,2.2157765980214e-10,0.00549506091022033,0.60180501375477,0.99725246954489,0.999999998986567,1.35864652861528e-11,16.7012829214058,0.0339201556248525,1.46954216387819,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT4_ZT10","NormEVS Rem","254850","Vps9d1","upregulated",2.90658901019916,2.011958200943e-13,5.33395268547502e-10,8.96016460178015e-07,0.00287016265935005,0.99999955199177,0.999999998986567,3.11499714911179e-11,30.5382005194619,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","278626","Atp1a1","upregulated",2.02341584824508,3.96710925539496e-13,9.34871335529686e-10,0.000143360004917244,0.075003090885428,0.999928319997541,0.999999998986567,5.43534106611787e-11,20.7699047692278,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","321726","Surf4","downregulated",-1.14580248363586,4.52025098931621e-13,9.58700032324075e-10,0.256867991376418,1,0.871566004311791,0.910086836505975,6.04938321657755e-11,11.7081408034704,0.0339201556248525,1.46954216387819,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT4_ZT10","NormEVS Rem","57184","Cpsf7","downregulated",-2.11061045416295,5.4007176849579e-13,1.04130746709338e-09,8.56233656609555e-05,0.0688323487132165,0.99995718831717,0.999999998986567,6.99986735241964e-11,21.4330596076651,0.0339201556248525,1.46954216387819,TRUE,TRUE,FALSE,TRUE,TRUE,"Std+Strong+HBFSS"
"RT4_ZT10","NormEVS Rem","340434","Dipk1b","upregulated",1.91011691016488,3.47969468639411e-12,6.15007038364439e-09,0.000539395081754117,0.149420369926504,0.999730302459123,0.999999998986567,3.22592841328628e-10,18.1295791086298,0.0339201556248525,1.46954216387819,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT4_ZT10","NormEVS Rem","141782","LOC100911719","downregulated",-1.42024446235464,7.11510087980076e-12,1.16080134276688e-08,0.0264367015395064,1,0.986781649230247,0.99932548375436,5.80057779586696e-10,13.118128800309,0.0339201556248525,1.46954216387819,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT4_ZT10","NormEVS Rem","191750","Ndfip2","downregulated",-1.24553007699748,8.67105575480946e-12,1.3136030107411e-08,0.118973940117944,1,0.940513029941028,0.96422160285721,6.82232492721369e-10,11.4166128839294,0.0339201556248525,1.46954216387819,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
"RT4_ZT10","NormEVS Rem","179917","Calm-ps2","upregulated",1.94290691953267,1.19499764487948e-11,1.68964700334992e-08,0.000583387496622924,0.153510637379689,0.999708306251688,0.999999998986567,8.87582451980506e-10,17.5867879365751,0.0339201556248525,1.46954216387819,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS"
