"comparison_name","selected_reason","crossing_id","crossing_rank","rank_cutoff","n_total","leading_edge_union_n","remainder_union_n"
"RT0_ZT6","last_local_amplitude_crossing_before_divergence","crossing_3",4171,4171,31553,7466,24087
"RT2_ZT8","last_local_amplitude_crossing_before_divergence","crossing_2",9746,9746,31534,15753,15781
"RT4_ZT10","last_local_amplitude_crossing_before_divergence","crossing_1",673,673,31658,1324,30334
"RT8_ZT14","last_local_amplitude_crossing_before_divergence","crossing_6",4438,4438,31580,7941,23639
