"comparison_name","track_key","track_label","dataset_key","dataset_label","dataset_name","n_features","n_weak_cnh","n_strong_cnh","n_standard","n_hbfss","n_overlap","hc_p_threshold","hbfss_threshold"
"RT0_ZT6","normalized_evs","NormEVS","raw_dataset","Original dataset","RT0_ZT6_NormEVS_raw_dataset",31553,0,3,9,34,9,0.000532546091058572,3.27364279873213
"RT0_ZT6","normalized_evs","NormEVS","leading_edge_dataset","Leading-edge dataset","RT0_ZT6_NormEVS_leading_edge_dataset",6722,0,1,3,15,3,0.034292401519239,1.4648020998943
"RT0_ZT6","normalized_evs","NormEVS","remainder_dataset","Remainder dataset","RT0_ZT6_NormEVS_remainder_dataset",24831,23,2,48,191,48,0.0369015078921782,1.43295588706933
