"preprocessing","group","cutoff_mode","fixed_top_n_requested","empiric_rank_selected","cutoff_quantile","treatment_cutoff_value","control_cutoff_value","composite_cutoff_value","curvature_strength","selected_reason","comparison_name"
"normalized","regime_shift_crossing","first_stable_crossing",5000,4698,0.851601490934361,0.000766500761492468,0.000479199945740075,0.000622850353616272,NA,"first_crossing_fallback","RT4_ZT10"
"raw","regime_shift_crossing","crossing_rank_projected_to_raw_selected",5000,4698,0.851601490934361,0.00117722535702491,0.000577891732883233,0.00087755854495407,NA,"first_crossing_fallback_projected_to_raw","RT4_ZT10"
