"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","alpha_fitted","alpha_final","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_gw_ctrl","iod_nb_gw_trt","cv2_nb_gw_ctrl","cv2_nb_gw_trt","iod_nb_fit_ctrl","iod_nb_fit_trt","cv2_nb_fit_ctrl","cv2_nb_fit_trt","iod_nb_final_ctrl","iod_nb_final_trt","cv2_nb_final_ctrl","cv2_nb_final_trt","gene_symbol"
"333600",0.0247146549892542,0.00274794416530261,1,17734,1,89.8988580352459,70.2833237840165,20102.2501308426,12119.4459871114,2.41671425096199,0.233304228741359,2.41671425096199,223.609627198615,172.437006883098,2.48734669255695,2.45345549412266,218.259851358987,170.854710193808,2.42783786278371,2.4309423771541,21.9737837386419,17.3973966488092,0.244427840563079,0.24753235493347,218.259851358987,170.854710193808,2.42783786278371,2.4309423771541,"Mal"
"90347",0.00643796952403428,0.0296789712496404,7773,1,1,35.0787482591528,256.974219369706,1095.08428525688,97640.3814001678,4.36440060904587,0.187789308887944,4.36440060904587,31.2178837502032,379.961778421412,0.889937221236446,1.47859882346705,154.097710266813,1122.53843952623,4.39290789763588,4.36829204999451,7.58741389224047,49.2570110574561,0.216296597477955,0.191680749836584,154.097710266813,1122.53843952623,4.39290789763588,4.36829204999451,"Ywhae"
"402987",0.0236930370888254,0.0035511336586448,2,14777,2,40.8976413488613,4.42453492267055,7746.93128479625,8.89968271421315,4.17514938579812,0.48876539418009,4.17514938579812,189.422446607962,2.01143913874715,4.63162276259815,0.454610297783138,171.75376215829,19.4730942648303,4.19960067362349,4.40116184077416,20.9893517949121,3.16255955554264,0.513216682005466,0.714777849156131,171.75376215829,19.4730942648303,4.19960067362349,4.40116184077416,"Asph"
"77636",0.00113134511282968,0.0289033336725853,25145,2,2,3.40872327229727,97.9610568090616,9.68763018655973,19173.3828287986,7.91775386651683,0.291786902877286,7.91775386651683,2.84201133758531,195.72454047908,0.833746570360336,1.99798314610439,27.9894318691176,776.631536318022,8.21111883636551,7.9279620046543,1.99462080638935,29.5837533689019,0.585151872725971,0.301995041014762,27.9894318691176,776.631536318022,8.21111883636551,7.9279620046543,"Dusp3"
"196303",0.0226465434214965,0.0165063233670392,3,118,3,69.6687085008199,29.3577901879492,3696.9011159518,1140.32395566252,2.42610805143876,0.295556071198879,2.42610805143876,53.0640110245232,38.8422952940987,0.761662045506393,1.32306604296269,170.023814627179,72.2251711474333,2.44046169773878,2.46017056069432,21.5910097700023,9.67687312703126,0.309909717498899,0.329618580454445,170.023814627179,72.2251711474333,2.44046169773878,2.46017056069432,"Sin3b"
"435351",0.006026304901308,0.0263609295372344,8705,3,3,254.66986874892,693.720572038697,24424.0479621938,1069842.06318271,1.91921201759984,0.149528034971102,1.91921201759984,95.9047416256127,1542.18010291762,0.376584564545269,2.22305660964541,489.7654726235,1332.3968587129,1.92313866979828,1.92065352018792,39.0802850403744,104.730673955975,0.153454687169545,0.150969537559185,489.7654726235,1332.3968587129,1.92313866979828,1.92065352018792,"Man1c1"
"86681",0.0226342672667991,0.00910164467231275,4,3793,4,28.1001210892157,3.40769688024252,3659.01775311511,26.0989038251378,10,0.644965976779262,10,130.213593795486,7.65881025875763,4.6339157536748,2.24750338070344,282.001210892157,35.0769688024252,10.0355870352596,10.2934533308399,19.1236220459216,3.19784854693326,0.680553012038829,0.93841930761919,282.001210892157,35.0769688024252,10.0355870352596,10.2934533308399,"LOC102553022"
"49798",0.0022053808766745,0.0250363409821547,20994,4,4,9.13996920787356,42.2073121538927,56.9580052299066,3341.10598382959,5.22075520429738,0.446961433266249,5.22075520429738,6.23175023181046,79.1594113277701,0.681813044451196,1.87549046096908,48.7175418091237,221.35404458684,5.33016476326379,5.24444778145922,5.08521373716055,19.8650407346199,0.556370992232657,0.47065401042809,48.7175418091237,221.35404458684,5.33016476326379,5.24444778145922,"Pgm2l1"
"167027",0.0224258944240041,0.000448509535095635,5,28184,5,58.2049726754126,9.17037059448089,8698.22159554586,171.332657103795,3.93985549705634,0.372154201743982,3.93985549705634,149.441210874758,18.6832860611882,2.5674990298189,2.03735343830408,230.319181551239,37.1299349967094,3.95703615970482,4.04890234414907,22.6612251435485,4.41279194828553,0.389334864392458,0.48120104883671,230.319181551239,37.1299349967094,3.95703615970482,4.04890234414907,"RGD1563570"
"25174",0.0091634461884331,0.023944054995158,3413,5,5,376.597067085754,922.261516866365,373641.566519432,1435000.23887742,1.97822477987299,0.14493414565263,1.97822477987299,992.152088200813,1555.95805813651,2.63451889277431,1.68711155098752,745.993650136527,1825.44058618829,1.98088013778041,1.9793090710222,55.5817741733597,134.667185015325,0.147589503560057,0.146018436801845,745.993650136527,1825.44058618829,1.98088013778041,1.9793090710222,"Snx32"
