"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","alpha_gene_wise"
0.01,316,1,316,316,10.4,168.4,15.7711598746081,1.42529793014019,28.2605364151801,2.33287494311316,14.0172457412717,25.0194020829469,2.25611374247949
0.02,631,317,631,315,6.4,70.7,10.2045454545455,1.39423076923077,19.2533821705034,2.29067138494752,8.48,16.2741954381383,2.1077503632987
0.03,947,632,947,316,5.7,48.2,8.19097502014504,1.34364370748299,15.0309288315677,2.15134909337452,6.41135378990067,12.4164620073181,1.99953827307104
0.04,1262,948,1262,315,5.6,58,8.10416666666667,1.36,14.5912585649066,2.10839714403099,6.66349583828775,12.0344760485173,1.94710682145034
0.05,1578,1263,1578,316,4.6,38.65,6.62171052631579,1.23851211072664,14.8089819728685,2.22946182829713,5.18076889853959,11.5276732684883,1.99495329958644
0.06,1893,1579,1893,315,4.4,31.7,6.60416666666667,1.36479591836735,12.614819422117,2.30621741030134,5.14566115702479,9.57875939667902,2.04072930341745
0.07,2209,1894,2209,316,4,25.8,5.65765765765766,1.2551652892562,11.4181477657735,2.29828776744786,4.33979030339084,8.68970137260663,2.02685229604749
0.08,2524,2210,2524,315,4.8,28.8,5.98148148148148,1.21875,11.6597377167088,1.97732202349998,4.44970414201183,8.38441923969408,1.72908749174681
0.09,2840,2525,2840,316,3.9,24.2,5.54545454545454,1.30510415290439,11.4169650457343,2.04667544283797,4.57321797520661,7.83745161117645,1.78149145975176
0.1,3155,2841,3155,315,4.8,21.2,6.125,1.03592694437677,11.7968745398556,2.04237130252603,4.44970414201183,8.24024057508635,1.77689765362806
0.11,3471,3156,3471,316,4,17.7,5.71031746031746,1.15094290085078,10.228735100173,2.07581835267999,3.95979797979798,6.375,1.68554533071738
0.12,3786,3472,3786,315,6,29.3,5.29545454545454,0.935727788279773,11.7418378510431,1.39660538706743,4.01672335600907,8.59838651511278,1.254012492046
0.13,4102,3787,4102,316,5.8,27.5,5.59838709677419,0.965959712271994,10.2486151206275,1.63692756165276,3.77777777777778,7.22793067998008,1.47655677298191
0.14,4417,4103,4417,315,6.2,27,4.66666666666667,0.875,10.4512094470149,1.37573585656085,3.87867813490267,8.17571930348046,1.17362837365467
0.15,4733,4418,4733,316,2,9.8,4.44040247678019,1.91613331723222,8.48172503177168,3.25114678275346,2,4.21006450551497,2.74630471131568
0.16,5048,4734,5048,315,7,43.7,6.07075471698113,0.845843497841997,10.1753391315424,1.14875406733433,5.32289070843717,8.66724824885006,1.01007493231372
0.17,5364,5049,5364,316,4.4,18.25,6,1.23395557655955,9.19981589719951,1.84895322519833,3.16910261005229,5.5465023623891,1.60535944410731
0.18,5680,5365,5680,316,2.8,7.6,2.49439775910364,1.23076236237621,7.23934404974715,2.24640858717538,1.6094674556213,3.30407263344816,1.89288632058275
0.19,5995,5681,5995,315,7.8,54.3,7.75925925925926,0.678208602704053,10.7905345690519,0.945499394537594,6.62478530849518,9.24770718712277,0.798381564830698
