"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","alpha_gene_wise"
0.01,316,1,316,316,10.4,185.6,17.9007034632035,1.56787493571391,37.3353722570756,2.92549018881558,15.9426133307252,33.9612376595758,2.85140543172601
0.02,631,317,631,315,7.2,75.2,11.2592592592593,1.32194521391197,24.3861771496669,2.70957523885188,9.28507653061224,22.1263358983333,2.57117647860835
0.03,947,632,947,316,6,52.25,10.0681818181818,1.41677031611751,19.5364235885979,2.60508930994164,8.24472203959384,16.7936569195416,2.4198443319295
0.04,1262,948,1262,315,5.6,55.7,9.05555555555556,1.35847107438017,18.5867620043621,2.62426915214703,7.63324652777778,15.3980337730196,2.46228350553764
0.05,1578,1263,1578,316,5.4,54.2,8.62418831168831,1.36613310782469,18.1611319776025,2.30717744545554,7.21329639889197,14.8565839912768,2.1526528701625
0.06,1893,1579,1893,315,5.2,44.8,7.45454545454545,1.22307256235828,16.1056249226049,2.3389681156993,6.46598953524161,12.9902206991982,2.11272327320471
0.07,2209,1894,2209,316,5.3,42.3,7.66666666666667,1.2560393764325,15.5402979943368,2.33239450871507,5.85769896193772,12.7235056300626,2.16224206317691
0.08,2524,2210,2524,315,5,33.5,6.85714285714286,1.13555291319857,14.8552859890432,2.46575914822681,5.68690926275992,11.8241835415381,2.28963159557973
0.09,2840,2525,2840,316,5.8,34.75,7.04240447343896,1.28205112342103,13.3200909473227,2.21954154006996,5.21173469387755,10.1498976425971,2.05425288694977
0.1,3155,2841,3155,315,5.6,29.7,6,1.19377162629758,12.9229792967502,2.15851374373344,4.61316568047337,9.88343583452194,1.90974048576522
0.11,3471,3156,3471,316,5.8,33.75,6.32288401253919,1.15520808561237,13.0848925296972,2.07877433723637,4.27427685950413,10.027158873468,1.82429941233364
0.12,3786,3472,3786,315,4.4,21.2,5.54545454545454,1.23702422145329,11.2735243086172,2.07018536080262,3.29289940828402,7.90725709514876,1.91041224457628
0.13,4102,3787,4102,316,6.6,46.45,6.15670492721165,1.11680772569444,11.1036258485117,1.73311612106259,5.41094583242019,8.85715885330335,1.5297053440731
0.14,4417,4103,4417,315,6.2,34.7,5.4047619047619,0.954734651404787,10.3570192890737,1.63629716813996,4.4560546875,8.05813105269912,1.38835026447688
0.15,4733,4418,4733,316,6.2,36.75,5.5625,0.920543556723754,9.74998767434617,1.44457818131743,4.71999001350086,6.94307489745301,1.27878617469468
0.16,5048,4734,5048,315,6.8,39.5,5.76190476190476,0.950443786982248,10.0627236085415,1.41457748059722,4.74807098765432,7.69132365353147,1.24216368749377
0.17,5364,5049,5364,316,6,36.25,5.29545454545454,0.952423244543347,11.4078243743336,1.50279137168191,4.41499240384805,7.57142140828582,1.34317910364613
0.18,5680,5365,5680,316,7.1,52.6,6.77415026833631,0.846069527790427,10.6309275007022,1.31215223471126,5.92152528430806,8.71152108843395,1.12872269812884
0.19,5995,5681,5995,315,5,24.5,4.38709677419355,1.142578125,10.0650723979516,1.82026870607196,3.60856632956574,5.64684724806676,1.58135694773868
0.2,6311,5996,6311,316,7.9,68.75,9.01152663934426,0.751740691180498,11.1252794208281,1.14841127037318,8,9.39754099067892,0.981476805970071
0.21,6626,6312,6626,315,6.6,39.3,5.98529411764706,0.867768595041322,9.3527448794069,1.17252115247955,5.091796875,7.0997676333302,0.968301016575361
0.22,6942,6627,6942,316,8.8,58.1,8.75078757875788,0.746872022236759,11.241850778588,0.955298226624136,8.04708632820359,9.47517936521844,0.827111674258459
0.23,7257,6943,7257,315,6.4,46.7,6.66216216216216,0.7977294921875,8.57208363613283,0.933924057013067,5.94405864197531,6.6879825444033,0.80399656948941
0.24,7573,7258,7573,316,10.2,70.5,11.1396604938272,0.694971798619872,10.5427247280348,0.836923149023268,9,9.63839041658269,0.749746357674763
0.25,7888,7574,7888,315,9.2,58.7,10.0681818181818,0.697701706308952,10.7908129285818,0.957617364770664,8,9.36766426598574,0.812755734881229
0.26,8204,7889,8204,316,9.6,58.7,9.81781376518219,0.623532309617198,10.7430600250504,0.856634612712668,7.2481053000377,8.81453016868828,0.689014203816976
0.27,8519,8205,8519,315,14.4,132.5,10.1842105263158,0.542446098258854,10.254089043641,0.54801633169194,8.6123175507298,9.11691927014635,0.480586750609325
0.28,8835,8520,8835,316,14.9,112.95,11,0.55829432544202,11.0949397484596,0.532740073271369,7.70605794984173,9.58755696269223,0.463257812958772
0.29,9150,8836,9150,315,10.4,68.5,8.5,0.60079133694294,10.1525292123891,0.658154006998975,6.30612244897959,8.16132898930722,0.547188442085661
0.3,9466,9151,9466,316,10,60.45,10,0.634891187176803,12.2603255765267,0.728513559676938,5.77470203767782,10.5,0.624165225255974
0.31,9781,9467,9781,315,18.2,161.3,10,0.515318462778823,10.2352805875316,0.400314601751438,8.85779948290721,8.4115219789926,0.34361279591602
