"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
0.01,316,1,316,316,28.3748233236225,553.131250576044,35.011120742377,2.59964117419067,78.6239265964802,4.87957335651371,22.0045493037678,1.57515435960488,46.6957172189997,3.58356587716626,2.36471713238204,0.701578031008719,1.71164222238816,31.5518552627407,72.1802900645344,20.4790190318312,43.9026218233817
0.02,631,317,631,315,18.5387967837153,246.535364412395,20.739920257626,2.3216470526787,43.8023738824612,4.46567800183942,20.6331752893747,2.22409852394746,31.0720377364273,3.41638590329153,2.12644900230057,1.00346530375271,1.58561116200434,18.5208112979778,37.7053158296277,18.4024999693955,27.5555740634023
0.03,947,632,947,316,15.1034641272422,136.486786995092,16.7024194237856,2.31137057441443,35.8935480983569,4.41531084580722,20.2335829080885,2.62376439803496,27.5803188260192,3.60140878073496,2.10731719938946,1.2018037598824,1.66132167404137,14.4716273349942,30.5624878321049,17.600865695754,23.1100496750693
0.04,1262,948,1262,315,13.3299699601297,115.040173191156,15.8810768530901,2.35470369548723,31.8803018817761,4.25775904436309,19.9399041364433,2.97927599480231,25.8384883618579,3.70725110033778,2.03991361768612,1.34380313012314,1.69081718191667,13.0642829781066,27.030711326121,16.9486874528155,21.3697324522854
0.05,1578,1263,1578,316,14.1960611320077,115.219103042741,14.4905968021551,2.43810115516952,29.8718168639509,4.30159211536183,20.087571288812,2.78890920337568,24.7288286512462,3.65932660766339,2.0055970448211,1.27012701517578,1.6764365035408,11.6511565533778,23.9883186175583,17.3413057203554,20.1331943976115
0.06,1893,1579,1893,315,11.5880045293331,97.6133999837857,14.2528243370245,2.56438644889177,28.7779237579551,4.45048877619951,19.7968783818224,3.27870182477362,24.2178497614941,3.72393216157541,2.15295579120401,1.5258917154517,1.73673911494509,11.1160892181682,22.9649995053599,16.4875352042314,19.3267233537804
0.07,2209,1894,2209,316,10.8240217938336,71.3165383687255,12.7038097185454,2.3817420605422,26.9597834685139,4.43380632474198,19.5973834294844,3.64927295536071,23.0818636268624,3.88393514628646,2.0898097041327,1.62424090275713,1.75762417556792,9.87479994705955,20.3420307065148,15.9508279390705,17.6359764524334
0.08,2524,2210,2524,315,10.376927087042,68.3719504015853,11.5437892806454,2.37489615295241,24.0286565771966,4.53120832530959,19.5359686702624,3.81053542333425,21.7911220159199,4.1911487297441,2.07128010427998,1.68851229710815,1.88318222567358,8.89874204796453,18.3572108173191,15.7330010948088,16.9808395912987
0.09,2840,2525,2840,316,11.0015859068539,70.4929325494614,11.651034878563,2.26315930105763,24.1285851134727,4.02345870077493,19.6297676881554,3.5727331320729,21.8520659728161,3.77462234055158,1.84237374052688,1.60021019511919,1.70718503534263,9.33690867697186,18.6912012551986,16.055556635462,16.8079577590544
0.1,3155,2841,3155,315,11.4634504873262,67.5178081139268,11.2525939485853,2.12847352524204,21.9623852897205,3.79024060435904,19.714063238925,3.3710673442243,20.892797032583,3.54523439262825,1.78948737975016,1.54103133028967,1.61130805599202,8.62009179500082,17.219179688681,16.3251341450226,16.5902182539503
0.11,3471,3156,3471,316,9.17950485248574,48.6879105174018,10.1366948500886,2.26112779736903,22.1650115008777,4.19989953640691,19.4314801519927,4.01554768890999,20.816464664272,3.98964192323164,1.91198049551514,1.89159003830149,1.82177428332631,7.68791081440863,15.613832826764,15.4159324630827,15.4415423690364
0.12,3786,3472,3786,315,9.32886943664093,53.4128334408325,10.1301950618969,2.35113556746865,21.8730397110257,4.40627101681845,19.4209717168983,4.08206411585207,20.7080165153731,4.12911716902349,1.99949220334928,1.86332315696461,2.12313119740277,7.5265035838979,15.7428869182398,15.3453259418173,14.9646894698611
0.13,4102,3787,4102,316,8.50982565487231,47.1243128612909,10.5432111671272,2.66438840725241,23.3294408400703,4.33365577423796,19.3430719072707,4.50900301887515,21.2689861474707,4.37470519889298,1.97061862332997,2.029916715203,2.09090294347969,7.87128608576372,16.4865891558398,14.8559548131135,15.2207120406473
0.14,4417,4103,4417,315,8.92594743210489,42.6401214635528,10.3257095930924,2.30752227706052,20.6476803480899,3.92452526417182,19.4670455349345,3.99367116857304,20.2471883193525,4.01210931427386,1.83730036054409,1.94145330781102,2.08600214953484,7.87362451305365,14.9959190251101,15.4625050242503,14.9037438552893
0.15,4733,4418,4733,316,8.41477779444382,44.9904068205644,9.92580366370287,2.38223636082293,21.4308196189551,4.42581192201484,19.2953338798388,4.51866123518934,20.272016790631,4.45098732599793,2.0096465688021,2.05148053448407,2.09396062584831,7.13948364626949,14.6201304730871,14.7660655202735,14.3522002195028
0.16,5048,4734,5048,315,8.83837200643697,47.7544066484795,10.6051600888325,2.40863837805618,21.9971161144153,4.0012640609398,19.3705849324127,4.26843356430634,20.5080623902695,4.20523392807189,1.74867346726382,1.95937737947706,2.04539619204803,7.91258695294638,15.7470271547688,15.1058932939857,15.3780348232299
0.17,5364,5049,5364,316,9.52970568662547,48.7120121621478,11.2621920384818,2.31680394812126,21.4907758794101,3.64323828456241,19.4459730247066,4.09121222351767,20.3857818373713,3.91913759267573,1.61298107745422,1.82685965708616,1.73496724101605,7.86251174398316,14.922261567802,15.3334103105908,14.6851239731641
0.18,5680,5365,5680,316,8.98977730797651,44.1415840858369,10.5487591316941,2.20928879871314,19.96459499398,3.7643573856159,19.412837986788,4.10340593149144,20.0602864697606,3.86325709171855,1.71772221071671,1.92868043426951,1.78144236030492,7.42030908062131,14.8972547881241,15.3030117615596,14.1491713610347
0.19,5995,5681,5995,315,8.30328464244129,38.7556038817319,9.50833321427344,2.19655823118725,19.2697668010335,3.98142548769941,19.2926550565708,4.58140898254157,19.5667773705017,4.17630248479179,1.90508591311793,2.07710639402731,2.08203567072887,6.673554976354,13.3252174811562,14.7729166121692,13.5690658321411
