"crossing_id","percentile_left","percentile_right","rank_left","rank_right","crossing_percentile","crossing_rank","regime_difference_left","regime_difference_right"
"crossing_1",0.01,0.015,306,460,0.0113520568870688,348,0.0203428692319044,-0.0548864699566528
"crossing_2",0.035,0.04,1073,1226,0.0363029383860999,1113,-0.0219081553969192,0.062163952811116
"crossing_3",0.04,0.045,1226,1380,0.041003729300533,1257,0.062163952811116,-0.247500977654225
"crossing_4",0.045,0.05,1380,1533,0.0491661522686766,1507,-0.247500977654225,0.0495368664916438
"crossing_5",0.05,0.055,1533,1686,0.0528528133984738,1620,0.0495368664916438,-0.0372842107616843
"crossing_6",0.06,0.065,1840,1992,0.0644400548718865,1975,-0.180385008810571,0.0227487519372203
"crossing_7",0.07,0.075,2146,2299,0.0744265730161276,2281,0.204769118614375,-0.0265261947898396
"crossing_8",0.1,0.105,3066,3220,0.103528470663051,3175,-0.0996004167769452,0.0415378075250546
"crossing_9",0.105,0.11,3220,3372,0.10691190268654,3278,0.0415378075250546,-0.0670916949530085
"crossing_10",0.135,0.14,4139,4292,0.13918576662203,4267,-0.615895787898678,0.119806705232655
"crossing_11",0.14,0.145,4292,4446,0.141574297859274,4340,0.119806705232655,-0.260701673556277
"crossing_12",0.15,0.155,4599,4752,0.154490084751444,4736,-0.394573713066609,0.0448096559663529
"crossing_13",0.155,0.16,4752,4906,0.15584803809695,4778,0.0448096559663529,-0.219386352016615
"crossing_14",0.235,0.24,7204,7358,0.239391771320273,7339,-0.38117522767068,0.0527900221945999
"crossing_15",0.24,0.245,7358,7511,0.240981178105684,7388,0.0527900221945999,-0.216223431574788
"crossing_16",0.32,0.325,9811,9964,0.322890027467994,9899,-0.444690645339396,0.324663020437475
"crossing_17",0.33,0.335,10118,10270,0.330336182271762,10128,0.0195736331457023,-0.271542746119276
"crossing_18",0.425,0.43,13030,13184,0.429889627246377,13181,-0.264778910573215,0.00597681090783289
"crossing_19",0.43,0.435,13184,13336,0.430048642948089,13185,0.00597681090783289,-0.608378521426666
"crossing_20",0.475,0.48,14563,14716,0.477363216805263,14635,-0.200191009909815,0.223365156126202
"crossing_21",0.48,0.485,14716,14870,0.480935454942892,14745,0.223365156126202,-0.970520010783939
"crossing_22",0.785,0.79,24067,24220,0.789729468357308,24212,-0.585296249461885,0.0334796945166028
"crossing_23",0.79,0.795,24220,24374,0.790237253063725,24227,0.0334796945166028,-0.672089582250437
"crossing_24",0.825,0.83,25294,25446,0.829571327420244,25433,-0.561059927174099,0.0526129468028289
"crossing_25",0.835,0.84,25600,25753,0.835396571964061,25612,0.106423917470315,-1.2353743829001
"crossing_26",0.87,0.875,26673,26826,0.87429036010898,26804,-1.46701130659651,0.242648569652514
"crossing_27",0.875,0.88,26826,26980,0.876292553690212,26866,0.242648569652514,-0.695991625683325
"crossing_28",0.955,0.96,29279,29432,0.959933201547229,29430,-0.00527676621754042,7.14505206393379e-05
"crossing_29",0.96,0.965,29432,29586,0.96000061976553,29432,7.14505206393379e-05,-0.576360419342266
"crossing_30",0.97,0.975,29739,29892,0.973923691667762,29859,-0.195745955236289,0.0536950964709139
"crossing_31",0.98,0.985,30046,30198,0.984555072139674,30184,0.138932481863943,-0.0135705714399441
"crossing_32",0.995,1,30505,30658,0.99927185859502,30636,-0.650436703156507,0.110867409197305
