"feature_id","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","combined_loading","combined_rank"
"55601",0.248811778641575,0.248811778641575,4,0.903296462754045,0.903296462754045,1,0.903296462754045,1
"248551",0.646872050160308,0.646872050160308,1,-0.193855599145885,0.193855599145885,2,0.646872050160308,2
"25328",-0.28806500293584,0.28806500293584,2,-0.0253097089693942,0.0253097089693942,32,0.28806500293584,3
"8277",0.271576226027747,0.271576226027747,3,0.0246920285471056,0.0246920285471056,34,0.271576226027747,4
"470412",0.00337049414018507,0.00337049414018507,1208,0.186260885861434,0.186260885861434,3,0.186260885861434,5
"278624",0.168437413862311,0.168437413862311,5,-0.0822071544229818,0.0822071544229818,6,0.168437413862311,6
"335788",-0.133235645401097,0.133235645401097,6,-0.00562757043126614,0.00562757043126614,307,0.133235645401097,7
"565080",0.00663659357244469,0.00663659357244469,560,0.119049950638151,0.119049950638151,4,0.119049950638151,8
"339719",0.112415877173666,0.112415877173666,7,-0.0209623853955282,0.0209623853955282,39,0.112415877173666,9
"156760",0.107486215793434,0.107486215793434,8,0.0136575684332645,0.0136575684332645,85,0.107486215793434,10
"415923",0.0902645088506952,0.0902645088506952,12,0.100614896065736,0.100614896065736,5,0.100614896065736,11
"163095",-0.0990101430038313,0.0990101430038313,9,0.034537358532989,0.034537358532989,19,0.0990101430038313,12
"206283",-0.0981476088843436,0.0981476088843436,10,-0.00326716673680921,0.00326716673680921,602,0.0981476088843436,13
"437093",0.0940411765444995,0.0940411765444995,11,-0.0190043002914138,0.0190043002914138,50,0.0940411765444995,14
"161605",-0.0842948779049569,0.0842948779049569,13,-0.0320958297421445,0.0320958297421445,20,0.0842948779049569,15
"21974",0.0834784601572319,0.0834784601572319,14,0.0130149709823238,0.0130149709823238,91,0.0834784601572319,16
"175929",-0.0834146187450344,0.0834146187450344,15,0.00384567657048252,0.00384567657048252,488,0.0834146187450344,17
"412143",0.0814007080902733,0.0814007080902733,16,0.0106987792328868,0.0106987792328868,116,0.0814007080902733,18
"179269",0.0758957439897959,0.0758957439897959,17,0.047365576041118,0.047365576041118,10,0.0758957439897959,19
"377785",0.0712794062194563,0.0712794062194563,18,0.00149613089828902,0.00149613089828902,1449,0.0712794062194563,20
