"feature_id","pc1_loading","pc1_loading_abs","baseMean","dispGeneEst","dispFit","rank","split_class"
"55601",0.845657805409366,0.845657805409366,28137.0168725922,0.280984901515405,0.0453686071254607,1,"high_loading"
"415923",0.231384472108869,0.231384472108869,11223.6781981248,0.181228676942432,0.0457429563737348,2,"high_loading"
"179269",0.210285508623017,0.210285508623017,12581.6244358548,0.147709914817096,0.0456757405492765,3,"high_loading"
"8277",0.11767083866405,0.11767083866405,6209.26486193902,0.127372169928146,0.046245884142379,4,"high_loading"
"278624",0.0978068388027906,0.0978068388027906,3796.96309150578,0.189478774177707,0.0469610651154363,5,"high_loading"
"378009",-0.0971853101758308,0.0971853101758308,6600.11136671534,0.0771048652761539,0.046179222553522,6,"high_loading"
"565080",0.0876698137106756,0.0876698137106756,3469.18970223123,0.70105590645161,0.0471349933725388,7,"high_loading"
"206283",-0.0794253880240305,0.0794253880240305,4640.34445718393,0.124993491751631,0.0466264864203465,8,"high_loading"
"335788",-0.0794126036034925,0.0794126036034925,10333.7234789701,0.037293430244923,0.0457965899486213,9,"high_loading"
"88697",-0.0786544727075541,0.0786544727075541,7812.50729066203,0.0435083752939346,0.0460148748478522,10,"high_loading"
"248551",0.0764229806052762,0.0764229806052762,22090.6466071349,0.0169059645915692,0.0454366008978312,11,"high_loading"
"156760",0.0691661873138474,0.0691661873138474,2593.41552514148,0.211140896871148,0.0478153754388948,12,"high_loading"
"339719",0.0513932330352425,0.0513932330352425,2976.77643326991,0.106463116754242,0.0474682788246909,13,"high_loading"
"25328",0.0502789859359689,0.0502789859359689,9433.04410385852,0.175634860087851,0.0458611735701026,14,"high_loading"
"161605",-0.0499322578828925,0.0499322578828925,4431.47150071302,0.0611120186651671,0.0466974842234953,15,"high_loading"
"91106",-0.0428498160217908,0.0428498160217908,4920.94590613404,0.0443883305725993,0.0465405945666484,16,"high_loading"
"175929",-0.0426920813904792,0.0426920813904792,4800.24394093681,0.0266885594571908,0.0465763106081734,17,"high_loading"
"475643",-0.0419895053407804,0.0419895053407804,2914.13600972489,0.0746807472707362,0.0475187518720646,18,"high_loading"
"504994",-0.0419211196968967,0.0419211196968967,3456.10184908294,0.1183205590294,0.0471426231998711,19,"high_loading"
"470412",0.0403343663416477,0.0403343663416477,2470.5992956186,0.908012645664154,0.0479493561313435,20,"high_loading"
"163596",-0.0394022931338328,0.0394022931338328,3522.59326428622,0.0731366792064039,0.0471044483426714,21,"high_loading"
"56157",-0.0388470753490372,0.0388470753490372,3204.56505997796,0.0599036651837837,0.0473013706523226,22,"high_loading"
"126494",-0.0378072994558111,0.0378072994558111,1728.96607424787,0.278002218976971,0.0491629161728397,23,"high_loading"
"414973",-0.0376520533834042,0.0376520533834042,2546.02346889791,0.137804488014653,0.0478655440318207,24,"high_loading"
"56995",0.0350110349267304,0.0350110349267304,3125.7358002762,0.11960682025829,0.0473563787929468,25,"high_loading"
"511144",0.0346538977356328,0.0346538977356328,2499.73478777049,0.146054725730652,0.0479163809655026,26,"high_loading"
"127268",-0.0333201273996528,0.0333201273996528,3139.7233411131,0.0435340510498805,0.0473464165163329,27,"high_loading"
"315271",0.0328967800358318,0.0328967800358318,1701.39504315696,0.167028711131376,0.0492284283828714,28,"high_loading"
"130479",-0.0323433397225387,0.0323433397225387,4176.3246201597,0.0318460247497154,0.0467938469170899,29,"high_loading"
