"comparison_name","dataset_name","display_class","n_features"
"RT0_ZT6","original","strong_and_hbfss",22
"RT0_ZT6","original","strong_deseq2_only",0
"RT0_ZT6","original","weak_deseq2_effect",5496
"RT0_ZT6","original","hbfss_only",3977
"RT0_ZT6","original","background",22058
