"comparison_name","dataset_name","n_features","n_standard_significant","n_deseq2_strong","n_deseq2_weak","n_hbfss","n_overlap_strong_hbfss","hc_p_threshold_dataset","hbfss_threshold_dataset"
"RT0_ZT6","original",31553,22,3,5496,5022,22,0.99,0.00436480540245009
"RT0_ZT6","leading_edge",6535,3,1,3125,2589,3,0.99,0.00436480540245009
"RT0_ZT6","remainder",25018,93,2,3217,12523,93,0.99,0.00436480540245009
"RT2_ZT8","original",31534,0,0,10111,8,0,0.99,0.00436480540245009
"RT2_ZT8","leading_edge",4868,0,0,4148,3,0,0.99,0.00436480540245009
"RT2_ZT8","remainder",26666,2,0,3737,28,2,0.99,0.00436480540245009
"RT4_ZT10","original",31658,825,67,8366,23042,825,0.99,0.00436480540245009
"RT4_ZT10","leading_edge",6549,267,24,4473,5222,267,0.99,0.00436480540245009
"RT4_ZT10","remainder",25109,830,90,4722,19052,830,0.99,0.00436480540245009
"RT8_ZT14","original",31580,7,0,11215,7383,7,0.99,0.00436480540245009
"RT8_ZT14","leading_edge",5913,3,0,5086,2055,3,0.99,0.00436480540245009
"RT8_ZT14","remainder",25667,36,0,6993,10777,36,0.99,0.00436480540245009
