"feature_id","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","combined_loading","combined_rank"
"248551",0.531866672814841,0.531866672814841,1,-0.439909028259144,0.439909028259144,1,0.531866672814841,1
"25328",-0.340691018856846,0.340691018856846,2,0.318866309444688,0.318866309444688,2,0.340691018856846,2
"8277",0.295486018874913,0.295486018874913,3,-0.278242152125641,0.278242152125641,3,0.295486018874913,3
"415923",0.15722294684919,0.15722294684919,4,0.242927642162007,0.242927642162007,4,0.242927642162007,4
"335788",-0.0902723644856909,0.0902723644856909,16,0.234132401967447,0.234132401967447,5,0.234132401967447,5
"175929",-0.0469851298534234,0.0469851298534234,50,0.185872361871441,0.185872361871441,6,0.185872361871441,6
"169957",-0.0094816991877104,0.0094816991877104,403,0.160488632271888,0.160488632271888,7,0.160488632271888,7
"163095",-0.0838952943549471,0.0838952943549471,18,0.159284685123485,0.159284685123485,8,0.159284685123485,8
"55601",0.121944725990957,0.121944725990957,10,0.153927168107784,0.153927168107784,9,0.153927168107784,9
"156760",0.152718775195679,0.152718775195679,5,-0.111095109343903,0.111095109343903,11,0.152718775195679,10
"412143",0.143930424543994,0.143930424543994,6,-0.0178078989568948,0.0178078989568948,201,0.143930424543994,11
"111059",0.141380172680183,0.141380172680183,7,-0.0501871987237674,0.0501871987237674,40,0.141380172680183,12
"506371",0.130233063862925,0.130233063862925,8,-0.0441209112091248,0.0441209112091248,50,0.130233063862925,13
"263417",0.125560639174255,0.125560639174255,9,-0.0399093453926271,0.0399093453926271,62,0.125560639174255,14
"42310",-0.0130246894600796,0.0130246894600796,271,0.11306243792664,0.11306243792664,10,0.11306243792664,15
"323897",0.0079115169666076,0.0079115169666076,498,0.110277803509267,0.110277803509267,12,0.110277803509267,16
"359542",0.109303015469171,0.109303015469171,11,-0.0740685231108528,0.0740685231108528,24,0.109303015469171,17
"179269",0.107857526060245,0.107857526060245,12,-0.00790218031096009,0.00790218031096009,541,0.107857526060245,18
"88697",0.0204714693703666,0.0204714693703666,155,0.0996559221014664,0.0996559221014664,13,0.0996559221014664,19
"60635",0.0371596449404538,0.0371596449404538,68,-0.0966707415930953,0.0966707415930953,14,0.0966707415930953,20
"437093",0.0966479895436202,0.0966479895436202,13,-0.0554464012254081,0.0554464012254081,35,0.0966479895436202,21
"278624",0.0946871103150875,0.0946871103150875,14,-0.0959943509176181,0.0959943509176181,15,0.0959943509176181,22
"339719",0.0942290593722825,0.0942290593722825,15,-0.0584347312537845,0.0584347312537845,33,0.0942290593722825,23
"21974",0.0765659237440564,0.0765659237440564,21,-0.0940689919517337,0.0940689919517337,16,0.0940689919517337,24
"441714",-0.0422685614120474,0.0422685614120474,56,0.0902925247012707,0.0902925247012707,17,0.0902925247012707,25
"155886",-0.0214286930193499,0.0214286930193499,149,0.0893596431208948,0.0893596431208948,18,0.0893596431208948,26
"468058",-0.000311258895011894,0.000311258895011894,9966,0.0891508285283411,0.0891508285283411,19,0.0891508285283411,27
"568576",0.088542257574871,0.088542257574871,17,-0.0304560109207108,0.0304560109207108,86,0.088542257574871,28
"161605",-0.068787361338686,0.068787361338686,25,0.0876116199150499,0.0876116199150499,20,0.0876116199150499,29
"100439",-0.000337861163872684,0.000337861163872684,9414,0.0835143811255024,0.0835143811255024,21,0.0835143811255024,30
"206283",-0.0816438938163731,0.0816438938163731,19,0.0689293194862178,0.0689293194862178,26,0.0816438938163731,31
"299595",0.081519831461391,0.081519831461391,20,-0.0278125874494126,0.0278125874494126,105,0.081519831461391,32
"308159",-0.00939734591787269,0.00939734591787269,413,0.0795926672035078,0.0795926672035078,22,0.0795926672035078,33
"475643",-0.0446595731331249,0.0446595731331249,53,0.0758283497506963,0.0758283497506963,23,0.0758283497506963,34
"264490",0.0754567621515713,0.0754567621515713,22,-0.0410126053605697,0.0410126053605697,60,0.0754567621515713,35
"144905",0.0749923669905108,0.0749923669905108,23,-0.0172383315050222,0.0172383315050222,212,0.0749923669905108,36
"66014",-0.0727989753288993,0.0727989753288993,24,0.0213426992627871,0.0213426992627871,153,0.0727989753288993,37
