"feature_id","gene_symbol","dataset_name","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","standard_significant","deseq2_strong_call","deseq2_weak_call","HBFSS_significant","effect_class","volcano_display_class","combined_rank","combined_loading"
"270331",NA,"RT4_ZT10 | remainder",83.5070337014457,3.28317236061509,"upregulated",6.26857359976032e-12,5.83326338715979e-20,1.60198912401569e-15,2.22044604925031e-16,6.26857359976032e-12,51.3933347969632,NA,NA,0.999999999974044,1.93014462784941e-06,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",2572,8.50758725872076
"281697",NA,"RT4_ZT10 | remainder",40.6870678521089,5.52587839384214,"upregulated",6.590778282788e-08,1.69881497509667e-15,1.55515185536933e-11,3.70814490224802e-14,3.48950597053324e-10,74.2172068212238,NA,NA,0.999999999974044,1.54549645985463e-06,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",8253,6.27979209750322
"150946",NA,"RT4_ZT10 | remainder",129.257301675035,-2.44494276652268,"downregulated",6.590778282788e-08,2.62857079090485e-13,1.80471099076549e-09,3.5695890687748e-12,2.2329002902805e-08,27.9881932713169,NA,NA,0.999999999974044,0.0339325181664989,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",2107,9.12629406566156
"300679",NA,"RT4_ZT10 | remainder",78.2591302541286,3.07911136858853,"upregulated",1.00836274925744e-07,5.56364242680614e-13,3.05588623934754e-09,7.04081237756782e-12,3.31283667124666e-08,34.3394115111755,NA,NA,0.999999999974044,0.00515498456905016,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",2903,8.09188868149002
"248301",NA,"RT4_ZT10 | remainder",89.4556882626838,-2.27055474508647,"downregulated",2.42835138394315e-07,8.75112538028623e-13,4.00553593864668e-09,1.06126218923919e-11,4.28009250286492e-08,24.917470361426,NA,NA,0.999999999974044,0.0795678167071537,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",3618,7.77354872398957
"52694",NA,"RT4_ZT10 | remainder",25.3132117977307,-3.31134999459375,"downregulated",2.42835138394315e-07,1.92512953544707e-12,7.55283320456897e-09,2.16784368234357e-11,7.38561719240803e-08,35.3121437466294,NA,NA,0.999999999974044,0.00515498456905016,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",18673,4.12523498021816
"210273",NA,"RT4_ZT10 | remainder",57.6397555363752,-2.67148072131883,"downregulated",1.49564195993668e-05,6.23278461581479e-12,1.90189959893469e-08,6.28497254240301e-11,1.77431975741216e-07,27.2536358325346,NA,NA,0.999999999974044,0.0339325181664989,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",6705,6.48999646748769
"486523",NA,"RT4_ZT10 | remainder",53.763141914368,2.2167892882845,"upregulated",1.49564195993668e-05,7.67128944164361e-11,2.10676621935858e-07,6.11211081746887e-10,1.5636689784077e-06,20.4250726083685,NA,NA,0.999999999974044,0.174591935363738,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",5939,6.75270294870818
"8525",NA,"RT4_ZT10 | remainder",101.706122974515,3.01734832285313,"upregulated",1.49564195993668e-05,1.90835015411888e-10,4.76445638932425e-07,1.39603484328177e-09,3.14878484732084e-06,26.7189324250097,NA,NA,0.999999999974044,0.0343923334430729,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",2463,8.64435435902096
"4760",NA,"RT4_ZT10 | remainder",31.1488602493913,-2.75444159758353,"downregulated",0.000155914850939074,3.2863097423318e-10,6.94245572720448e-07,2.2847816971705e-09,4.60728607496749e-06,23.8015575789726,NA,NA,0.999999999974044,0.0795678167071537,TRUE,TRUE,FALSE,FALSE,"strong_effect","strong_deseq2_only",16250,4.67106184176014
