"role","index","rank","d1_here","d2_here","var_fit_here"
"cutoff_anchor",26490,26490,0.000508262359166596,-1.40314185347798e-08,3.89326652528997
"leading_edge_5000_reference",26758,26758,0.000189625350733492,-1.91192414824719e-06,3.99727084171377
"terminal_start",27155,27155,-0.000301865837161853,6.03064516344658e-09,3.94598238297752
