"percentile","rank_index","iod_emp_scaled_ctrl","cv2_emp_scaled_ctrl","iod_nb_scaled_ctrl","cv2_nb_scaled_ctrl","iod_emp_scaled_trt","cv2_emp_scaled_trt","iod_nb_scaled_trt","cv2_nb_scaled_trt","iod_emp_combined","cv2_emp_combined","iod_nb_combined","cv2_nb_combined","empirical_difference","theoretical_difference"
0.01,318,0.855248451732524,0.326926589101983,1,0.496051320325862,0.565694668756479,0.468547311154757,0.786382966009397,0.415085362619501,1.420943120489,0.795473900256741,1.7863829660094,0.911136682945363,0.625469220232261,0.875246283064034
0.02,635,0.175783678480127,0.282616742547212,0.345147440429833,0.460249293583737,0.277966191855988,0.557815719313537,0.345873418350964,0.512494227977474,0.453749870336114,0.84043246186075,0.691020858780797,0.972743521561211,-0.386682591524635,-0.281722662780414
0.03,953,0.114731670068326,0.313219679186794,0.217201187448389,0.530485067927374,0.12520105787176,0.484143353833915,0.232177132039126,0.485257611493898,0.239932727940086,0.797363033020709,0.449378319487515,1.01574267942127,-0.557430305080623,-0.566364359933757
0.04,1270,0.073769284450338,0.321726595854102,0.138260830232975,0.422688427091987,0.177333676714981,0.52097252818178,0.236652813203107,0.503346114234998,0.251102961165318,0.842699124035882,0.374913643436082,0.926034541326985,-0.591596162870563,-0.551120897890903
0.05,1588,0.0840294512697994,0.310882973654103,0.166885067201677,0.4546393913648,1,0.692141335644145,1,0.719756109465126,1.0840294512698,1.00302430929825,1.16688506720168,1.17439550082993,0.0810051419715507,-0.00751043362824855
0.06,1905,0.265671534851043,0.312646822039801,0.216851144005112,0.441348843157498,0.0957393628568062,0.477539305589138,0.133982307691494,0.448457996750992,0.361410897707849,0.790186127628938,0.350833451696606,0.88980683990849,-0.428775229921089,-0.538973388211884
0.07,2223,0.0399629620460443,0.308735338386517,0.0830271848212286,0.413330431141903,0.22979833574322,0.546597603322609,0.185142879700981,0.536697440242807,0.269761297789264,0.855332941709126,0.268170064522209,0.95002787138471,-0.585571643919862,-0.6818578068625
0.08,2541,0.0401779494849879,0.351043690353391,0.0837335805806534,0.464429754692011,0.140239048436587,0.556142500033308,0.186748623721863,0.565629816100024,0.180416997921575,0.907186190386698,0.270482204302516,1.03005957079204,-0.726769192465123,-0.759577366489519
0.09,2858,0.0623783187172887,0.29214598529726,0.0986440504846742,0.398927811417876,0.0816257799921016,0.67743079314041,0.149192193558338,0.747080533060043,0.14400409870939,0.969576778437671,0.247836244043013,1.14600834447792,-0.82557267972828,-0.898172100434907
0.1,3176,0.0462732535216669,0.334308217399681,0.0910991314667618,0.4742796346104,0.133170599685831,0.555704866703548,0.157034635713089,0.585519131443521,0.179443853207498,0.890013084103229,0.24813376717985,1.05979876605392,-0.710569230895731,-0.811664998874071
0.11,3493,1,0.34142505722391,0.646819980104795,0.405988667595471,0.0810971167049331,0.549583658197745,0.112159887582118,0.559654024985113,1.08109711670493,0.891008715421656,0.758979867686913,0.965642692580584,0.190088401283277,-0.206662824893671
0.12,3811,0.0264926594441019,0.248953822416456,0.0612615420265486,0.339690720093177,0.326658572977524,0.57886372389272,0.244066777991955,0.641402672151904,0.353151232421626,0.827817546309176,0.305328320018504,0.981093392245081,-0.47466631388755,-0.675765072226578
0.13,4128,0.0606119009012764,0.365633434596073,0.115231615251911,0.43164782522906,0.213004826005471,0.591774673649318,0.179493110230013,0.671739119617424,0.273616726906748,0.957408108245392,0.294724725481924,1.10338694484648,-0.683791381338644,-0.808662219364561
0.14,4446,0.0349568747025047,0.413812337697202,0.0579598694894371,0.48285083069065,0.1170325508944,0.879513735491168,0.165957571241762,1,0.151989425596905,1.29332607318837,0.223917440731199,1.48285083069065,-1.14133664759146,-1.25893338995945
0.15,4764,0.0615711841488229,0.235099338429196,0.0996833355449649,0.285971286405814,0.254154541198064,0.546541694457539,0.240370150340466,0.678971244057628,0.315725725346887,0.781641032886735,0.340053485885431,0.964942530463442,-0.465915307539849,-0.624889044578012
0.16,5081,0.0794507417317011,0.264900396570892,0.117299704373147,0.350158119600366,0.373768181404226,0.531282052966305,0.265156773386165,0.599808845233248,0.453218923135927,0.796182449537197,0.382456477759312,0.949966964833614,-0.34296352640127,-0.567510487074302
0.17,5399,0.0390098291973758,0.623265676470872,0.0532361791679702,0.658522677103766,0.177633489328554,0.5922481906329,0.164647722432901,0.682562986686159,0.21664331852593,1.21551386710377,0.217883901600872,1.34108566378992,-0.998870548577842,-1.12320176218905
0.18,5716,0.0440738514593929,0.298796409703929,0.0662752667522483,0.343627646553871,0.345163473135458,0.553849958629964,0.340629694028594,0.723591734359432,0.389237324594851,0.852646368333893,0.406904960780842,1.0672193809133,-0.463409043739042,-0.660314420132461
0.19,6034,0.0768046584310585,0.26537172321941,0.0885440737267571,0.352808968235435,0.222397371571091,0.569989224005495,0.241946810989888,0.786142705180378,0.299202030002149,0.835360947224905,0.330490884716646,1.13895167341581,-0.536158917222756,-0.808460788699168
0.2,6351,0.0904542702221794,0.276604208020833,0.0950686394940543,0.317570200565037,0.513414990907925,0.577470236521787,0.371019263791203,0.734877589686508,0.603869261130105,0.85407444454262,0.466087903285258,1.05244779025155,-0.250205183412515,-0.586359886966287
0.21,6669,0,1,0,1,0.458941427750952,0.539736952385329,0.320859556686013,0.629818812266651,0.458941427750952,1.53973695238533,0.320859556686013,1.62981881226665,-1.08079552463438,-1.30895925558064
0.22,6987,0.0620117195662838,0.362910171471367,0.0762459289549104,0.384058621504159,0.443596609453888,0.535676191514919,0.368584989820137,0.660020742208798,0.505608329020172,0.898586362986287,0.444830918775048,1.04407936371296,-0.392978033966115,-0.599248444937909
0.23,7304,0.115162126730463,0.345654872560182,0.122442164394217,0.385547087388995,0.494481189237122,0.530932116610742,0.355221913597036,0.613424460648501,0.609643315967585,0.876586989170923,0.477664077991253,0.998971548037496,-0.266943673203338,-0.521307470046243
0.24,7622,0.0487781855585706,0.314870879455103,0.0539452211798757,0.405274200916,0.297423682458756,0.513188736146077,0.287345654793618,0.639649924955331,0.346201868017327,0.82805961560118,0.341290875973493,1.04492412587133,-0.481857747583853,-0.703633249897837
0.25,7939,0.0357605855918377,0.386887381221401,0.0563674424791887,0.479919211611052,0.497357432039228,0.481008854391694,0.340744382580702,0.585099366614055,0.533118017631065,0.867896235613095,0.39711182505989,1.06501857822511,-0.33477821798203,-0.667906753165217
