"percentile","rank_index","lo_rank","hi_rank","n_bin","iod_emp","cv2_emp","iod_nb","cv2_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.01,318,1,318,318,45.2431024738701,1.5850101237694,70.7064886250203,2.92785746472326,0.905461821085299,0.386028382772202,1,0.439853634986662
0.02,635,319,635,317,18.6806765986977,1.55697729429137,29.284092525632,2.87975526694307,0.290686964519134,0.376925566878932,0.318319594393067,0.429867514261298
0.03,953,636,953,318,12.9251610038153,1.51001483413215,22.8998601745868,2.99837138772496,0.157478262462467,0.361675924346073,0.213255510506966,0.45449247854079
0.04,1270,954,1270,317,13.1064876687606,1.42488733226979,20.777836009694,2.91725160439103,0.16167498285831,0.334033335590828,0.17833376696608,0.437651835348359
0.05,1588,1271,1588,318,12.5334601606563,1.4077246182443,19.2387776298089,2.90696980026278,0.148412530635053,0.328460261844372,0.153005779224002,0.435517310481773
0.06,1905,1589,1905,317,10.9231175965799,1.41331075665986,18.1723136553563,3.03574092480522,0.111141909212714,0.330274191814979,0.135455186715406,0.462250475596139
0.07,2223,1906,2223,318,14.6293763412262,1.49906462682811,19.0839123365406,3.12451030800847,0.196921525082314,0.358120174786082,0.150457190878792,0.480679192334497
0.08,2541,2224,2541,318,10.8371294694437,1.51288328656062,17.7711965093555,3.23165011933082,0.109151754443907,0.362607367758715,0.128854078992771,0.502921649846456
0.09,2858,2542,2858,317,11.7683639900417,1.40680644937409,17.5807510238048,2.89424323755581,0.130704739533466,0.328162114196059,0.125719954266506,0.432875248424829
0.1,3176,2859,3176,318,10.9139305451239,1.47087807719926,16.763353235917,3.18167408892688,0.110929279226746,0.348967442910084,0.112268196085917,0.492546517398895
0.11,3493,3177,3493,317,13.8579756438903,1.69739648258231,17.6423432115954,3.57501891167997,0.179067818674311,0.422522463185696,0.126733565054607,0.574205756851083
0.12,3811,3494,3811,318,14.1471516561679,1.37460669329953,17.7424547095804,2.77624334261618,0.185760661500707,0.317706214566494,0.128381080721943,0.408378213968482
0.13,4128,3812,4128,317,8.75073035182067,1.84921023076871,15.3581103650558,3.9968342362776,0.0608630279433902,0.47181939915469,0.0891423844383614,0.661775534317157
0.14,4446,4129,4446,318,10.5285248585877,1.24535025892747,15.1569547889836,2.73159256841302,0.102009245839224,0.275734085922412,0.0858320058123155,0.399108616273357
0.15,4764,4447,4764,318,11.0349038359739,1.92263795648231,15.6634961342726,4.05848300459737,0.113729149158813,0.495662838474877,0.0941680593058116,0.674573952506372
