"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","alpha","mu_ctrl","mu_trt","var_ctrl","var_trt","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_ctrl","iod_nb_trt","cv2_nb_ctrl","cv2_nb_trt"
"523232",0.0260046030328686,0.0106237103994397,1,2419,1,10,24.4237865148555,5.02412251645932,1137.52037591631,89.2273145885867,46.5742842627791,17.7597807968004,1.90692316420514,3.53490201296213,245.237865148555,51.2412251645932,10.0409436923055,10.199039732157
"157795",0.0211852875685526,0.0309990404522689,13,1,1,7.16671198851396,36.1250124609489,109.729562301593,6079.8561062028,11629.9994158342,168.300456997077,105.987841124063,4.65883457283259,0.96590051851983,259.897559889099,787.400169641217,7.19439363986512,7.17582530291188
"116600",0.025500922944925,0.0138944194444139,2,611,2,10,23.5305077299706,9.46067963297906,1068.76313357528,249.126240938715,45.420317565609,26.3328059508837,1.93027358724425,2.78339474249714,236.305077299706,95.6067963297906,10.0424980205049,10.1057006514114
"133139",0.0119385184612708,0.0256314265915497,1355,2,2,1.98966156598775,17.7406383527066,82.2698479270793,647.451399912476,7824.10728110386,36.4953834828438,95.1029748838097,2.05716292487727,1.15598821779888,36.2978662864686,164.689154460167,2.04602932345615,2.00181668752008
"322426",0.0250183183230553,0.0015315094239789,3,22993,3,1.85787570334402,30.5685366675122,29.2094999775174,1206.78561241572,175.345622083443,39.4780301570104,6.00303402038402,1.29145960064772,0.205516493777865,57.7925415613516,55.2676203150573,1.89058907823916,1.89211114047131
"32631",0.00872505145067522,0.0255738496524268,4120,3,3,1.39349696716448,28.6191327788799,88.0845857014627,449.504501677189,6333.23628695061,15.7064333552731,71.8994843026826,0.548808850241054,0.816255009092796,40.8806747302466,123.745603028928,1.42843862691798,1.40484969127661
"417259",0.0232325303754537,0.003604454034315,4,14040,4,4.3532140513783,23.9936133444166,7.39944937779949,1388.73041114446,73.1410724332065,57.8791693943682,9.88466420929253,2.41227398989644,1.33586483326035,105.449334754252,33.2113870038992,4.39489180894009,4.48835924245161
"534198",0.0144708045984127,0.0241861738042019,436,4,4,10,13.0502470310285,38.4213728231162,851.544737854339,1742.98377949976,65.2512351551424,45.3649531869692,5,1.18072181844776,131.502470310285,385.213728231162,10.0766269019753,10.0260271803562
"49031",0.0231811852903232,0.00410054004527231,5,12604,5,1.72254763117608,21.3952897287062,17.5870392637864,803.70703684922,58.4723730749204,37.5646718058172,3.32474228310397,1.7557449458334,0.1890450253301,37.8544056405087,31.294512823236,1.76928689073648,1.77940768504877
"135069",0.00262086965779573,0.0238815887304611,18587,5,5,1.67886303216138,23.8022620026529,30.6463011537807,199.522993753127,811.224148197931,8.38252237249085,26.4705402497767,0.352173351068758,0.863743396534206,40.9607377580734,52.450942079567,1.72087584589683,1.71149339740455
"315962",0.0228477543325788,0.00106994913165346,6,25179,6,1.54725072447042,21.2323983438674,18.5479133861513,424.352155879907,61.0382507627304,19.9860679423657,3.29084191261667,0.941300536033805,0.177423834374478,33.8518437197934,29.6982724241371,1.59434855975989,1.60116514487884
"37466",0.000106833903308017,0.0238814948551706,30532,6,6,6.52563762684781,3.47093210662061,18.2864246849706,12.0144394939183,1096.19893164644,3.46144468542081,59.9460501728035,0.997266607093322,3.27817226196614,23.6500451551976,120.330580984763,6.81374467396998,6.58032300232319
"157980",0.0222321337607998,0.00843283838739226,7,4594,7,1.71419980947716,46.0095209443448,28.3731820276287,4007.61974970691,548.747932106275,87.1041399138824,19.3403732994038,1.89317641492611,0.681642731526232,79.8695120369314,49.6373032260221,1.73593444134194,1.74944435832707
"120304",0.00459137419676479,0.0231263610673475,11739,7,7,1.69380110385185,22.2314603142519,33.8035137555026,95.6184846442097,1513.80641892098,4.3010438042575,44.7825166895426,0.193466544413199,1.32478880785737,38.6556720205184,58.2564289131414,1.73878240448907,1.72338382732944
"22463",0.0220262705892285,0.00418846914705573,8,12295,8,2.54988655518024,18.0777696405778,10.6638297927668,316.330711892434,95.4252503893667,17.498326296978,8.94849713881337,0.967947188446343,0.839144783132516,47.0962617541549,28.1915562153066,2.60520311357665,2.64366149527524
"191103",0.00476951165682224,0.0223423016227251,11237,8,8,1.78738258476962,16.5125082784431,24.1841528341641,80.9065723558251,598.022118220188,4.8997142645765,24.7278506020432,0.296727437282985,1.02248157177997,30.5141697277534,44.2263336031917,1.84794273608869,1.82873197611929
