"comparison","n_features","empirical_control_crossing","empirical_treatment_crossing","empirical_combined_crossing","theoretical_combined_crossing"
"RT0_ZT6",31757,0.933360987894364,0.954771841828696,0.929115521021963,0.929462992152199
"RT2_ZT8",31757,0.799097420256827,0.901678078107801,0.828557341992631,0.82545262296032
"RT4_ZT10",31757,0.940740229235543,0.90972533114324,0.940313467282519,0.90869752776566
"RT8_ZT14",31757,0.951208588360936,0.978097390191668,0.971772286751498,0.95460850846486
