"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","iod_amp_scaled","cv2_amp_scaled","center_distance","center_agreement","local_fourier_score"
0.01,314,1,1570,0.327176044183217,0.0655077315132921,785.5,785.5,0.215255844689316,0.395969415924586,1,0.569932695170359,0,1,2.56993269517036
0.02,628,1,1884,0.311517670121736,0.0511467749149053,942.5,942.5,0.226256779705279,0.408125561989496,0.95085450354876,0.434752948463986,0,1,2.38560745201275
0.03,942,1,2198,0.31556939908659,0.0542272841960456,1099.5,1099.5,0.231652400261797,0.414428825555887,0.963571292065995,0.463749795679439,0,1,2.42732108774543
0.04,1256,1,2512,0.3254791728117,0.044311809967077,1256.5,1256.5,0.239124579711704,0.421702456203002,0.994674186116665,0.370415393784784,0,1,2.36508957990145
0.05,1570,314,2826,0.0928541402379427,0.024380278796356,1570,1570,0.236655708337427,0.437735312535613,0.264555422320723,0.182799804484074,0,1,1.4473552268048
0.06,1884,628,3140,0.0625106831156352,0.0604018937220705,1884,2825.5,0.244304543153711,0.44823227235429,0.16931920823697,0.521871421910979,941.5,0.00106100795755968,0.692251638105509
0.07,2198,942,3454,0.0508720231581741,0.037451511417764,2198,3000.5,0.253288195814472,0.462385344342214,0.132790018207997,0.305839373804999,802.5,0.00124455507156192,0.439873947084558
0.08,2512,1256,3768,0.0444037154037333,0.033338389763141,2512,2984,0.263307002631874,0.477770022850329,0.112488536423028,0.267122541842225,472,0.00211416490486258,0.381725243170116
0.09,2827,1571,4083,0.0348846645725344,0.0373293237543965,2827,3288.5,0.271917951694249,0.48713770328842,0.0826119683319217,0.304689220800115,461.5,0.00216216216216216,0.389463351294198
0.1,3141,1885,4397,0.0356781155152845,0.0308528182414661,3141,3449,0.27864172076447,0.498540713267206,0.0851022997250823,0.243725846335303,308,0.00323624595469256,0.332064392015078
0.11,3455,2199,4711,0.0307536048655124,0.0183564409012215,3455,3455,0.285251824732024,0.510199894510097,0.0696461917210068,0.126097392267606,0,1,1.19574358398861
0.12,3769,2513,5025,0.0154057224406437,0.0359143714156985,3769,3769,0.29221668616539,0.524154616413187,0.0214752067717512,0.291370268303017,0,1,1.31284547507477
0.13,4083,2827,5339,0.00856345112462668,0.00496035737801223,4083,4083,0.298806050515131,0.529446686570038,0,0,0,1,1
0.14,4397,3141,5653,0.0395975445110325,0.0380521633552898,4282,4397,0.30576648963943,0.541320313041654,0.0974038505147816,0.31149331309638,115,0.00862068965517241,0.417517853266334
0.15,4711,3455,5967,0.0215238722100206,0.0187095793327779,4711,4711,0.313340646326972,0.555199315343537,0.0406776799403237,0.12942148585448,0,1,1.1700991657948
0.16,5025,3769,6281,0.0277954614401505,0.0273346992882531,5026,5025,0.314158885002391,0.55837593094499,0.0603617394118104,0.210609777379865,1,0.5,0.770971516791676
0.17,5339,4083,6595,0.0189266834912196,0.0330127812053692,5339,5124,0.318333834075507,0.568555190520751,0.032526122922854,0.26405758707661,215,0.00462962962962963,0.301213339629094
0.18,5653,4397,6909,0.0331410579069975,0.0508383081094425,5463,5653,0.321488029872012,0.573884468980102,0.0771394706858029,0.431849349087154,190,0.00523560209424084,0.514224421867197
0.19,5967,4711,7223,0.030640072393001,0.0412055432131935,5967,6001,0.32847227774667,0.57956481193643,0.0692898578064507,0.341176091366755,34,0.0285714285714286,0.439037377744634
0.2,6281,5025,7537,0.0324821088522212,0.0435482238188036,6281,6281,0.330077908218737,0.582936460434191,0.075071287980121,0.363227754061418,0,1,1.43829904204154
0.21,6595,5339,7851,0.0258708228069505,0.0470019603959076,6595,7035,0.333280410725987,0.59122165600595,0.0543210534027482,0.395737791431484,440,0.00226757369614512,0.452326418530377
0.22,6909,5653,8165,0.021923089328325,0.036416050845555,6909,7174,0.342059508874361,0.601893108097998,0.0419306659396277,0.296092578950722,265,0.0037593984962406,0.341782643386591
0.23,7223,5967,8479,0.0214169074521708,0.0340971906012134,6980.5,7223,0.344082476378351,0.602169754859545,0.0403419595068562,0.274265137419927,242.5,0.00410677618069815,0.318713873107482
0.24,7537,6281,8793,0.024633425094902,0.0362071625117633,7882,7537,0.349646820224408,0.609024782732371,0.0504373471745363,0.294126312159342,345,0.00289017341040462,0.347453832744283
0.25,7852,6596,9108,0.0194466511646195,0.0407246307964661,7852,7679.5,0.351955097403995,0.61068825638837,0.0341580975676988,0.336649260703646,172.5,0.00576368876080692,0.376571047032152
