"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","deseq2_strong_call","deseq2_weak_call","HBFSS_only_call","overlap_call","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT4_ZT10_leading_edge_dataset","378009","Gapdh",8142.34301138791,1.16623739633087,"upregulated",0.183613441967112,7.81940758584225e-07,6.41191422039064e-05,0.00192492436694081,0.122825383586701,3.16701833086844,0.0493569045039046,1.30665208558399,0.897207151050622,1,TRUE,TRUE,"intermediate",1.2458939029577,0.252214351496409,4.93982160636659,TRUE,TRUE,1,0.897207151050622,FALSE,FALSE,FALSE,TRUE,15973.5653485108,9254.80571433406,15557.155262688,8573.25138123772,7914.96020844462,4229.33685083428,4016.55685226875,5438.37226210364,5093.93831718097,5371.48791627629,0.0691661176713307,0.0894484023046512,0.0762343761516158,8,FALSE,4.19301229633976,2.71558632987785
"RT4_ZT10_leading_edge_dataset","92652","Septin4",434.974580036423,3.50427547189422,"upregulated",0.0555298860231471,4.66667129147111e-12,2.29600227540378e-09,1.41213781317262e-05,0.00677546284062223,16.9961667758334,0.0493569045039046,1.30665208558399,0.999999749413746,0.000246576873863027,TRUE,TRUE,"strong_effect",3.65989137161067,0.529240680124249,6.91536291343183,TRUE,TRUE,0.000246576873863027,0.999999749413746,TRUE,FALSE,FALSE,TRUE,829.788929777251,803.232076045328,559.055145747152,280.780919023061,1556.83446917805,50.4275518761993,45.1298522726826,24.0163642585538,48.6363108071196,151.844181378835,0.384553206927476,0.252462473137568,0.325726531501419,10,FALSE,8.63902768587562,4.85012291760447
"RT4_ZT10_leading_edge_dataset","144905","LOC100362110",2871.10350428326,-1.36775607364016,"downregulated",0.107527116003648,2.56747669829018e-08,4.2106617851959e-06,0.000471598894632441,0.0641929338469847,4.54974103573754,0.0493569045039046,1.30665208558399,0.981745357728877,1,TRUE,TRUE,"intermediate",-1.45752823489016,0.261739030018812,-5.56863160524971,TRUE,TRUE,1,0.981745357728877,FALSE,FALSE,FALSE,TRUE,1115.97619534129,1252.21562670806,1363.90177798659,1976.56449320186,1956.08162855458,4676.60731095361,5516.33729174929,3687.84615614682,2779.42211465392,4386.08244753656,0.0645527633236661,0.106339067395586,0.0818504236193826,9,FALSE,5.37564964120194,3.32642722150654
"RT4_ZT10_leading_edge_dataset","256080","Got2",884.89305231604,1.03181292304288,"upregulated",0.999999999999997,9.87689050638985e-05,0.00231401434721134,0.0144980038120648,0.345144690158429,1.89718595081888,0.0493569045039046,1.30665208558399,0.79119012928347,1,TRUE,TRUE,"intermediate",1.1748077319788,0.301728169893386,3.89359645270746,TRUE,TRUE,1,0.79119012928347,FALSE,FALSE,FALSE,TRUE,921.759343665875,1367.61095005459,1045.8186778201,1017.69210570809,1779.40328791094,688.445708222894,363.137881077864,436.297284030395,540.7213377968,688.043946872846,0.0758390482327877,0.164901333384388,0.107804122542978,12,FALSE,2.63563395268963,1.83869179039159
"RT4_ZT10_leading_edge_dataset","437160","Eno1",451.320417941183,1.30273062736489,"upregulated",1,0.000515650058295758,0.00874826995453493,0.0292365695426056,0.515234969101179,1.99848464568398,0.0493569045039046,1.30665208558399,0.9416578982303,1,TRUE,TRUE,"intermediate",1.57533437883582,0.453661031558594,3.4724921676072,TRUE,TRUE,1,0.9416578982303,FALSE,FALSE,FALSE,TRUE,421.316979824982,584.535262366738,600.823633647801,487.759738777214,1284.9333864992,356.281616516625,96.5568932345767,209.476066032942,133.034614854768,338.485987656986,0.241879863065582,0.246225260169682,0.243701151960508,8,FALSE,2.05807782394762,1.53407358643776
"RT4_ZT10_leading_edge_dataset","189162","-",2236.67724624696,-1.3788037049872,"downregulated",0.183613441967112,1.01700174019131e-06,7.14806937391605e-05,0.00214603346882503,0.127162933318472,3.67914949274421,0.0493569045039046,1.30665208558399,0.981745357728877,1,TRUE,TRUE,"intermediate",-1.50763212413195,0.308415192434106,-4.88831990484405,TRUE,TRUE,1,0.981745357728877,FALSE,FALSE,FALSE,TRUE,938.200981902948,1017.39370234349,698.81893218394,1587.57748878454,1576.33792236598,3802.89516214207,4006.06153778673,1890.62156413171,2587.73783088469,4261.12733994356,0.105764067699353,0.113739570157073,0.11368448553124,9,FALSE,4.14581124120239,2.66836350920479
"RT4_ZT10_leading_edge_dataset","218802","LOC688682",926.937535733029,1.83772410619553,"upregulated",0.183613441967112,4.21668463655021e-08,5.18652210295676e-06,0.000578071138764846,0.0693398952177661,5.9505850452146,0.0493569045039046,1.30665208558399,0.999999749413746,0.497078536063183,TRUE,TRUE,"intermediate",1.96604055027625,0.358666529568368,5.48152779307915,TRUE,TRUE,0.497078536063183,0.999999749413746,FALSE,FALSE,FALSE,TRUE,1736.64803879078,1596.38595791192,1874.7625146176,1611.43831787148,559.863832688937,265.292772913918,345.295846458432,384.261828136862,297.539783761202,597.886464179163,0.146450010950119,0.161061609360778,0.152505289774808,8,FALSE,5.28512376696891,3.23801871301212
"RT4_ZT10_leading_edge_dataset","568576","-",2694.81671129782,-1.44282123692437,"downregulated",0.549235124277683,2.05851224797357e-06,0.0001012788026003,0.00287418720204524,0.137904023267374,3.66690845736455,0.0493569045039046,1.30665208558399,0.981745357728877,1,TRUE,TRUE,"intermediate",-1.58291499598045,0.33341417967366,-4.74759351125913,TRUE,TRUE,1,0.981745357728877,FALSE,FALSE,FALSE,TRUE,526.646224781227,1137.32421307046,1346.230494644,2121.94907973159,1613.05030483739,4517.65089743081,5088.12846088291,3067.42341280085,2745.09060114301,4784.673423656,0.152934361626842,0.108045833229045,0.133042944027859,9,FALSE,3.99448144187605,2.54148494873918
"RT4_ZT10_leading_edge_dataset","450048","-",1673.59488194833,-1.20357700629992,"downregulated",0.999999999999997,0.000268569941683235,0.00550568380450631,0.0221442284751376,0.445990381198184,1.99160634901603,0.0493569045039046,1.30665208558399,0.91299675623386,1,TRUE,TRUE,"intermediate",-1.42401144705664,0.390796532033335,-3.64386920131412,TRUE,TRUE,1,0.91299675623386,FALSE,FALSE,FALSE,TRUE,358.119432851235,806.759444007886,827.33735649363,1287.37496469071,1265.42993331127,3412.6297606654,3946.23824523922,2144.12763130533,1265.97456071473,1421.95749020388,0.231280081773498,0.125007665450957,0.182697747905643,7,FALSE,2.25918873407986,1.6547394463265
"RT4_ZT10_leading_edge_dataset","53349","Ypel3",212.98088072244,1.08354009390285,"upregulated",1,0.00650588296353116,0.0510619801304157,0.087539256120486,0.760901037778344,1.14616562128802,0.0493569045039046,1.30665208558399,0.912083363069641,1,TRUE,FALSE,"intermediate",1.65085228171239,0.606678560064488,2.72113173331346,TRUE,TRUE,1,0.912083363069641,FALSE,FALSE,FALSE,FALSE,108.925853320605,270.095603990148,218.481321326473,239.718096873443,777.843603612908,110.72136390209,34.6345377906634,50.7012134347248,157.352770258328,161.334442715012,0.435965924823493,0.431964103162858,0.434437728900647,6,FALSE,1.29190234771746,1.05779714819744
"RT4_ZT10_leading_edge_dataset","256369","-",554.389420333963,-2.72972292656735,"downregulated",0.549235124277683,1.26794028803148e-05,0.000519855518092906,0.00612490949721467,0.228878107557588,6.04060474898838,0.0493569045039046,1.30665208558399,0.999999749413746,0.258048777807767,TRUE,TRUE,"intermediate",-3.09053971870029,0.707935635967967,-4.36556596628246,TRUE,TRUE,0.258048777807767,0.999999749413746,FALSE,FALSE,FALSE,TRUE,173.151002684169,92.7193864443792,88.3564167129119,79.9060322911477,147.996791837854,114.01011728532,122.795179439625,200.136368821282,1635.03833095699,2889.78457686595,0.955967147267339,0.215367784058694,0.597618350515114,12,FALSE,3.28411734177639,2.21290032413088
