"percentile","center_rank_trt","local_fourier_score_trt","iod_amp_scaled_trt","cv2_amp_scaled_trt","center_agreement_trt","center_rank_ctrl","local_fourier_score_ctrl","iod_amp_scaled_ctrl","cv2_amp_scaled_ctrl","center_agreement_ctrl","combined_center_rank","combined_fourier_score"
0.01,314,2.56993269517036,1,0.569932695170359,1,299,2.30843192758153,0.985721511276671,0.322710416304861,1,306,4.87836462275189
0.02,628,2.38560745201275,0.95085450354876,0.434752948463986,1,598,1.03903167624642,0.978117648288775,0.0581780498454729,0.0027359781121751,613,3.42463912825917
0.03,942,2.42732108774543,0.963571292065995,0.463749795679439,1,897,1.06453204550043,1,0.0623462531507075,0.00218579234972678,920,3.49185313324587
0.04,1256,2.36508957990145,0.994674186116665,0.370415393784784,1,1196,1.06848117437944,0.985997634020828,0.0803096273151344,0.00217391304347826,1226,3.43357075428089
0.05,1570,1.4473552268048,0.264555422320723,0.182799804484074,1,1496,0.528679642175586,0.388161727926713,0.136359910090868,0.00415800415800416,1533,1.97603486898038
0.06,1884,0.692251638105509,0.16931920823697,0.521871421910979,0.00106100795755968,1795,1.25354374100078,0.24056509423238,0.0129786467683966,1,1840,1.94579537910629
0.07,2198,0.439873947084558,0.132790018207997,0.305839373804999,0.00124455507156192,2094,1.23679521312232,0.150197676046674,0.0865975370756434,1,2146,1.67666916020688
0.08,2512,0.381725243170116,0.112488536423028,0.267122541842225,0.00211416490486258,2393,0.131349030590435,0.0724018732985839,0.0520267420669374,0.0069204152249135,2452,0.51307427376055
0.09,2827,0.389463351294198,0.0826119683319217,0.304689220800115,0.00216216216216216,2692,0.665591375189272,0.100518280932359,0.065073094256913,0.5,2760,1.05505472648347
0.1,3141,0.332064392015078,0.0851022997250823,0.243725846335303,0.00323624595469256,2991,1.08237619127571,0.0823761912757147,0,1,3066,1.41444058329079
0.11,3455,1.19574358398861,0.0696461917210068,0.126097392267606,1,3290,0.171448010538248,0.051491632801934,0.112787918954952,0.00716845878136201,3372,1.36719159452686
0.12,3769,1.31284547507477,0.0214752067717512,0.291370268303017,1,3589,0.0763457582674626,0.0182371023782433,0.0363695254544368,0.0217391304347826,3679,1.38919123334223
0.13,4083,1,0,0,1,3888,0.198410986506644,0.0958720959143032,0.0946023826558333,0.00793650793650794,3986,1.19841098650664
0.14,4397,0.417517853266334,0.0974038505147816,0.31149331309638,0.00862068965517241,4188,1.09837227866399,0.0438167030173745,0.0545555756466152,1,4292,1.51589013193032
0.15,4711,1.1700991657948,0.0406776799403237,0.12942148585448,1,4487,1.02418083020434,0,0.0241808302043422,1,4599,2.19427999599915
0.16,5025,0.770971516791676,0.0603617394118104,0.210609777379865,0.5,4786,0.205433037018796,0.0451447563610135,0.152654692871523,0.00763358778625954,4906,0.976404553810472
0.17,5339,0.301213339629094,0.032526122922854,0.26405758707661,0.00462962962962963,5085,0.300506357323823,0.167770457492758,0.12343357424967,0.00930232558139535,5212,0.601719696952917
0.18,5653,0.514224421867197,0.0771394706858029,0.431849349087154,0.00523560209424084,5384,0.135873380226206,0.0751438886399292,0.0583227527174437,0.00240673886883273,5518,0.650097802093403
0.19,5967,0.439037377744634,0.0692898578064507,0.341176091366755,0.0285714285714286,5683,0.252032933685319,0.12195731235251,0.11407562133281,0.016,5825,0.691070311429954
0.2,6281,1.43829904204154,0.075071287980121,0.363227754061418,1,5982,0.27407238353851,0.134402150056349,0.120622614434541,0.019047619047619,6132,1.71237142558005
0.21,6595,0.452326418530377,0.0543210534027482,0.395737791431484,0.00226757369614512,6281,0.0926154424758313,0.0374318818524894,0.0511019279702806,0.00408163265306122,6438,0.544941861006209
0.22,6909,0.341782643386591,0.0419306659396277,0.296092578950722,0.0037593984962406,6580,0.514157312774663,0.165597264072093,0.302048420795594,0.0465116279069767,6744,0.855939956161254
0.23,7223,0.318713873107482,0.0403419595068562,0.274265137419927,0.00410677618069815,6880,0.311226477546858,0.127204949097311,0.178542076394752,0.00547945205479452,7052,0.62994035065434
0.24,7537,0.347453832744283,0.0504373471745363,0.294126312159342,0.00289017341040462,7179,0.353574101684196,0.0547841766543866,0.0987899250298095,0.2,7358,0.701027934428479
0.25,7852,0.376571047032152,0.0341580975676988,0.336649260703646,0.00576368876080692,7478,0.301398339732778,0.121873162794462,0.177360674773814,0.00216450216450216,7665,0.67796938676493
0.26,8166,0.183643418907897,0.0412133343564687,0.125623361862353,0.0168067226890756,7777,0.204760859509856,0.0740827448825483,0.123325173450837,0.00735294117647059,7972,0.388404278417753
0.27,8480,1.17650782052769,0.0649640357591186,0.111543784768571,1,8076,0.178525339781067,0.0280832966968195,0.147393262596442,0.00304878048780488,8278,1.35503316030876
0.28,8794,0.475139685540514,0.0975368873511253,0.37170309317464,0.00589970501474926,8375,0.145575319874665,0.0236016026029144,0.119648135876401,0.00232558139534884,8584,0.620715005415179
