"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
1,0.0100135403218188,1,318,318,4848.8,119004.5,0.0153379780163314,24.5430828246164,0.00506168182325862,4848.8,0.00020623659462135,24.5380211427931
2,0.0199955915231288,319,635,317,3750,99618.6,0.0136497708244171,26.56496,0.00708398933333333,3750,0.000266666666666667,26.5578760106667
3,0.0300091318449476,636,953,318,3858.4,192408.5,0.0125636445040622,49.8674320962057,0.0129243811155416,3858.4,0.000259174787476674,49.8545077150901
4,0.0399911830462575,954,1270,317,3916.8,174941,0.0118536866118676,44.664266748366,0.0114032543781572,3916.8,0.00025531045751634,44.6528634939879
5,0.0500047233680763,1271,1588,318,4037.8,232109.4,0.0113299745981237,57.4841250185745,0.0142364963640038,4037.8,0.000247659616622913,57.4698885222105
6,0.0599867745693863,1589,1905,317,4663,331982.1,0.0108806646333179,71.1949603259704,0.0152680592592688,4663,0.000214454214025306,71.1796922667111
7,0.0700003148912051,1906,2223,318,5477.2,985408.1,0.0104613923706132,179.910921638794,0.0328472434161238,5477.2,0.000182575038340758,179.878074395377
8,0.0800138552130239,2224,2541,318,6075.2,1796040.3,0.0100899331603499,295.634760995523,0.0486625561291024,6075.2,0.000164603634448249,295.586098439394
9,0.0899959064143338,2542,2858,317,6550.2,548821.1,0.00975760541500916,83.7869225367164,0.0127915059901555,6550.2,0.00015266709413453,83.7741310307263
10,0.100009446736153,2859,3176,318,5956,1098922.6,0.00946786662470561,184.506816655474,0.0309783103854052,5956,0.000167897918065816,184.475838345088
11,0.109991497937463,3177,3493,317,8351.4,1195625.5,0.00920417944918801,143.16467897598,0.0171425963282779,8351.4,0.000119740402806715,143.147536379652
12,0.120005038259281,3494,3811,318,6635.4,833818.1,0.00896130541804195,125.66207010881,0.018938130347652,6635.4,0.000150706814962173,125.643131978463
13,0.129987089460591,3812,4128,317,10038,1422583.6,0.00874678812099202,141.719824666268,0.0141183328019793,10038,9.96214385335724e-05,141.705706333466
14,0.14000062978241,4129,4446,318,14349.4,13454996.6,0.00853380181815189,937.669630785956,0.065345563632344,14349.4,6.96893249891982e-05,937.604285222324
15,0.150014170104229,4447,4764,318,13388.8,4492995.4,0.00831439264429032,335.578647825048,0.0250641317985964,13388.8,7.4689292543021e-05,335.553583693249
16,0.159996221305539,4765,5081,317,9220.4,1765662.2,0.00809472992904123,191.49518459069,0.0207686417715815,9220.4,0.00010845516463494,191.474415948919
17,0.170009761627358,5082,5399,318,14513.2,7537482,0.00796094229962821,519.353554006008,0.0357849098755621,14513.2,6.89027919411295e-05,519.317769096133
18,0.179991812828668,5400,5716,317,13546.4,3144772.9,0.00779314277230641,232.14823864643,0.01713726441316,13546.4,7.3820350794307e-05,232.131101382017
19,0.190005353150487,5717,6034,318,9665.2,1642330.1,0.00760173595233261,169.921998510119,0.0175808052094234,9665.2,0.000103463973844307,169.904417704909
20,0.199987404351796,6035,6351,317,10727,1936464,0.00745973346081763,180.522420061527,0.0168287890427451,10727,9.3222709051925e-05,180.505591272484
21,0.210000944673615,6352,6669,318,30107,47194546.1,0.0072801886088388,1567.56057063141,0.0520663158279275,30107,3.32148669744578e-05,1567.50850431559
22,0.220014484995434,6670,6987,318,18209.8,5936119,0.00710414242260208,325.984854309218,0.0179016163993684,18209.8,5.49154850684796e-05,325.966952692819
23,0.229996536196744,6988,7304,317,7110.4,576954.5,0.00697325101611906,81.1423407965797,0.0114117828528043,7110.4,0.000140639063906391,81.1309290137269
24,0.240010076518563,7305,7622,318,19022.8,4505105.9,0.00686737567857092,236.826644868263,0.0124496207113707,19022.8,5.25684967512669e-05,236.814195247552
25,0.249992127719873,7623,7939,317,21988.6,7207697.6,0.00669481631621749,327.792474282128,0.0149073826565642,21988.6,4.54781113849904e-05,327.777566899471
26,0.260005668041692,7940,8257,318,15596.2,5007631,0.00653745780995503,321.080199022839,0.0205870788411818,15596.2,6.41181826342314e-05,321.059611943998
27,0.269987719243002,8258,8574,317,16583,5869338.1,0.00635200038518085,353.937049990955,0.0213433667002927,16583,6.03027196526563e-05,353.915706624254
28,0.28000125956482,8575,8892,318,10302.2,1815061.8,0.00624840803932938,176.181961134515,0.0171013920458266,10302.2,9.70666459591155e-05,176.164859742469
29,0.290014799886639,8893,9210,318,19059.8,4110119.5,0.00611701093081824,215.643369815003,0.0113140415856936,19059.8,5.24664477066916e-05,215.632055773418
30,0.299996851087949,9211,9527,317,31989.6,17904235.3,0.0059432542801546,559.689252131943,0.0174959753211026,31989.6,3.12601595518544e-05,559.671756156622
31,0.310010391409768,9528,9845,318,12102.4,787119.6,0.00578846927436653,65.0383064516129,0.00537400073139319,12102.4,8.26282390269699e-05,65.0329324508815
32,0.319992442611078,9846,10162,317,22647.8,10855469,0.00563766946473992,479.316710673884,0.0211639413397277,22647.8,4.41543991027826e-05,479.295546732545
33,0.330005982932897,10163,10480,318,19899,2923483.9,0.00548317414730279,146.916121413136,0.00738309067858366,19899,5.02537815970652e-05,146.908738322458
34,0.339988034134207,10481,10797,317,8506.4,1065736.7,0.00539524346227356,125.286454904542,0.0147284932409177,8506.4,0.000117558544154989,125.271726411302
35,0.350001574456025,10798,11115,318,19357.8,5564322.9,0.00530290600442538,287.4460372563,0.0148491066782537,19357.8,5.16587628759467e-05,287.431188149622
36,0.360015114777844,11116,11433,318,21698.2,5883054.5,0.00518168316806139,271.130992432552,0.0124955522777259,21698.2,4.60867721746504e-05,271.118496880274
37,0.369997165979154,11434,11750,317,12607.2,877693.3,0.00507808291003399,69.6184164604353,0.00552211565299474,12607.2,7.93197537914842e-05,69.6128943447823
38,0.380010706300973,11751,12068,318,21098,6801514.9,0.00495945153921361,322.377234808987,0.0152799902743856,21098,4.73978576168357e-05,322.361954818712
39,0.389992757502283,12069,12385,317,26277.2,6030499.3,0.00483827493473551,229.495505609426,0.00873363621730723,26277.2,3.80558050324997e-05,229.486771973208
40,0.400006297824102,12386,12703,318,16402.8,2073035.4,0.00471059222163516,126.3830199722,0.00770496622358377,16402.8,6.09652010632331e-05,126.375315005976
41,0.409988349025412,12704,13020,317,24878.4,7825141.2,0.00459443447970287,314.535548909898,0.0126429171051956,24878.4,4.01955109653354e-05,314.522905992793
42,0.420001889347231,13021,13338,318,27628.2,40296263.8,0.00447826470399945,1458.51933169732,0.0527909647279708,27628.2,3.61949023099587e-05,1458.4665407326
43,0.430015429669049,13339,13656,318,21175.6,9705242.4,0.00438210239102892,458.321955458169,0.021643871033556,21175.6,4.72241636600616e-05,458.300311587135
44,0.439997480870359,13657,13973,317,24164.4,3635905.2,0.00428823001508914,150.465362268461,0.00622673694643612,24164.4,4.13831918028174e-05,150.459135531515
45,0.450011021192178,13974,14291,318,29759,6374651.7,0.00417723603135505,214.209203938304,0.00719813178998973,29759,3.36032796800968e-05,214.202005806514
46,0.459993072393488,14292,14608,317,26943.4,4376904.3,0.00408212397717366,162.448106029677,0.00602923558384157,26943.4,3.71148407402184e-05,162.442076794093
47,0.470006612715307,14609,14926,318,24039.8,4597690.9,0.00397310391145565,191.253292456676,0.00795569399315618,24039.8,4.15976838409637e-05,191.245336762683
48,0.479988663916617,14927,15243,317,20841.2,4926343.4,0.00387265758854531,236.37522791394,0.0113417283032618,20841.2,4.79818820413412e-05,236.363886185636
49,0.490002204238436,15244,15561,318,27297.8,3215194.7,0.00377331932226645,117.782191238854,0.00431471368530997,27297.8,3.66329887390193e-05,117.777876525169
50,0.499984255439746,15562,15878,317,23710,3078150.2,0.00368191196120829,129.824976803037,0.00547553676942373,23710,4.21762969211303e-05,129.819501266267
51,0.509997795761564,15879,16196,318,36527.2,8467055.7,0.00358929197324916,231.80138910182,0.00634599391964947,36527.2,2.73768588887185e-05,231.7950431079
52,0.520011336083383,16197,16514,318,23654.4,3138111,0.00348452385759224,132.66500101461,0.00560847034862902,23654.4,4.22754329004329e-05,132.659392544262
53,0.529993387284693,16515,16831,317,21232,1864197.4,0.00340173365036764,87.8013093443858,0.00413532918916663,21232,4.70987189148455e-05,87.7971740151967
54,0.540006927606512,16832,17149,318,24300,2514006.2,0.00330952771407412,103.45704526749,0.00425749157479381,24300,4.11522633744856e-05,103.452787775915
55,0.549988978807822,17150,17466,317,36681.2,7969735.7,0.00322594006990049,217.270310131621,0.00592320616914443,36681.2,2.72619216383324e-05,217.264386925451
56,0.560002519129641,17467,17784,318,30265.2,6432968,0.00313517590614251,212.553295534145,0.00702302629865802,30265.2,3.30412486948707e-05,212.546272507846
57,0.569984570330951,17785,18101,317,28684.6,4186850.7,0.00304415856395582,145.961620521116,0.005088501165124,28684.6,3.48619119666999e-05,145.956532019951
