"baseMean.x","log2FoldChange","lfcSE","stat","pvalue","padj","feature_id","empirical_p","empirical_q","lfdr","empirical_bh","lfc_shrunk","resGA_padj","resLA_padj","HBFSS","hc_pass","weak_cnh_pass","strong_cnh_pass","standard_pass","hbfss_pass","plot_class","overlap_standard_hbfss","gene_symbol","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","baseMean.y","dispOutlier","IOD","neglog10_empirical_p","neglog10_padj","dataset_name","hc_p_threshold_dataset","hbfss_threshold_dataset","label_ok"
2.57110400919161,-2.16683708766831,1.79061066109174,-1.2101106816527,0.22623642493384,0.999931476033651,"20",0.116892589686358,0.893917370890228,1,0.906448094757483,-6.43248676746559e-07,1,NA,5.99644791382147e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"-",0,4.56267210073677,0,0,0,0,0,1.8028410870681,10.340475541783,9.00505136232826,5.51881881414372,2.55313297666839,3.19075990601537,11,2.57110400919161,FALSE,8.20377558672396,0.932213019722088,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
14.0765851353681,-0.088874648994078,0.498879561325178,-0.178148506942236,0.858606348235843,0.999931476033651,"25",0.81744798806043,0.983313481194087,1,0.996898583185655,-3.68743813711575e-07,1,0.0773299067554426,3.22797857875071e-08,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"-",27.8363814002395,18.2506884029471,6.62741707138395,7.79256424770318,6.37972615615838,14.4699750195118,8.9914917820119,9.6151524643632,13.7873007223773,27.0151540869848,0.261385894709024,0.209380831872501,0.229339641761246,8,14.0765851353681,FALSE,3.228318992167,0.0875398707373456,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
19.5639616961115,-0.161815918615197,0.408407015845013,-0.396212386999259,0.691948353994749,0.999931476033651,"31",0.607688451459599,0.977682239084544,1,0.996351642766486,-1.00480262023864e-06,1,0.0571744606039463,2.17357915016068e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"Pcmt1",20.8772860501796,31.02617028501,16.5685426784599,20.2606670440283,3.64555780351907,16.8816375227637,16.1846852076214,22.2350400738399,19.8192447884174,28.1407855072758,0.172712412430731,0.139013177263305,0.149896791837164,8,19.5639616961115,FALSE,2.93257509387227,0.21631901692737,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
37.6598093466883,0.258853769981228,0.266963526233875,0.96962223129484,0.332234827441996,0.999931476033651,"89",0.208989848984725,0.937755859751392,1,0.958405073572458,3.79995340107546e-06,1,0.0167754720443528,2.58349258837919e-06,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"Tab2",41.7545721003593,53.8395307886939,32.0325158450224,28.0532312917314,48.3036408966277,45.8215875617872,36.8651163062488,36.6577687703847,31.8831329204975,21.3869969855296,0.0348897067843057,0.0712433259067871,0.0597529938554608,9,37.6598093466883,FALSE,2.25028635649049,0.679874807845803,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
13.8946308428933,-0.382245779804697,0.565625080219541,-0.675793548009457,0.499171731675737,0.999931476033651,"90",0.381230361067017,0.964890516882349,1,0.992362628490925,-1.22523449024261e-06,1,0.181300825895808,5.13143543934018e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"Tab2",2.31969845001996,5.47520652088412,14.3594036546652,21.8191798935689,17.3163995667156,12.0583125162598,26.9744753460357,18.028410870681,2.58511888544574,18.0101027246565,0.486490521237869,0.2130349915543,0.310931278016278,7,13.8946308428933,FALSE,4.32027532554519,0.418812519579341,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
11.1895672358142,0.0333641994810559,1.0442573800412,0.0319501687215652,0.974511790186291,0.999931476033651,"143",0.966978518884346,0.985857339192115,1,0.997269683375796,3.57453109920457e-08,1,0.218494610956342,5.21280072779266e-10,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"Ust",0,17.3381539827997,6.62741707138395,10.9095899467844,21.8733468211144,0,9.89064096021308,18.6293578997037,8.61706295148582,18.0101027246565,1.22145753276398,0.28609149665875,1.22145753276398,10,11.1895672358142,TRUE,13.6675811885543,0.0145831735215639,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
0.596201314631884,-2.65878506949789,3.07996003006636,-0.863253108333552,0.387998319727414,0.999931476033651,"214",0.263343031117617,0.949959992787807,1,0.965295058327268,-3.07004548092572e-07,1,NA,1.77902433694479e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"LOC365036",0,0,0,0,0,0,0,0,2.58511888544574,3.3768942608731,10,10.1990967066768,10,8,0.596201314631884,FALSE,5.96201314631884,0.579478169948268,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
1.89762236980696,-2.45985158526143,2.01143996162103,-1.22293065276431,0.221355889836081,0.999931476033651,"304",0.113065917260594,0.890719398118999,1,0.901246674020694,-5.74268263973494e-07,1,NA,5.4364155525557e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"Sash1",0,0,0,0,2.7341683526393,0,0,1.8028410870681,4.30853147574291,10.1306827826193,4.18147727455474,3.80122482912811,3.890894822793,9,1.89762236980696,FALSE,7.38344905429809,0.946668289649143,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
2.89693875285566,0.990457133219354,1.72582990984082,0.573901939914058,0.566034160260945,0.999931476033651,"576",0.457112619769584,0.970547151322017,1,0.992362628490925,3.39441143967969e-07,1,NA,1.15402110088715e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"-",0,13.6880163022103,5.52284755948663,0,0,0,0,3.0047351451135,0,6.7537885217462,7.06787305044487,2.16348738632295,3.20259025219894,10,2.89693875285566,FALSE,9.2777078111129,0.339976788728962,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
0.637972615615838,2.94070810805299,3.08155464427526,0.954293675601722,0.339935008468603,0.999931476033651,"615",0.216277745822082,0.939726877354483,1,0.958405073572458,3.13800770646508e-07,1,NA,2.08673798821487e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"-",0,0,0,0,6.37972615615838,0,0,0,0,0,10,9.8753429972719,10,9,0.637972615615838,FALSE,6.37972615615838,0.664988165553472,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
0.361749375487794,-1.8975369572414,3.11657107054921,-0.608854062457498,0.542621175449631,0.999931476033651,"672",0.430171922507681,0.968760209678569,1,0.992362628490925,-2.80168403410972e-07,1,NA,1.026419190138e-07,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"-",0,0,0,0,0,3.61749375487794,0,0,0,0,10,11.5530567376554,10,9,0.361749375487794,FALSE,3.61749375487794,0.366357939596909,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
0.876675951857196,-1.01337676438937,3.05462036967439,-0.331752113765088,0.740076445928127,0.999931476033651,"673",0.667301782123803,0.979635391746295,1,0.996351642766486,-1.15796149557416e-07,1,NA,2.03428029951119e-08,FALSE,FALSE,FALSE,FALSE,FALSE,"Background",FALSE,"-",0,2.73760326044206,0,0,0,6.0291562581299,0,0,0,0,10,8.09643915477419,9.98140203158485,4,0.876675951857196,FALSE,8.750455126909,0.175677715302832,2.97606001325331e-05,"RT2_ZT8_remainder_dataset",0.014565731311307,1.83666770557858,TRUE
