"comparison_name","dataset_key","dataset_label","dataset_name","n_features","n_standard","n_hbfss","n_overlap","n_weak_cnh","n_strong_cnh","hc_p_threshold","hbfss_threshold"
"RT2_ZT8","raw_dataset","Raw","RT2_ZT8_raw_dataset",31534,0,4,0,7704,0,0.0136775581992137,1.86399142858533
"RT2_ZT8","leading_edge_dataset","Lead","RT2_ZT8_leading_edge_dataset",7107,0,0,0,4824,0,0.0220541331368955,1.65651000799492
"RT2_ZT8","remainder_dataset","Rem","RT2_ZT8_remainder_dataset",24427,0,15,0,3633,0,0.014565731311307,1.83666770557858
