"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.005,155,1,15663,0.325359261966646,0.350743330140636,1.10832996137548,0.0984625906458628,1,15663,1,15663,7832,7832,0.404490449984058,0.519728176722514,15663,0.539075069448305,0.16200084265716,0,1
0.01,310,1,15818,0.336228299960402,0.373414173819222,1.10210388092563,0.0897816987782799,1,15818,1,15818,7909.5,7909.5,0.404662352088602,0.520870294185008,15818,0.57301012160684,0.207306262973453,0,1
0.015,465,1,15973,0.346992371881558,0.37315649871637,1.09574711680954,0.0895484668187316,1,15973,1,15973,7987,7987,0.404593489996131,0.522881506518139,15973,0.606617451187664,0.206791324976207,0,1
0.02,620,1,16128,0.34562894507735,0.393065023498752,1.0940953293487,0.0806514898126791,1,16128,1,16128,8064.5,8064.5,0.40562538097231,0.523715877632437,16128,0.602360592416746,0.246576526441609,0,1
0.025,775,1,16283,0.345246943490894,0.423281417438458,1.09198695719721,0.0669703388501922,1,16283,1,16283,8142,8142,0.406006318455818,0.524430200900733,16283,0.601167916140478,0.306960976499554,0,1
0.03,930,1,16438,0.339270014935861,0.430250806908004,1.09240641114849,0.0620270477979641,1,16438,1,16438,8219.5,8219.5,0.407436495399767,0.526569934629784,16438,0.582506891827247,0.320888606354987,0,1
0.035,1086,1,16594,0.338900247871637,0.466920171971172,1.09074184805701,0.0442030732109466,1,16594,1,16594,8297.5,8297.5,0.408266060611088,0.5265829347954,16594,0.581352413885581,0.39416867570184,0,1
0.04,1241,1,16749,0.342570025009445,0.47701311270906,1.08742868943015,0.0364769258578422,1,16749,1,16749,8375,8375,0.409159700971389,0.528024934328172,16749,0.592810104865523,0.414338411281173,0,1
0.045,1396,1,16904,0.350846153551468,0.432422453701412,1.08193524532579,0.0513074866418418,1,16904,1,16904,8452.5,8452.5,0.40894559540489,0.532497392041859,16904,0.618649636745496,0.325228425911276,0,1
0.05,1551,1,17059,0.356588224074257,0.452010292003227,1.07736008561669,0.0406060982986089,1,17059,1,17059,8530,8530,0.409290779622032,0.533411925837238,17059,0.636577392891052,0.364372767424668,0,1
0.055,1706,1,17214,0.366527974458156,0.474366487374922,1.07092328377281,0.0282051302621504,1,17214,1,17214,8607.5,8607.5,0.409878870589737,0.533966985815322,17214,0.66761104535544,0.409049394476909,0,1
0.06,1861,1,17369,0.364043695985213,0.493906826902014,1.06941132060288,0.0164130706371149,1,17369,1,17369,8685,8685,0.41074979677447,0.534365637540943,17369,0.65985469013761,0.448098814425678,0,1
0.065,2016,1,17524,0.360127268190812,0.473538106699127,1.0686322925049,0.0210366203464282,1,17524,1,17524,8762.5,8762.5,0.41109746123614,0.538622803039358,17524,0.647626912338462,0.407393958303873,0,1
0.07,2171,1,17679,0.356371857971115,0.482623161621248,1.06797211908865,0.0137742900739534,1,17679,1,17679,8840,8840,0.411697178384139,0.539579680099849,17679,0.635901859785023,0.425549534588493,0,1
0.075,2326,1,17834,0.362355231686831,0.496934348144555,1.06341379692524,0.00423608273549175,1,17834,1,17834,8917.5,8917.5,0.412186148792452,0.540487314342566,17834,0.654583007025791,0.454149013719292,0,1
0.08,2481,1,17989,0.360406298083637,0.507134942535928,1.06192312690052,-0.00427238150991471,1,17989,1,17989,8995,8995,0.412875766219792,0.541550198625169,17989,0.64849809283965,0.474533884389709,0,1
0.085,2636,1,18144,0.357917541892237,0.48573130515046,1.06101818528338,0.000963708263436974,1,18144,1,18144,9072.5,9072.5,0.413066884781496,0.546022716126011,18144,0.64072775739565,0.431760849482229,0,1
0.09,2791,1,18299,0.356101052658493,0.498830313209748,1.05982104075643,-0.00780959688587124,1,18299,1,18299,9150,9150,0.414140872603766,0.54679920278905,18299,0.635056357872718,0.457937910833197,0,1
0.095,2947,1,18455,0.361123525284624,0.512728468897626,1.05586410467318,-0.0173279963038066,1,18455,1,18455,9228,9228,0.414439251907101,0.547603327045058,18455,0.650737402564114,0.485711989027532,0,1
