"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","WTTS_DE_PAS","Apeglm_LFC","Std","Strong","Weak","HBFSS","Ovlp","Support","Std_BH","Strong_BH","Weak_BH","EmpP","HBFSS_score"
"RT0_ZT6","Original (No EVS)","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,"282293",1.27665171064911,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.549499567054196,1,0.919249404373508,0.00124984990467092,3.70630137747776
"RT0_ZT6","NormEVS Lead","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,"282293",1.12497163507176,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.763498150926664,1,0.902799917265403,0.0245642666662671,1.81086256228456
"RT0_ZT6","NormEVS Rem","ARL17B","Arf2","babelgene","ANX(1), DEP(1), MDD(1), PD(1), PTSD(1), SCZ(1)",6,1,FALSE,1,FALSE,"95337",-1.72507349083944,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0381818902044991,1,0.97877446494871,6.35526262309227e-05,7.23990314042243
"RT0_ZT6","NormEVS Rem","BORCS7","Borcs7","babelgene","ANX(3), BIP(2), SCZ(3)",8,2,TRUE,3,TRUE,"61237",1.06734282904586,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.299226951842804,1,0.889294529058836,0.00341586965555374,2.63259971063935
"RT0_ZT6","NormEVS Rem","CGREF1","Cgref1","babelgene","MDD(1), PTSD(3), SCZ(3)",7,2,TRUE,1,FALSE,"454366",-0.822172217397393,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.34669732019561,1,0.805470141949469,0.00472051749389357,1.9123811188554
"RT0_ZT6","NormEVS Rem","CPEB1","Cpeb1","babelgene","SCZ(1)",1,1,FALSE,2,TRUE,"17141",0.747194465364432,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.346998420202815,1,0.759564137882741,0.0047797631848181,1.73393470932852
"RT0_ZT6","NormEVS Rem","NECTIN2","Nectin2","babelgene","AD(4)",4,1,FALSE,2,TRUE,"8292",-0.738704069387046,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.368118631422884,1,0.770789914555627,0.00557986434828162,1.66457828628262
"RT0_ZT6","RawEVS Lead","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,"282293",1.36824172467546,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.683783591696401,1,0.931644194233599,0.0149743276108369,2.49656591550089
"RT0_ZT6","RawEVS Rem","ARL17B","Arf2","babelgene","ANX(1), DEP(1), MDD(1), PD(1), PTSD(1), SCZ(1)",6,1,FALSE,1,FALSE,"95337",-1.772049998995,TRUE,FALSE,FALSE,TRUE,TRUE,"Std+HBFSS",0.0448159975719785,1,0.986719383388965,4.47927845597107e-05,7.70627675050004
"RT0_ZT6","RawEVS Rem","BORCS7","Borcs7","babelgene","ANX(3), BIP(2), SCZ(3)",8,2,TRUE,3,TRUE,"61237",0.880645066325801,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS",0.403561613141524,1,0.91082741158964,0.00424683772122814,2.08883226871921
