"Comparison","Analysis","PAS_tested","Std","Strong","Weak","HBFSS","Ovlp"
"RT0_ZT6","Original (No EVS)",31553,9,3,0,61,9
"RT0_ZT6","NormEVS Lead",6722,3,1,0,15,3
"RT0_ZT6","NormEVS Rem",24831,48,2,1,191,49
"RT0_ZT6","RawEVS Lead",6629,3,0,0,16,3
"RT0_ZT6","RawEVS Rem",24924,41,3,0,160,41
"RT2_ZT8","Original (No EVS)",31534,0,0,1,8,1
"RT2_ZT8","NormEVS Lead",7107,0,0,1,3,1
"RT2_ZT8","NormEVS Rem",24427,0,0,2,21,2
"RT2_ZT8","RawEVS Lead",6717,0,0,1,6,1
"RT2_ZT8","RawEVS Rem",24817,0,0,0,10,0
"RT4_ZT10","Original (No EVS)",31658,743,39,16,1100,759
"RT4_ZT10","NormEVS Lead",7093,286,13,4,343,279
"RT4_ZT10","NormEVS Rem",24565,686,55,29,1062,715
"RT4_ZT10","RawEVS Lead",6741,295,15,9,337,287
"RT4_ZT10","RawEVS Rem",24917,639,43,1,1092,640
"RT8_ZT14","Original (No EVS)",31580,4,0,6,76,10
"RT8_ZT14","NormEVS Lead",6787,1,0,0,12,1
"RT8_ZT14","NormEVS Rem",24793,28,0,11,138,39
"RT8_ZT14","RawEVS Lead",6556,4,0,0,6,4
"RT8_ZT14","RawEVS Rem",25024,17,0,0,88,17
