"crossing_id","rank_left","rank_right","crossing_rank","regime_difference_left","regime_difference_right"
"crossing_1",920,1073,956,0.0261078203558749,-0.0847010687738673
"crossing_2",1073,1226,1116,-0.0847010687738673,0.217770762152273
"crossing_3",1380,1533,1440,0.0695211288350634,-0.107296388448755
"crossing_4",1840,1993,1878,-0.0692111172616942,0.210785880509743
"crossing_5",1993,2146,2099,0.210785880509743,-0.0922063069445215
"crossing_6",2146,2300,2189,-0.0922063069445215,0.235497810438629
"crossing_7",2300,2453,2439,0.235497810438629,-0.0245387617729547
"crossing_8",2453,2606,2595,-0.0245387617729547,0.00186548394224567
"crossing_9",2913,3066,3027,0.227197520973142,-0.076564279945432
"crossing_10",3066,3219,3184,-0.076564279945432,0.0225265096386194
"crossing_11",3219,3372,3245,0.0225265096386194,-0.108098622051648
"crossing_12",3372,3526,3439,-0.108098622051648,0.138891098896992
"crossing_13",3526,3679,3595,0.138891098896992,-0.170793101357707
"crossing_14",3679,3832,3779,-0.170793101357707,0.09052138269219
"crossing_15",4292,4446,4377,0.528040941936091,-0.423409220539054
"crossing_16",4599,4752,4692,-0.260382871823372,0.168836326045896
"crossing_17",5059,5212,5196,0.47242498990649,-0.053935827771055
"crossing_18",5212,5366,5225,-0.053935827771055,0.57236443340336
"crossing_19",6746,6898,6874,0.454538144767938,-0.0867869910980709
"crossing_20",6898,7052,6927,-0.0867869910980709,0.380350949061005
"crossing_21",7205,7358,7322,0.465934307848345,-0.143319715661297
"crossing_22",7972,8125,8059,-0.353728935733499,0.268381248309273
"crossing_23",9198,9351,9321,0.217338083142118,-0.0533401204990764
"crossing_24",9811,9964,9876,-0.135590793567408,0.183242022368336
"crossing_25",10118,10271,10128,0.045351203221561,-0.667756138416097
"crossing_26",10424,10578,10560,-0.372270748311993,0.0487887033011863
"crossing_27",10578,10731,10685,0.0487887033011863,-0.021014459820722
"crossing_28",10731,10884,10799,-0.021014459820722,0.0263120903093194
"crossing_29",11038,11191,11171,0.428461641592115,-0.0652751583086648
"crossing_30",11191,11344,11210,-0.0652751583086648,0.471019926612755
"crossing_31",11344,11498,11468,0.471019926612755,-0.113558550252896
"crossing_32",11650,11804,11736,-0.2143357228126,0.168839395414792
"crossing_33",11804,11958,11926,0.168839395414792,-0.0444843700688373
"crossing_34",12264,12418,12341,-0.0271044897797301,0.0269270171476199
"crossing_35",12418,12570,12454,0.0269270171476199,-0.0876845353925358
"crossing_36",12724,12878,12824,-0.330655979360623,0.179069274425712
"crossing_37",12878,13030,12925,0.179069274425712,-0.400661634469558
"crossing_38",13030,13184,13168,-0.400661634469558,0.0478082351550095
"crossing_39",13184,13337,13242,0.0478082351550095,-0.0777538788874164
"crossing_40",13644,13797,13710,-0.125240866368173,0.16384031843217
"crossing_41",13797,13950,13832,0.16384031843217,-0.545422184706857
"crossing_42",13950,14104,14040,-0.545422184706857,0.38909515853235
"crossing_43",14104,14257,14195,0.38909515853235,-0.263413003337492
"crossing_44",14410,14564,14476,-0.13562364541263,0.179306899085432
"crossing_45",14717,14870,14790,0.306287556106299,-0.334064624564927
"crossing_46",14870,15024,14927,-0.334064624564927,0.565709907030834
"crossing_47",15024,15177,15142,0.565709907030834,-0.170837638175706
"crossing_48",15177,15330,15315,-0.170837638175706,0.0184361242726968
"crossing_49",15330,15483,15352,0.0184361242726968,-0.10990048604985
"crossing_50",15483,15636,15591,-0.10990048604985,0.0455603880575212
"crossing_51",15790,15943,15822,0.133910435491319,-0.503180281642347
"crossing_52",15943,16096,16067,-0.503180281642347,0.117927396449551
"crossing_53",16403,16556,16426,0.182321773049102,-1.03544416480242
"crossing_54",16556,16710,16661,-1.03544416480242,0.478882584622006
"crossing_55",16710,16863,16823,0.478882584622006,-0.171506317410367
"crossing_56",17170,17323,17266,-0.415911703675939,0.248083109498492
"crossing_57",17476,17630,17513,0.139261647017955,-0.435837314099689
"crossing_58",17630,17782,17716,-0.435837314099689,0.337736031527054
"crossing_59",17782,17936,17833,0.337736031527054,-0.688836423567586
"crossing_60",18090,18242,18211,-0.362836528090136,0.0912964250370151
"crossing_61",18856,19010,19001,0.447235123807446,-0.0282950203286571
"crossing_62",19010,19162,19059,-0.0282950203286571,0.0596475066874329
"crossing_63",19162,19316,19215,0.0596475066874329,-0.113602547274155
"crossing_64",19316,19469,19399,-0.113602547274155,0.0957226997887527
"crossing_65",19469,19622,19517,0.0957226997887527,-0.212470540192265
"crossing_66",19776,19929,19880,-0.13865293939548,0.064434085283554
"crossing_67",20082,20236,20103,0.0738131985936635,-0.479414202005395
"crossing_68",20236,20389,20336,-0.479414202005395,0.251555918521792
"crossing_69",20389,20542,20508,0.251555918521792,-0.0719991655722424
"crossing_70",20542,20696,20602,-0.0719991655722424,0.11357470328751
"crossing_71",20696,20849,20722,0.11357470328751,-0.554602753510053
"crossing_72",20849,21002,20967,-0.554602753510053,0.163079743781471
"crossing_73",21309,21462,21330,0.132465458339003,-0.810218511067405
"crossing_74",22688,22842,22835,-0.211388933295258,0.0105790244250453
"crossing_75",22842,22995,22865,0.0105790244250453,-0.0613579447178674
"crossing_76",22995,23148,23014,-0.0613579447178674,0.431212565253322
"crossing_77",23148,23302,23214,0.431212565253322,-0.577443934537675
"crossing_78",23608,23762,23757,-0.836275478780172,0.0298041399974817
"crossing_79",23762,23914,23767,0.0298041399974817,-0.80104595552407
"crossing_80",24068,24222,24139,-0.238084190079979,0.275757356929874
"crossing_81",24222,24374,24304,0.275757356929874,-0.235490396762071
"crossing_82",24528,24682,24618,-0.493035525307918,0.35020005778233
"crossing_83",24988,25142,25078,0.553586187748364,-0.394377272373132
"crossing_84",26368,26521,26507,-0.0989811965557018,0.0100709955032738
"crossing_85",26981,27134,27095,0.378187044367241,-0.128218611894224
"crossing_86",27134,27288,27196,-0.128218611894224,0.191251771712428
"crossing_87",27288,27441,27341,0.191251771712428,-0.360194702751079
"crossing_88",27441,27594,27558,-0.360194702751079,0.112326491598666
"crossing_89",27747,27900,27777,0.0498767593105979,-0.207904595795795
"crossing_90",27900,28054,27964,-0.207904595795795,0.289088504816678
"crossing_91",28207,28360,28250,0.0599832187595802,-0.152269797217681
"crossing_92",28360,28514,28407,-0.152269797217681,0.348807927159529
"crossing_93",28514,28667,28627,0.348807927159529,-0.123629373059054
"crossing_94",28667,28820,28771,-0.123629373059054,0.0582795528819986
"crossing_95",29587,29740,29702,0.0337238973312581,-0.0111711671482213
"crossing_96",29894,30046,29999,-0.579852045822168,0.255851868500138
