"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","log_var_ctrl","log_var_trt","log_nb1_ctrl","log_nb1_trt","log_nb2_ctrl","log_nb2_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"20",0.00223088047484163,0.000516056926116696,22849,27857,4.6,1,27.8,5,4.6,1,23.2,4,5.04347826086957,4,3.3603753871419,1.79175946922805,1.7227665977411,0.693147180559945,3.18635263316264,1.6094379124341,1.61809597517722,1.38629436111989,"-"
"25",0.000383078835144092,0.00784673939615448,29474,5249,15.6,14.8,28.8,177.7,15.6,14.8,13.2,162.9,0.846153846153846,11.0067567567568,3.39450839351136,5.18570842216538,2.8094026953625,2.76000994003292,2.65324196460721,5.09925648574978,-0.167054084663166,2.39850933483793,"-"
"31",0.00294119439163528,0.00335956465743746,19666,17148,23.4,18.6,76.3,141.3,23.4,18.6,52.9,122.7,2.26068376068376,6.59677419354839,4.34769395559338,4.95793750509581,3.19458313229916,2.97552956623647,3.98713047791495,4.81785927939844,0.815667316500598,1.88658077099771,"Pcmt1"
"35",0.000788201657416737,0.00137778902515023,28391,24607,120,91.2,298,806.7,120,91.2,178,715.5,1.48333333333333,7.84539473684211,5.70044357339069,6.69419070244825,4.79579054559674,4.52396013056255,5.18738580584075,6.57437824726823,0.394291807510039,2.05992670191622,"Pcmt1"
"37",0.00231441549284667,0.00570628390497398,22423,10246,103.4,90.2,536.8,2854.2,103.4,90.2,433.4,2764,4.19148936170213,30.6430155210643,6.28748674383476,7.95689717217595,4.64822967544854,4.51305489708029,6.07396576861973,7.92479591395644,1.43305612702793,3.42240475781898,"Pcmt1"
"38",0.00480012170467825,0.0084164560624437,11958,4255,30,30.2,196.5,669.7,30,30.2,166.5,639.5,5.55,21.1754966887417,5.28573858434118,6.50832194310569,3.43398720448515,3.44041809481544,5.12098335126512,6.46224912133679,1.71379792775834,3.05284469663807,"Pcmt1"
"89",0.00376421306049101,0.00377760122754808,15826,15451,39.2,42.6,223.2,324.3,39.2,42.6,184,281.7,4.69387755102041,6.61267605633803,5.41253851063806,5.78474783347931,3.69386699562498,3.77505715035499,5.22035582507833,5.64438626469954,1.54625901081257,1.888988421607,"Tab2"
"90",0.00253698941924111,0.00589663602708072,21443,9853,17.8,11,145.2,41.5,17.8,11,127.4,30.5,7.15730337078652,2.77272727272727,4.98497554731568,3.74950407593037,2.9338568698359,2.484906649788,4.85515039125586,3.44998754583159,1.96813328584002,1.019831410815,"Tab2"
"143",0.0095426258102212,0.00884936755088793,2876,3729,13.6,11.2,128.3,98.7,13.6,11.2,114.7,87.5,8.43382352941177,7.8125,4.86213528577781,4.60216567696779,2.68102152871429,2.50143595173921,4.75100063419963,4.48300255201388,2.13225023139332,2.05572501506252,"Ust"
"214",0.00255006652452281,0,21336,30534,1.2,0,2.7,0,1.2,0,1.5,0,1.25,NA,1.30833281965018,0,0.78845736036427,0,0.916290731874155,0,0.22314355131421,NA,"LOC365036"
"224",0.00506767251356033,0.00447287588639806,11148,13268,47.4,43.2,780.8,442.7,47.4,43.2,733.4,399.5,15.4725738396624,9.24768518518519,6.66159895335885,6.09514865838486,3.87949981372259,3.78872478908365,6.59905383930628,5.99271376650841,2.73906902693619,2.22437326995626,"Sash1"
"304",0.00130528825887263,0.000454908484278181,26601,28330,3.4,0.6,14.3,1.8,3.4,0.6,10.9,1.2,3.20588235294118,2,2.72785282839839,1.02961941718116,1.48160454092422,0.470003629245736,2.47653840011748,0.78845736036427,1.16498735761298,0.693147180559946,"Sash1"
