"preprocessing","group","cutoff_mode","fixed_top_n_requested","empiric_rank_selected","cutoff_quantile","curvature_strength","selected_reason","comparison_name"
"normalized","regime_shift_crossing","first_left_crossing",5000,5101,0.83833549900168,NA,"first_composite_crossing_inside_group_bracket","RT0_ZT6"
"raw","regime_shift_crossing","crossing_rank_projected_to_raw_selected",5000,5101,0.83833549900168,NA,"first_composite_crossing_inside_group_bracket_projected_to_raw","RT0_ZT6"
