"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.01,299,1,2094,0.45355150911132,0.102624944468082,1.37573343786432,0.526477883436711,1,2094,1,1615,1047.5,808,0.27610096692739,0.265791172674758,2094,0.949904865695655,0.0209933793752909,239.5,0.00415800415800416
0.02,598,1,2393,0.476615103400862,0.109140016649785,1.33035899370138,0.52956896334685,1,2393,1,1740,1197,870.5,0.274137491508743,0.274079311705241,2393,1,0.0275042102808012,326.5,0.00305343511450382
0.03,897,1,2692,0.435292868303887,0.136339112719033,1.32577231976743,0.513193520292106,1,2692,1,2692,1346.5,1346.5,0.278365527792926,0.281633751371985,2692,0.910246300253497,0.0546855998879539,0,1
0.04,1196,1,2991,0.456322064127344,0.119029442112578,1.29169843214111,0.489430039883055,1,2991,1,2991,1496,1496,0.281889366603538,0.289585978910739,2991,0.955922632219073,0.0373871977819559,0,1
0.05,1496,1,3291,0.46560215446395,0.183954682066585,1.26470837399874,0.455769859786421,1,3291,1,3291,1646,1646,0.29265457932394,0.293066291389059,3291,0.976079393820604,0.102270171761486,0,1
0.06,1795,1,3590,0.409744849815043,0.207293708673923,1.27102043314798,0.434388944968859,1,3590,1,3590,1795.5,1795.5,0.298636693865958,0.302560242991864,3590,0.854754888058959,0.12559400479074,0,1
0.07,2094,299,3889,0.19200968018541,0.103038234925028,1.1404102197521,0.427115124797277,299,3889,812,3221,2094,2016.5,0.29804188422966,0.320206689170828,3591,0.381824588104716,0.0214064007824201,77.5,0.0127388535031847
0.08,2393,598,4188,0.148979939498263,0.154972868655649,1.09189092297736,0.397652687444703,598,3309,598,4188,1953.5,2393,0.307863901530882,0.334260246148812,3591,0.288362111625877,0.0733072253518393,439.5,0.00227014755959137
0.09,2692,897,4487,0.130140696910482,0.0911242592887344,1.06644193268567,0.402296665150574,897,4487,1117,3659,2692,2388,0.313968197945011,0.352928159283089,3591,0.247442453753859,0.00950018107880442,304,0.00327868852459016
0.1,2991,1196,4786,0.0916733147791553,0.144494903781385,1.03396593980931,0.356570324972162,1196,3718,1196,4786,2457,2991,0.324088272745064,0.364179027445874,3591,0.163889619359821,0.0628360815751367,534,0.00186915887850467
0.11,3290,1495,5085,0.0659841096578382,0.0930074736038734,1.00767847847079,0.347955723041041,1519,3987,2072,5085,2753,3578.5,0.33127336465795,0.378823503740637,3591,0.10809154363197,0.0113821694317717,825.5,0.00120992135511192
0.12,3589,1794,5384,0.0570093346551601,0.13346341441433,1.00098442926547,0.395536020271838,1794,3884,5384,4535,2839,4959.5,0.330436627512741,0.40390061785131,3591,0.088597940273091,0.0518117736470466,2120.5,0.000471364600518501
0.13,3888,2093,5683,0.0256529306244651,0.0847318530050896,0.968065776528971,0.374253131411869,2093,3678,2093,4361,2885.5,3227,0.337736419451529,0.419097568743963,3591,0.0204904609487916,0.00311193621652709,341.5,0.00291970802919708
0.14,4188,2393,5983,0.0497711996903475,0.139743327194932,0.960717240973387,0.32218993994474,2393,5983,2393,5983,4188,4188,0.346754064589121,0.429862113218245,3591,0.0728763949396437,0.0580875982389338,0,1
0.15,4487,2692,6282,0.0271159843001851,0.0885625690349782,0.955047244942469,0.27996532458574,4893,2692,2692,6282,3792.5,4487,0.349587436400479,0.44210475269686,3591,0.0236682774443279,0.00694015847132814,694.5,0.00143781452192667
0.16,4786,2991,6581,0.0205188958998588,0.284892864659564,0.956406760148407,0.433259944168658,4835,6581,6581,2991,5708,4786,0.349748746071868,0.457592204230609,3591,0.0093391132523508,0.203142644152205,922,0.00108342361863489
0.17,5085,3290,6880,0.0544438600496574,0.155461576417295,0.940730227196016,0.412703674057717,3290,6880,6852,4155,5085,5503.5,0.341767898222097,0.482900077560201,3591,0.0830256173600347,0.0737956149674177,418.5,0.00238379022646007
0.18,5384,3589,7179,0.0277219748371721,0.170050086802561,0.945455621168644,0.393173467996202,4846,3589,3589,4213,4217.5,3901,0.345152685876,0.492608903345743,3591,0.0249845153626861,0.0883746283125795,316.5,0.0031496062992126
0.19,5683,3888,7478,0.0500497128907422,0.218415735208739,0.932125474177294,0.305499736371921,5012,7478,6623,7478,6245,7050.5,0.349006585898427,0.4989038568196,3591,0.0734813377774402,0.136708790947392,805.5,0.00123992560446373
0.2,5982,4187,7777,0.046547459294651,0.137938410192267,0.943449677507485,0.359986902879322,4947,4187,6605,7596,4567,7100.5,0.341953821222899,0.509574373615611,3591,0.0658742899746778,0.0562838562273202,2533.5,0.000394555139080687
0.21,6281,4486,8076,0.0371223945195105,0.223185874866417,0.948759433499345,0.300605403706883,4859,7281,6633,4486,6070,5559.5,0.341335172356396,0.515341208241472,3591,0.0454026375596022,0.141475825270362,510.5,0.00195503421309873
0.22,6580,4785,8375,0.0549311121880797,0.148543545070601,0.939677211161861,0.340672886625288,4785,8375,6583,8375,6580,7479,0.341624380669771,0.524164310639835,3591,0.0840839502897557,0.0668820872211192,899,0.00111111111111111
0.23,6880,5085,8675,0.0472224853160952,0.328599541437812,0.907061838732171,0.285215747800824,5085,8675,5085,8675,6880,6880,0.3445015734905,0.527915565165412,3591,0.0673404759810154,0.246820868124018,0,1
0.24,7179,5384,8974,0.0376825173514991,0.227488821286334,0.917417226055558,0.251382565908585,5994,8596,6411,5384,7295,5897.5,0.347250422904297,0.534934615052273,3591,0.0466192488190242,0.145775970495803,1397.5,0.000715051841258491
0.25,7478,5683,9273,0.0354228852600093,0.219169841472561,0.910927584398328,0.289127587040689,6149,8733,6475,5683,7441,6079,0.341386562175885,0.544680514422451,3591,0.041711229206794,0.13746240629218,1362,0.000733675715333822
0.26,7777,5982,9572,0.0559120459864335,0.142765251708643,0.918072219489431,0.342581227346312,5982,9572,6576,8724,7777,7650,0.337293641919473,0.556362805804286,3591,0.0862145813507818,0.0611075554963902,127,0.0078125
0.27,8076,6281,9871,0.0560917357589724,0.404140010468715,0.896645092846955,0.36080889542511,6281,9871,6281,9871,8076,8076,0.345928817914458,0.555992499591782,3591,0.0866048753862841,0.322312160724642,0,1
0.28,8375,6580,10170,0.0409754778208579,0.205796109116134,0.898309940549347,0.272096581198309,7224,9628,6580,10170,8426,8375,0.34616307739113,0.56972404826836,3591,0.0537717028077866,0.124097380162035,51,0.0192307692307692
0.29,8674,6879,10469,0.0513185612435779,0.121072221566277,0.911675106540396,0.20371478828053,6879,10469,7381,10103,8674,8742,0.354592261601533,0.567728895308604,3591,0.0762373318280282,0.039428647397454,68,0.0144927536231884
0.3,8973,7178,10768,0.0348267224722847,0.451658702298154,0.887471908431217,0.483312557307323,7792,10188,10768,9933,8990,10350.5,0.342916996449187,0.570792961454247,3591,0.040416337589148,0.369799918146793,1360.5,0.000734484024972457
0.31,9272,7477,11067,0.0467404751038827,0.375089556222187,0.893522512144497,0.302101859927273,7477,11067,7477,11067,9272,9272,0.347116991979275,0.595693474981572,3591,0.0662935287440099,0.293280618164209,0,1
0.32,9572,7777,11367,0.0484073236843651,0.439591731986516,0.893665585626291,0.0530581268890974,7777,10303,7777,11367,9040,9572,0.35583137814412,0.6036904587293,3591,0.0699139966752436,0.357740803366525,532,0.00187617260787992
0.33,9871,8076,11666,0.0162192064775746,0.226613142052226,0.869869092275523,0.129950107681213,8919,10108,8834,8076,9513.5,8455,0.353394126554532,0.630169267187958,3591,0,0.144900861324065,1058.5,0.000943841434638981
