"comparison","control_cutoff_mode","control_cutoff_rank","control_cutoff_fraction","treatment_cutoff_mode","treatment_cutoff_rank","treatment_cutoff_fraction","cutoff_range_rank_min","cutoff_range_rank_max","cutoff_range_fraction_min","cutoff_range_fraction_max"
"RT0_ZT6","minimum distance to empirical alpha*mu = 1, then reopening",637,0.0200585697641465,"minimum distance to empirical alpha*mu = 1, then reopening",722,0.0227351450073999,637,722,0.0200585697641465,0.0227351450073999
"RT2_ZT8","minimum distance to empirical alpha*mu = 1, then reopening",655,0.020625373933306,"minimum distance to empirical alpha*mu = 1, then reopening",646,0.0203419718487263,646,655,0.0203419718487263,0.020625373933306
"RT4_ZT10","minimum distance to empirical alpha*mu = 1, then reopening",635,0.0199955915231288,"minimum distance to empirical alpha*mu = 1, then reopening",635,0.0199955915231288,635,635,0.0199955915231288,0.0199955915231288
"RT8_ZT14","minimum distance to empirical alpha*mu = 1, then reopening",656,0.0206568630538149,"minimum distance to empirical alpha*mu = 1, then reopening",635,0.0199955915231288,635,656,0.0199955915231288,0.0206568630538149
