"index","rank","d1","d2","left_d1","right_d1","left_d2","right_d2","before_terminal_start","inside_terminal_block"
27,27,0.00307634930373398,4.68113372611825e-09,0.00307634754327508,0.00307635690554254,-1.16021593750889e-09,1.05224833897454e-08,TRUE,FALSE
688,688,0.0043861800220991,-4.97713670960445e-09,0.00438616698283487,0.00438615702856146,3.10556651665059e-08,-4.1009938585715e-08,TRUE,FALSE
2457,2457,-0.000214153752955512,1.780052230805e-09,-0.000214154199347101,-0.000214150639242639,-8.87269054715513e-10,4.44737351632433e-09,TRUE,FALSE
3153,3153,2.65395531720906e-05,-5.56768084800402e-10,2.65390700307404e-05,2.65379564945708e-05,1.52305078527548e-09,-2.63658695487719e-09,TRUE,FALSE
3797,3797,-0.000189624255145331,2.56179405049588e-09,-0.000189624200133605,-0.000189619076545504,-2.67181750295535e-09,7.79540560394942e-09,TRUE,FALSE
3954,3954,-0.000166006127341645,-1.47558111279778e-09,-0.000166006163526701,-0.000166009114688927,1.5479512243037e-09,-4.49911344989788e-09,TRUE,FALSE
4546,4546,-0.000282447900417634,1.9287904056681e-09,-0.000282448826027847,-0.000282444968447035,-7.75699812636697e-11,3.93515079260166e-09,TRUE,FALSE
5702,5702,0.000299899888166638,-1.26136390465419e-09,0.000299899915080063,0.000299897392352254,1.20753705450356e-09,-3.73026486380976e-09,TRUE,FALSE
7035,7035,-0.00088031040613048,2.01605422979101e-09,-0.000880306471428377,-0.000880302439319917,-9.88545843638774e-09,1.39175668959699e-08,TRUE,FALSE
7824,7824,0.000894294961200796,-1.21790974184238e-08,0.000894293893818084,0.000894269535623247,1.43138628420195e-08,-3.86720576788437e-08,TRUE,FALSE
8563,8563,-0.000311700568423263,1.60261097483497e-09,-0.00031169691890197,-0.00031169371368002,-8.90165356092143e-09,1.21068755105914e-08,TRUE,FALSE
9122,9122,0.00038818892037398,-5.28768173973827e-09,0.000388191363652731,0.000388180788289251,4.01124239103851e-10,-1.09764877185804e-08,TRUE,FALSE
9620,9620,0.000145898192497109,1.83668003578905e-09,0.000145898049225449,0.000145901722585521,-1.55013671692658e-09,5.22349678851066e-09,TRUE,FALSE
9756,9756,0.000167271040422114,-1.1117820030948e-09,0.000167268577935898,0.000167266354371892,6.03675443528527e-09,-8.26031844147492e-09,TRUE,FALSE
10284,10284,-0.00024744262476188,5.1119241627932e-09,-0.000247444045212984,-0.000247433821364659,-2.27102195378123e-09,1.24948702793676e-08,TRUE,FALSE
10662,10662,-2.84327962797979e-05,-3.57433948781215e-09,-2.84317100684861e-05,-2.84388587474617e-05,1.40191686428665e-09,-8.55059583990218e-09,TRUE,FALSE
11565,11565,-0.000602806106869377,2.5160332975037e-09,-0.000602796427974939,-0.000602791395908344,-2.18738221740787e-08,2.69058887690861e-08,TRUE,FALSE
12133,12133,0.000535710944054723,-3.54645693015424e-09,0.000535712300730915,0.000535705207817055,8.33104545652116e-10,-7.92601840596061e-09,TRUE,FALSE
12473,12473,0.000326746123119559,4.69578026608235e-09,0.000326746028933274,0.000326755420493806,-4.50740769610148e-09,1.38989682282661e-08,TRUE,FALSE
12971,12971,0.00060819583998812,-2.1932160023722e-09,0.000608190015783264,0.000608185629351259,1.38416257133375e-08,-1.82280577180818e-08,TRUE,FALSE
13487,13487,-7.08889882153226e-05,7.39314739148225e-09,-7.08909445908727e-05,-7.08761582960897e-05,-3.4803962913558e-09,1.82666910743202e-08,TRUE,FALSE
14136,14136,0.000253372210461369,-3.06386856753603e-09,0.000253373359790614,0.000253367232053479,7.65210076538518e-10,-6.89294721161732e-09,TRUE,FALSE
14732,14732,-0.000275756711720723,4.24233249910952e-09,-0.000275756884608578,-0.00027574839994358,-3.89655678988819e-09,1.23812217881071e-08,TRUE,FALSE
15374,15374,0.000328451437054401,-9.75522982354469e-09,0.000328455720122948,0.0003284362096633,1.18909273029794e-09,-2.06995523773874e-08,TRUE,FALSE
15848,15848,-2.87231535865106e-05,6.1659699123469e-10,-2.87198346730144e-05,-2.87186014790319e-05,-7.254423983694e-09,8.48761796617727e-09,TRUE,FALSE
