"index","rank","d1_here","d2_here","d1_left","d1_right","role"
28103,28103,6.64284717699879e-05,-1.5244927176399e-09,6.6427080041928e-05,6.64240310564927e-05,"cutoff_center"
28646,28646,-0.000255085362389424,1.598859911284e-09,-0.000255084066370814,-0.000255080868650992,"terminal_start"
