"preprocessing","group","cutoff_mode","fixed_top_n_requested","empiric_rank_selected","cutoff_quantile","treatment_cutoff_value","control_cutoff_value","composite_cutoff_value","curvature_strength","selected_reason","comparison_name"
"normalized","regime_shift_crossing","fourier_wave",5000,24890,0.21069322001649,3.25335305134202e-05,4.50331350217974e-05,3.87833327676088e-05,NA,"last_crossing_fallback","RT2_ZT8"
"raw","regime_shift_crossing","fourier_wave_projected_to_raw",5000,24890,0.21069322001649,2.44245348801244e-05,3.2414448553916e-05,2.84194917170202e-05,NA,"last_crossing_fallback_projected_to_raw","RT2_ZT8"
